state,year,accuracy,selection_rate_1,selection_rate_2,selection_rate_3,selection_rate_4,selection_rate_5,selection_rate_6,selection_rate_7,selection_rate_8,selection_rate_9,true_pos_rate_1,true_pos_rate_2,true_pos_rate_3,true_pos_rate_4,true_pos_rate_5,true_pos_rate_6,true_pos_rate_7,true_pos_rate_8,true_pos_rate_9
AL,2018,0.7606430752649542,0.38659672285747965,0.33826542226269063,0.3146067415730337,0.0,0.3333333333333333,0.38562091503267976,0.0,0.32367149758454106,0.37800687285223367,0.7254736129905277,0.6815365551425031,0.3548387096774194,0.0,1.0,0.8163265306122449,0.0,0.47619047619047616,0.8076923076923077
AK,2018,0.7151720248166948,0.4096271826333176,0.3888888888888889,0.41935483870967744,0.3225806451612903,0.2727272727272727,0.1791044776119403,0.38461538461538464,0.47619047619047616,0.3474576271186441,0.6543330087633885,0.7083333333333334,0.5,0.3793103448275862,0.2222222222222222,0.38636363636363635,0.2,0.55,0.6941176470588235
AZ,2018,0.765814226042011,0.36732590103848506,0.37948717948717947,0.3032258064516129,0.4,0.3883495145631068,0.44872846595570137,0.3076923076923077,0.3792906178489702,0.36310679611650487,0.7004048582995951,0.7801204819277109,0.33984375,0.5,0.6,0.7762376237623763,0.3888888888888889,0.6137184115523465,0.7940074906367042
AR,2018,0.7673917725608442,0.34620345687505377,0.34849545136459065,0.31645569620253167,,0.2,0.3604060913705584,0.18181818181818182,0.3154121863799283,0.43010752688172044,0.7091669154971634,0.7601809954751131,0.5,,0.5,0.7636363636363637,0.5,0.7222222222222222,0.8088235294117647
CA,2018,0.7591035698770858,0.36131266218204056,0.40621713217249034,0.3176197836166924,0.46153846153846156,0.3844444444444444,0.4499678987434651,0.3956043956043956,0.34958101171412276,0.40372897879600295,0.6605405405405406,0.7085733649610302,0.37057220708446864,0.4,0.4166666666666667,0.7190303493033021,0.4789473684210526,0.5187443541102078,0.7584442169907881
CO,2018,0.7632722161885901,0.417086519989851,0.39375,0.3507853403141361,0.4,0.4,0.4501541623843782,0.3611111111111111,0.3992146596858639,0.41676104190260477,0.7159062050283586,0.775609756097561,0.5121951219512195,0.0,0.4166666666666667,0.7301587301587301,0.5454545454545454,0.5792682926829268,0.8309859154929577
CT,2018,0.7638615112458933,0.42818243703199454,0.3207184092366902,0.2972972972972973,,0.3333333333333333,0.5094760312151616,0.6,0.36637931034482757,0.37170263788968827,0.6897218863361547,0.6409691629955947,0.4444444444444444,,0.0,0.8054968287526427,0.5,0.5149253731343284,0.8166666666666667
DE,2018,0.7666030129429239,0.38071487946799665,0.36772486772486773,0.4,,0.4,0.5595238095238095,0.6666666666666666,0.4383561643835616,0.3037974683544304,0.6896321070234114,0.6814159292035398,0.0,,1.0,0.8987341772151899,0.5,0.47058823529411764,0.6666666666666666
FL,2018,0.7643062926459439,0.3716972795556397,0.34139784946236557,0.3282828282828283,0.2,0.39285714285714285,0.45305565039262546,0.32432432432432434,0.386613021214338,0.4092575618698442,0.7017778560112656,0.7086578103527256,0.3157894736842105,0.0,0.6666666666666666,0.7890909090909091,0.6111111111111112,0.6425339366515838,0.7946902654867256
GA,2018,0.7660610821958166,0.4098313057112163,0.38902147971360385,0.33653846153846156,,0.3939393939393939,0.4922303473491773,0.4878048780487805,0.3683673469387755,0.3991811668372569,0.7421628367961236,0.7361574382921948,0.391304347826087,,0.5,0.8105263157894737,0.7142857142857143,0.5961538461538461,0.85
HI,2018,0.7321174492303713,0.3903381642512077,0.36942675159235666,0.16666666666666666,0.0,1.0,0.3643921025285764,0.37358490566037733,0.3925233644859813,0.43480825958702063,0.6517205422314911,0.6666666666666666,0.2,0.0,0.0,0.64816472694718,0.415,0.6785714285714286,0.7696245733788396
ID,2018,0.7772534785238959,0.3523145712782746,0.2916666666666667,0.3275862068965517,0.6666666666666666,0.3888888888888889,0.32,0.3333333333333333,0.34536082474226804,0.29411764705882354,0.7292672224659938,0.8333333333333334,0.3,0.0,0.0,0.7037037037037037,0.25,0.391304347826087,0.6538461538461539
