state,year,accuracy,selection_rate_1,selection_rate_2,selection_rate_3,selection_rate_4,selection_rate_5,selection_rate_6,selection_rate_7,selection_rate_8,selection_rate_9,true_pos_rate_1,true_pos_rate_2,true_pos_rate_3,true_pos_rate_4,true_pos_rate_5,true_pos_rate_6,true_pos_rate_7,true_pos_rate_8,true_pos_rate_9
AL,2018,0.6601401113705766,0.43970293528232934,0.3708172091964489,0.47191011235955055,0.0,0.08333333333333333,0.40522875816993464,0.6666666666666666,0.3333333333333333,0.38144329896907214,0.6402232746955345,0.5836431226765799,0.7419354838709677,0.0,0.0,0.673469387755102,1.0,0.8095238095238095,0.6346153846153846
AK,2018,0.6974055273547659,0.4440773949976404,0.3611111111111111,0.3225806451612903,0.0,0.20454545454545456,0.2835820895522388,0.23076923076923078,0.40476190476190477,0.3474576271186441,0.6066212268743915,0.6666666666666666,0.4166666666666667,0.0,0.4444444444444444,0.5227272727272727,0.4,0.5,0.47058823529411764
AZ,2018,0.6719355711151846,0.41023976786805133,0.37362637362637363,0.34516129032258064,0.0,0.21359223300970873,0.4593929450369155,0.4153846153846154,0.40789473684210525,0.34271844660194173,0.611958891311118,0.5963855421686747,0.55859375,0.0,0.4,0.6792079207920793,0.7222222222222222,0.6425992779783394,0.5617977528089888
AR,2018,0.6515184148180057,0.41620087711755094,0.390482855143457,0.5316455696202531,,0.26666666666666666,0.39593908629441626,0.36363636363636365,0.2724014336917563,0.4050179211469534,0.6151089877575395,0.6470588235294118,0.7222222222222222,,1.0,0.6363636363636364,0.5,0.5555555555555556,0.5147058823529411
CA,2018,0.6779802212966038,0.4013024147562931,0.41019048732032254,0.35857805255023184,0.0,0.22,0.4577027729371121,0.3893249607535322,0.3488351686921423,0.38435291250304654,0.5889095992544269,0.6001355472721112,0.6185286103542235,0.0,0.625,0.637462620092893,0.6263157894736842,0.6020776874435411,0.5748891163425452
CO,2018,0.664505206669648,0.44503244046540286,0.4225,0.387434554973822,0.0,0.2923076923076923,0.4224049331963001,0.3611111111111111,0.4214659685863874,0.3895809739524349,0.6290527385084229,0.5902439024390244,0.7560975609756098,0.0,0.6666666666666666,0.5963718820861678,0.5454545454545454,0.6341463414634146,0.5985915492957746
CT,2018,0.6646449330300733,0.44458196670586053,0.34765875561257215,0.2972972972972973,,0.13333333333333333,0.47045707915273133,0.2,0.3649425287356322,0.38369304556354916,0.6051995163240629,0.4977973568281938,0.5555555555555556,,0.0,0.6469344608879493,0.5,0.6119402985074627,0.6416666666666667
DE,2018,0.6583916825800976,0.44222776392352453,0.38227513227513227,0.45,,0.2,0.5178571428571429,0.3333333333333333,0.3698630136986301,0.379746835443038,0.6193979933110368,0.5752212389380531,1.0,,1.0,0.6835443037974683,0.5,0.5294117647058824,0.6666666666666666
FL,2018,0.6639272175890827,0.42038755286246293,0.3618626430801249,0.4494949494949495,0.0,0.16071428571428573,0.45339706384431544,0.25675675675675674,0.42209217264081933,0.39642529789184233,0.6182010209470163,0.5982592762253779,0.5964912280701754,0.0,0.8333333333333334,0.6445454545454545,0.4444444444444444,0.6447963800904978,0.5787610619469027
GA,2018,0.6640479230089364,0.43933102987718126,0.3946177269360546,0.4230769230769231,,0.3333333333333333,0.4936014625228519,0.24390243902439024,0.34591836734693876,0.36438075742067555,0.6282211291388298,0.6180787191460974,0.7391304347826086,,0.8,0.6905263157894737,0.5714285714285714,0.6089743589743589,0.5821428571428572
HI,2018,0.6609752942698228,0.4458937198067633,0.36942675159235666,0.3888888888888889,0.0,0.0,0.40284031866989956,0.3421383647798742,0.3364485981308411,0.3911504424778761,0.6037539103232534,0.5686274509803921,0.8,0.0,0.0,0.5881826320501343,0.52,0.6071428571428571,0.5699658703071673
ID,2018,0.6647307924984875,0.4138611257233035,0.3958333333333333,0.3620689655172414,0.0,0.2777777777777778,0.3,0.4166666666666667,0.4329896907216495,0.31176470588235294,0.6283457656867047,0.6666666666666666,0.7,0.0,1.0,0.6296296296296297,0.5,0.6521739130434783,0.5769230769230769
IL,2018,0.6663334129163185,0.42879504981492056,0.3703312191684285,0.33766233766233766,0.0,0.30952380952380953,0.487133984028394,0.3333333333333333,0.35806729939603105,0.35497470489038785,0.6123381231151321,0.571524064171123,0.4782608695652174,0.0,0.6,0.6762635956493922,0.4444444444444444,0.6014851485148515,0.5938461538461538
IN,2018,0.6684940894295015,0.4071715709921209,0.35305435305435307,0.4,0.0,0.25,0.4264036418816389,0.3125,0.3382899628252788,0.35879218472468916,0.6157477151752536,0.5983827493261455,1.0,0.0,0.6666666666666666,0.6412556053811659,1.0,0.5578947368421052,0.5669291338582677
