state,year,accuracy,selection_rate_1,selection_rate_2,selection_rate_3,selection_rate_4,selection_rate_5,selection_rate_6,selection_rate_7,selection_rate_8,selection_rate_9,true_pos_rate_1,true_pos_rate_2,true_pos_rate_3,true_pos_rate_4,true_pos_rate_5,true_pos_rate_6,true_pos_rate_7,true_pos_rate_8,true_pos_rate_9
AL,2018,0.7464972157355847,0.4061652717199104,0.39426360118370135,0.3146067415730337,0.0,0.5,0.3660130718954248,0.6666666666666666,0.36231884057971014,0.47079037800687284,0.7440798376184032,0.7360594795539034,0.41935483870967744,0.0,0.0,0.8163265306122449,1.0,0.42857142857142855,0.6538461538461539
AK,2018,0.6816130851663846,0.4294478527607362,0.3888888888888889,0.5161290322580645,0.39741935483870966,0.38636363636363635,0.19402985074626866,0.34615384615384615,0.47619047619047616,0.3347457627118644,0.6757546251217137,0.5,0.5833333333333334,0.4,0.1111111111111111,0.4318181818181818,0.0,0.55,0.3764705882352941
AZ,2018,0.7547555368572888,0.4005421502748931,0.4424908424908425,0.3961290322580645,0.2,0.3883495145631068,0.48236259228876127,0.4153846153846154,0.41418764302059496,0.37475728155339805,0.7425516453856534,0.8253012048192772,0.55078125,0.0,0.5,0.8297029702970297,0.6666666666666666,0.5667870036101083,0.5468164794007491
AR,2018,0.7505204968052265,0.35746839797059077,0.3827851644506648,0.4177215189873418,,0.4666666666666667,0.3197969543147208,0.36363636363636365,0.4121863799283154,0.43727598566308246,0.711257091669155,0.751131221719457,0.5,,0.5,0.7636363636363637,0.5,0.6666666666666666,0.6176470588235294
CA,2018,0.7576878849053229,0.4023932697552188,0.46079233376183243,0.4188562596599691,0.38461538461538464,0.39555555555555555,0.4882753982084442,0.3642072213500785,0.406923178168736,0.42444552766268584,0.7162348555452004,0.7661809556082684,0.5449591280653951,0.6,0.4270833333333333,0.7913087739390469,0.47368421052631576,0.5792682926829268,0.5455475946775844
CO,2018,0.7530505334440682,0.46040088441045346,0.45,0.43455497382198954,0.6,0.46153846153846156,0.5118191161356629,0.3611111111111111,0.4293193717277487,0.4190260475651189,0.7612799458223991,0.8195121951219512,0.5853658536585366,0.0,0.5833333333333334,0.8367346938775511,0.5454545454545454,0.5670731707317073,0.5422535211267606
CT,2018,0.7679555218599949,0.47150194937805556,0.38999358563181524,0.40540540540540543,,0.3333333333333333,0.5440356744704571,0.2,0.41379310344827586,0.4172661870503597,0.7459492140266022,0.6894273127753304,0.5555555555555556,,1.0,0.8710359408033826,0.5,0.5746268656716418,0.475
DE,2018,0.7608741778060684,0.4147963424771405,0.42063492063492064,0.55,,0.4,0.5654761904761905,1.0,0.3972602739726027,0.379746835443038,0.7277591973244147,0.7256637168141593,0.6666666666666666,,1.0,0.9240506329113924,1.0,0.6470588235294118,0.4666666666666667
FL,2018,0.745059388425575,0.41681499715962883,0.4069545612209504,0.35858585858585856,0.0,0.4642857142857143,0.4701263229771253,0.4594594594594595,0.46049743964886614,0.4271310724106325,0.7479317021651117,0.7805771873568483,0.3684210526315789,0.0,0.6666666666666666,0.8336363636363636,0.6666666666666666,0.6063348416289592,0.552212389380531
GA,2018,0.7539624864971031,0.4403182253709242,0.4397168957287466,0.40384615384615385,,0.45454545454545453,0.5155393053016454,0.43902439024390244,0.4489795918367347,0.4186284544524053,0.7759342192203216,0.794863242161441,0.5217391304347826,,0.6,0.8578947368421053,0.5714285714285714,0.5961538461538461,0.5607142857142857
