state,year,accuracy,selection_rate_1,selection_rate_2,selection_rate_3,selection_rate_4,selection_rate_5,selection_rate_6,selection_rate_7,selection_rate_8,selection_rate_9,true_pos_rate_1,true_pos_rate_2,true_pos_rate_3,true_pos_rate_4,true_pos_rate_5,true_pos_rate_6,true_pos_rate_7,true_pos_rate_8,true_pos_rate_9
AL,2018,0.7809412610023352,0.4313921961570199,0.25654450261780104,0.3595505617977528,0.0,0.08333333333333333,0.34967320261437906,1.0,0.0966183574879227,0.27147766323024053,0.7927943166441137,0.6530359355638166,0.6451612903225806,0.0,0.0,0.826530612244898,1.0,0.5714285714285714,0.7307692307692307
AK,2018,0.7667794698251551,0.43558282208588955,0.3055555555555556,0.41935483870967744,0.1406451612903226,0.09090909090909091,0.12935323383084577,0.15384615384615385,0.19047619047619047,0.2584745762711864,0.6874391431353457,0.4166666666666667,0.75,0.43448275862068964,0.2222222222222222,0.3409090909090909,0.4,0.35,0.5058823529411764
AZ,2018,0.7959852150133726,0.41440134392180816,0.32161172161172163,0.2032258064516129,0.4,0.14563106796116504,0.4667760459392945,0.35384615384615387,0.15446224256292906,0.2737864077669903,0.7763936468389909,0.7469879518072289,0.55078125,0.5,0.3,0.8356435643564356,0.7777777777777778,0.5090252707581228,0.7153558052434457
AR,2018,0.7794529399095412,0.37913836099406656,0.258222533240028,0.34177215189873417,,0.26666666666666666,0.34517766497461927,0.13636363636363635,0.07526881720430108,0.27956989247311825,0.7608241266049567,0.7104072398190046,0.7222222222222222,,1.0,0.8181818181818182,1.0,0.4444444444444444,0.6617647058823529
CA,2018,0.8118672220376664,0.4134836289109631,0.3343461493514082,0.26120556414219476,0.46153846153846156,0.18888888888888888,0.4718273258124675,0.2543171114599686,0.1284604922563945,0.31915671459907385,0.749524697110904,0.6736699423924094,0.659400544959128,1.0,0.5416666666666666,0.7890182604822803,0.5736842105263158,0.4369918699186992,0.6997611736608667
CO,2018,0.7833961540918674,0.4780166008191671,0.33,0.2198952879581152,0.6,0.24615384615384617,0.4850976361767729,0.3611111111111111,0.18717277486910994,0.3261608154020385,0.800474054008296,0.7414634146341463,0.5609756097560976,1.0,0.5,0.8344671201814059,0.8181818181818182,0.5060975609756098,0.7464788732394366
CT,2018,0.8059641142279504,0.48715885884027477,0.2520846696600385,0.2702702702702703,,0.06666666666666667,0.5273132664437012,0.4,0.13505747126436782,0.2853717026378897,0.7816203143893591,0.5837004405286343,0.7777777777777778,,0.0,0.86892177589852,1.0,0.4626865671641791,0.6916666666666667
DE,2018,0.7922766815192022,0.43003602105846495,0.2962962962962963,0.25,,0.2,0.5654761904761905,0.3333333333333333,0.1232876712328767,0.20253164556962025,0.7625418060200669,0.6592920353982301,0.6666666666666666,,1.0,0.9113924050632911,0.5,0.29411764705882354,0.7333333333333333
FL,2018,0.7804296183977761,0.4290222811336237,0.2642212972597988,0.35858585858585856,0.2,0.125,0.45066575623079547,0.24324324324324326,0.22055596196049743,0.32859761686526123,0.7827143108607639,0.6907924874026569,0.6666666666666666,0.0,0.8333333333333334,0.8272727272727273,0.7222222222222222,0.6312217194570136,0.7539823008849558
GA,2018,0.7952076991063537,0.4611364362242676,0.3116615916385483,0.34615384615384615,,0.30303030303030304,0.5050274223034735,0.3170731707317073,0.1704081632653061,0.345957011258956,0.8185155274943102,0.7204803202134756,0.782608695652174,,0.6,0.8642105263157894,1.0,0.5833333333333334,0.8071428571428572
HI,2018,0.781658258957444,0.4599033816425121,0.3503184713375796,0.2222222222222222,0.0,0.0,0.36231382057499134,0.19622641509433963,0.21495327102803738,0.29557522123893804,0.7434827945776851,0.7647058823529411,0.8,0.0,0.0,0.6821844225604298,0.49,0.6428571428571429,0.621160409556314
