state,year,accuracy,selection_rate_1,selection_rate_2,selection_rate_3,selection_rate_4,selection_rate_5,selection_rate_6,selection_rate_7,selection_rate_8,selection_rate_9,true_pos_rate_1,true_pos_rate_2,true_pos_rate_3,true_pos_rate_4,true_pos_rate_5,true_pos_rate_6,true_pos_rate_7,true_pos_rate_8,true_pos_rate_9
AL,2018,0.7759116220585593,0.3360839325710244,0.30412019121329387,0.42696629213483145,1.0,0.3333333333333333,0.21241830065359477,0.6666666666666666,0.25120772946859904,0.3161512027491409,0.6820027063599459,0.5774473358116481,0.5483870967741935,0.0,0.0,0.5306122448979592,0.5,0.5714285714285714,0.6346153846153846
AK,2018,0.715454032712916,0.3614912694667296,0.3194444444444444,0.41935483870967744,0.26064516129032256,0.29545454545454547,0.0845771144278607,0.0,0.3333333333333333,0.3135593220338983,0.5959104186952289,0.5416666666666666,0.3333333333333333,0.33793103448275863,0.3333333333333333,0.25,0.0,0.45,0.4823529411764706
AZ,2018,0.7758812392944076,0.3301389737324374,0.35824175824175825,0.27741935483870966,0.2,0.2912621359223301,0.28137817883511074,0.15384615384615385,0.2700228832951945,0.3378640776699029,0.6667704764870757,0.6566265060240963,0.40625,0.0,0.4,0.5346534653465347,0.3888888888888889,0.4404332129963899,0.5917602996254682
AR,2018,0.7880680594443248,0.2892768079800499,0.298110566829951,0.3037974683544304,,0.06666666666666667,0.20812182741116753,0.18181818181818182,0.2974910394265233,0.3655913978494624,0.6548223350253807,0.6153846153846154,0.3888888888888889,,0.5,0.4909090909090909,1.0,0.2777777777777778,0.6176470588235294
CA,2018,0.7498224005315207,0.3340908715270317,0.3642631763468505,0.3230293663060278,0.46153846153846156,0.2822222222222222,0.27487847381454644,0.1271585557299843,0.2592023866976703,0.35595905435047526,0.63071761416589,0.589969501863775,0.44959128065395093,0.6,0.3645833333333333,0.47432716167207484,0.28421052631578947,0.39137308039747065,0.5684066871374958
CO,2018,0.7699163099725292,0.3832324477146689,0.3625,0.31413612565445026,0.4,0.26153846153846155,0.29290853031860226,0.16666666666666666,0.2683246073298429,0.36126840317100795,0.6893253195631931,0.6829268292682927,0.36585365853658536,1.0,0.25,0.5124716553287982,0.2727272727272727,0.39634146341463417,0.5880281690140845
CT,2018,0.7636593378822341,0.39686861810755614,0.31879409878127,0.32432432432432434,,0.26666666666666666,0.35228539576365664,0.2,0.2442528735632184,0.354916067146283,0.6659008464328899,0.552863436123348,0.3333333333333333,,0.0,0.5940803382663847,0.5,0.43283582089552236,0.6083333333333333
DE,2018,0.7659664757054955,0.33305624826821834,0.36243386243386244,0.35,,0.0,0.4226190476190476,0.3333333333333333,0.2876712328767123,0.2911392405063291,0.642809364548495,0.584070796460177,0.6666666666666666,,0.0,0.7341772151898734,0.5,0.4117647058823529,0.4
FL,2018,0.7736264847106393,0.34155147383702583,0.3157301422129726,0.35858585858585856,0.2,0.35714285714285715,0.27381358825537727,0.0945945945945946,0.3076079005120702,0.346012832263978,0.6779792290089773,0.6115437471369675,0.3684210526315789,0.0,0.5,0.5409090909090909,0.2777777777777778,0.5203619909502263,0.6035398230088496
GA,2018,0.7731513306491211,0.3725501582416306,0.35198749074150276,0.3269230769230769,,0.2727272727272727,0.33089579524680074,0.17073170731707318,0.26224489795918365,0.3828045035823951,0.7144115703692827,0.6440960640426951,0.391304347826087,,0.4,0.6042105263157894,0.2857142857142857,0.48717948717948717,0.6321428571428571
ID,2018,0.7975801572897762,0.3078642819568648,0.3541666666666667,0.25862068965517243,0.0,0.2222222222222222,0.19,0.16666666666666666,0.2422680412371134,0.2529411764705882,0.6827555945590171,0.8333333333333334,0.45,0.0,0.0,0.5185185185185185,0.5,0.43478260869565216,0.46153846153846156
IL,2018,0.7726214635310971,0.3459973112834018,0.31853417899929526,0.22077922077922077,0.0,0.19047619047619047,0.3220940550133097,0.18181818181818182,0.2532355478861087,0.3456998313659359,0.6570871030690083,0.5755347593582888,0.30434782608695654,0.0,0.8,0.5738963531669866,0.4444444444444444,0.3688118811881188,0.5723076923076923
