state,year,accuracy,selection_rate_1,selection_rate_2,selection_rate_3,selection_rate_4,selection_rate_5,selection_rate_6,selection_rate_7,selection_rate_8,selection_rate_9,true_pos_rate_1,true_pos_rate_2,true_pos_rate_3,true_pos_rate_4,true_pos_rate_5,true_pos_rate_6,true_pos_rate_7,true_pos_rate_8,true_pos_rate_9
AL,2018,0.7638764145859529,0.3698573617823883,0.2799908946050535,0.34831460674157305,0.0,0.25,0.2647058823529412,0.6666666666666666,0.17391304347826086,0.3436426116838488,0.6833558863328822,0.6666666666666666,0.7096774193548387,0.0,0.0,0.6224489795918368,0.5,0.47619047619047616,0.7692307692307693
AK,2018,0.7481669486745629,0.38886267107126005,0.4305555555555556,0.3548387096774194,0.0,0.1590909090909091,0.14925373134328357,0.15384615384615385,0.21428571428571427,0.288135593220339,0.6192794547224927,0.7083333333333334,0.75,0.0,0.2222222222222222,0.3409090909090909,0.2,0.35,0.5176470588235295
AZ,2018,0.7689395077681281,0.35606291997556505,0.3362637362637363,0.15354838709677418,0.0,0.22330097087378642,0.34864643150123054,0.2153846153846154,0.21052631578947367,0.29514563106796116,0.6616837952870341,0.7259036144578314,0.45703125,0.0,0.4,0.6198019801980198,0.3333333333333333,0.555956678700361,0.6554307116104869
AR,2018,0.772273673630555,0.32341559893370025,0.2736179146256123,0.3037974683544304,,0.13333333333333333,0.26903553299492383,0.13636363636363635,0.1971326164874552,0.3154121863799283,0.659002687369364,0.7058823529411765,0.7222222222222222,,0.5,0.6363636363636364,0.5,0.6111111111111112,0.6617647058823529
CA,2018,0.7573199090281859,0.3577673834355321,0.34521444431459625,0.21792890262751158,0.0,0.20666666666666667,0.33840838912837445,0.21978021978021978,0.182775413504146,0.3254935413112357,0.6323205964585275,0.642832937987123,0.5694822888283378,0.0,0.40625,0.5508048609785583,0.32105263157894737,0.49232158988256547,0.611395428181508
CO,2018,0.7517089375838497,0.4066113306027765,0.36375,0.2198952879581152,0.0,0.2153846153846154,0.3319630010277492,0.16666666666666666,0.24476439790575916,0.332955832389581,0.6845001269787522,0.751219512195122,0.5609756097560976,0.0,0.25,0.5487528344671202,0.09090909090909091,0.5365853658536586,0.6690140845070423
CT,2018,0.7562294667677534,0.4185902592982239,0.2841565105837075,0.21621621621621623,,0.26666666666666666,0.399108138238573,0.0,0.1910919540229885,0.2973621103117506,0.6648125755743651,0.5814977973568282,0.7777777777777778,,1.0,0.6638477801268499,0.0,0.5223880597014925,0.6916666666666667
DE,2018,0.755994058985784,0.3696314768633971,0.3082010582010582,0.15,,0.0,0.39880952380952384,0.0,0.1780821917808219,0.22784810126582278,0.6474916387959866,0.6283185840707964,0.6666666666666666,,0.0,0.6329113924050633,0.0,0.35294117647058826,0.6666666666666666
FL,2018,0.7563507707859489,0.3684529445180837,0.2904960110995491,0.2676767676767677,0.0,0.21428571428571427,0.33424376920450666,0.21621621621621623,0.2713972201901975,0.33363886342804766,0.6697060376694244,0.679798442510307,0.543859649122807,0.0,0.6666666666666666,0.6054545454545455,0.5,0.6606334841628959,0.6389380530973451
GA,2018,0.7638024157910243,0.39267152521703785,0.3305900748909555,0.3269230769230769,,0.21212121212121213,0.3962522851919561,0.17073170731707318,0.23877551020408164,0.32446264073694986,0.6958373100359738,0.700133422281521,0.782608695652174,,0.4,0.6652631578947369,0.42857142857142855,0.6410256410256411,0.6392857142857142
HI,2018,0.7308239555038158,0.3932367149758454,0.3630573248407643,0.2222222222222222,0.0,0.0,0.2511257360581919,0.19874213836477989,0.24299065420560748,0.31386430678466076,0.6339937434827946,0.7647058823529411,0.8,0.0,0.0,0.468218442256043,0.315,0.6071428571428571,0.5750853242320819
ID,2018,0.7660012099213551,0.34442398737506574,0.2708333333333333,0.15517241379310345,0.0,0.3333333333333333,0.28,0.16666666666666666,0.25773195876288657,0.23529411764705882,0.6792452830188679,0.6666666666666666,0.55,0.0,1.0,0.7037037037037037,0.25,0.5217391304347826,0.6923076923076923
IL,2018,0.7593410528828937,0.37087714775050185,0.29721634954193094,0.16883116883116883,0.0,0.16666666666666666,0.3895297249334516,0.30303030303030304,0.18032786885245902,0.2984822934232715,0.653184317899592,0.643048128342246,0.43478260869565216,0.0,0.2,0.6308381317978247,0.4444444444444444,0.48267326732673266,0.6430769230769231
IN,2018,0.7714864942036435,0.3278983759446856,0.2621452621452621,0.3090909090909091,0.0,0.1875,0.3171471927162367,0.375,0.2100371747211896,0.30017761989342806,0.6543135482575073,0.628032345013477,0.7777777777777778,0.0,0.6666666666666666,0.6457399103139013,0.0,0.42105263157894735,0.6299212598425197
IA,2018,0.7660185967878276,0.3337303477846594,0.19256756756756757,0.2553191489361702,,0.23076923076923078,0.20588235294117646,0.4,0.24503311258278146,0.2926829268292683,0.6539694512540072,0.4666666666666667,0.8888888888888888,,1.0,0.5076923076923077,0.5,0.7647058823529411,0.8571428571428571
KS,2018,0.7580818624659961,0.3668761605484931,0.2662337662337662,0.22556390977443608,0.0,0.3333333333333333,0.32753623188405795,0.3125,0.21323529411764705,0.2780487804878049,0.6869891760547824,0.68,0.6666666666666666,0.0,0.6666666666666666,0.568,0.4,0.5806451612903226,0.6630434782608695
KY,2018,0.7710169953649005,0.33928930944231933,0.2694099378881988,0.2727272727272727,0.0,0.2222222222222222,0.2861635220125786,0.13333333333333333,0.19653179190751446,0.23076923076923078,0.6648488625740105,0.711864406779661,0.75,0.0,0.0,0.5607476635514018,0.3333333333333333,0.5833333333333334,0.6935483870967742
LA,2018,0.7500846760536121,0.3769708552317248,0.2719785876055178,0.1919191919191919,0.0,0.19047619047619047,0.271461716937355,0.3333333333333333,0.2647058823529412,0.3278236914600551,0.6448598130841121,0.6774916013437849,0.4642857142857143,0.0,0.5,0.5476190476190477,1.0,0.575,0.6261682242990654
MA,2018,0.7532781572518322,0.3952248212337898,0.28420123565754635,0.32558139534883723,0.0,0.125,0.36896424622189455,0.23529411764705882,0.18126094570928197,0.3196902654867257,0.6473049470834359,0.6324655436447167,0.6,0.0,1.0,0.6103500761035008,0.14285714285714285,0.43700787401574803,0.657439446366782
ME,2018,0.7649243073407598,0.33318311551750035,0.29333333333333333,0.125,,0.3333333333333333,0.17105263157894737,1.0,0.2,0.25,0.6537530266343826,0.875,0.6666666666666666,,1.0,0.43478260869565216,0.0,0.75,0.7368421052631579
