state,year,accuracy,selection_rate_1,selection_rate_2,selection_rate_3,selection_rate_4,selection_rate_5,selection_rate_6,selection_rate_7,selection_rate_8,selection_rate_9,true_pos_rate_1,true_pos_rate_2,true_pos_rate_3,true_pos_rate_4,true_pos_rate_5,true_pos_rate_6,true_pos_rate_7,true_pos_rate_8,true_pos_rate_9
AL,2018,0.8051014909286869,0.35671342685370744,0.13908490780787616,0.25842696629213485,0.0,0.08333333333333333,0.2908496732026144,1.0,0.07246376811594203,0.19243986254295534,0.7132949932341002,0.4560099132589839,0.5806451612903226,0.0,0.0,0.7346938775510204,1.0,0.47619047619047616,0.5769230769230769
AK,2018,0.7667794698251551,0.37848041529023124,0.19444444444444445,0.2903225806451613,0.06451612903225806,0.045454545454545456,0.08955223880597014,0.07692307692307693,0.11904761904761904,0.1694915254237288,0.6241480038948394,0.3333333333333333,0.5833333333333334,0.2206896551724138,0.1111111111111111,0.29545454545454547,0.2,0.25,0.4117647058823529
AZ,2018,0.8043393334735703,0.34808338423946245,0.189010989010989,0.1032258064516129,0.4,0.08737864077669903,0.38802296964725186,0.23076923076923078,0.09267734553775744,0.19514563106796118,0.6942800788954635,0.5301204819277109,0.33984375,0.5,0.2,0.7544554455445545,0.6111111111111112,0.34296028880866425,0.5692883895131086
AR,2018,0.8096776509440735,0.30750709433313267,0.13296011196641008,0.13924050632911392,,0.06666666666666667,0.27411167512690354,0.13636363636363635,0.02867383512544803,0.1971326164874552,0.6840848014332637,0.49321266968325794,0.5555555555555556,,0.5,0.7090909090909091,1.0,0.1111111111111111,0.5294117647058824
CA,2018,0.7915518871540643,0.3519577541609507,0.20649760430057262,0.15842349304482226,0.23076923076923078,0.11333333333333333,0.36515943624079,0.130298273155416,0.07423331724652306,0.21557397026565928,0.6578378378378379,0.46526601152151814,0.4604904632152589,0.6,0.3645833333333333,0.6431889037348094,0.3263157894736842,0.2868112014453478,0.5158648925281474
CO,2018,0.7855682616750782,0.4018630613650368,0.20375,0.1518324607329843,0.6,0.12307692307692308,0.381294964028777,0.2222222222222222,0.10732984293193717,0.2287655719139298,0.715567595022433,0.5560975609756098,0.3902439024390244,1.0,0.25,0.6938775510204082,0.36363636363636365,0.3048780487804878,0.5598591549295775
CT,2018,0.7881223148850139,0.4150628132929018,0.163566388710712,0.13513513513513514,,0.13333333333333333,0.45819397993311034,0.2,0.07614942528735633,0.19904076738609114,0.6917775090689238,0.4185022026431718,0.5555555555555556,,0.0,0.7885835095137421,0.5,0.2835820895522388,0.55
DE,2018,0.7965202631020581,0.35328345802161265,0.18253968253968253,0.1,,0.0,0.4880952380952381,0.3333333333333333,0.0958904109589041,0.1518987341772152,0.6735785953177258,0.4823008849557522,0.3333333333333333,,0.0,0.8354430379746836,0.5,0.29411764705882354,0.6
FL,2018,0.7973009855951478,0.3598939594773717,0.15244536940686784,0.20202020202020202,0.0,0.07142857142857142,0.3571184704677364,0.16216216216216217,0.14045354791514264,0.2094408799266728,0.7051927477556769,0.4878607420980302,0.45614035087719296,0.0,0.5,0.7263636363636363,0.6111111111111112,0.497737556561086,0.552212389380531
GA,2018,0.8092507119709319,0.3915391539153915,0.19191836062875484,0.20192307692307693,,0.18181818181818182,0.42458866544789764,0.21951219512195122,0.10204081632653061,0.23029682702149437,0.7424565009911167,0.5360240160106737,0.5652173913043478,,0.5,0.7810526315789473,0.7142857142857143,0.41025641025641024,0.6107142857142858
