state,year,accuracy,selection_rate_1,selection_rate_2,selection_rate_3,selection_rate_4,selection_rate_5,selection_rate_6,selection_rate_7,selection_rate_8,selection_rate_9,true_pos_rate_1,true_pos_rate_2,true_pos_rate_3,true_pos_rate_4,true_pos_rate_5,true_pos_rate_6,true_pos_rate_7,true_pos_rate_8,true_pos_rate_9
AL,2018,0.7704778156996587,0.2888718613697984,0.22535852492601866,0.3258426966292135,1.0,0.08333333333333333,0.21895424836601307,0.6666666666666666,0.2222222222222222,0.24742268041237114,0.588125845737483,0.4634448574969021,0.5483870967741935,0.0,0.0,0.5204081632653061,1.0,0.38095238095238093,0.6153846153846154
AK,2018,0.6940214326001128,0.27465785747994337,0.3055555555555556,0.3548387096774194,0.2645161290322581,0.13636363636363635,0.0945273631840796,0.11538461538461539,0.21428571428571427,0.2076271186440678,0.4634858812074002,0.625,0.75,0.31724137931034485,0.1111111111111111,0.18181818181818182,0.2,0.25,0.4117647058823529
AZ,2018,0.7641013312498122,0.272029627367135,0.2571428571428571,0.16838709677419356,0.0,0.3592233009708738,0.2904019688269073,0.2,0.2540045766590389,0.2320388349514563,0.5559015882902523,0.48493975903614456,0.4140625,0.0,0.5,0.5306930693069307,0.2222222222222222,0.3212996389891697,0.5580524344569289
AR,2018,0.7833297437001938,0.2365637630062774,0.22953114065780267,0.27848101265822783,,0.2,0.18274111675126903,0.36363636363636365,0.25448028673835127,0.2078853046594982,0.5416542251418334,0.49321266968325794,0.7222222222222222,,0.5,0.45454545454545453,0.5,0.16666666666666666,0.4411764705882353
CA,2018,0.7157692995681394,0.27015189329454736,0.277901133574851,0.22179289026275115,0.5384615384615384,0.28888888888888886,0.2718517839126846,0.22919937205651492,0.2509542403369456,0.2392152083841092,0.507977632805219,0.47238224330735346,0.4904632152588556,0.4,0.3229166666666667,0.4322707895908888,0.20526315789473684,0.3035230352303523,0.4878880928010918
CO,2018,0.7443940458698013,0.3192939214904491,0.2875,0.2094240837696335,0.6,0.2153846153846154,0.2846865364850976,0.2777777777777778,0.2604712041884817,0.2582106455266138,0.5780919326166089,0.5560975609756098,0.3902439024390244,0.0,0.25,0.4965986394557823,0.45454545454545453,0.2865853658536585,0.5528169014084507
CT,2018,0.71908011119535,0.3285475586360542,0.23284156510583706,0.16216216216216217,,0.13333333333333333,0.3500557413600892,0.4,0.21982758620689655,0.2014388489208633,0.5447400241837969,0.43392070484581496,0.3333333333333333,,0.0,0.5687103594080338,1.0,0.26119402985074625,0.48333333333333334
DE,2018,0.7464460004243582,0.28428927680798005,0.2619047619047619,0.2,,0.4,0.35714285714285715,0.3333333333333333,0.2465753424657534,0.25316455696202533,0.5404682274247492,0.48672566371681414,0.6666666666666666,,1.0,0.6075949367088608,0.5,0.35294117647058826,0.6666666666666666
FL,2018,0.7624564063684609,0.2811462475541249,0.2294484911550468,0.29797979797979796,0.0,0.17857142857142858,0.26630249231819736,0.25675675675675674,0.27761521580102416,0.22502291475710356,0.5671184650589685,0.48740265689418233,0.47368421052631576,0.0,0.16666666666666666,0.4709090909090909,0.5,0.3416289592760181,0.4902654867256637
GA,2018,0.761504468231366,0.31389913184866874,0.26713850711875564,0.28846153846153844,,0.3333333333333333,0.30850091407678243,0.17073170731707318,0.2714285714285714,0.24769703172978505,0.6048748256368842,0.5320213475650434,0.5652173913043478,,0.4,0.5357894736842105,0.5714285714285714,0.3717948717948718,0.6178571428571429
HI,2018,0.6988746604578968,0.30917874396135264,0.27388535031847133,0.2777777777777778,0.0,0.0,0.18704537582265326,0.1949685534591195,0.29906542056074764,0.2135693215339233,0.5370177267987487,0.45098039215686275,1.0,0.0,0.0,0.3115487914055506,0.255,0.2857142857142857,0.4232081911262799
ID,2018,0.786690865093769,0.2561809573908469,0.20833333333333334,0.16379310344827586,0.3333333333333333,0.1111111111111111,0.25,0.3333333333333333,0.211340206185567,0.1588235294117647,0.5713032031592804,0.6666666666666666,0.4,0.0,0.0,0.5925925925925926,0.25,0.21739130434782608,0.5384615384615384
IL,2018,0.7445535394532649,0.28986574832876005,0.23713883016208598,0.15584415584415584,0.0,0.16666666666666666,0.3280094646554274,0.2727272727272727,0.24029335634167387,0.23946037099494097,0.5459020755721128,0.45989304812834225,0.34782608695652173,0.0,0.2,0.5323096609085093,0.3333333333333333,0.3193069306930693,0.5815384615384616
IN,2018,0.7802809662497858,0.25640778260170444,0.2453102453102453,0.32727272727272727,0.0,0.25,0.24127465857359637,0.3125,0.22862453531598512,0.2202486678507993,0.5623179672592146,0.5121293800539084,0.6666666666666666,0.0,0.3333333333333333,0.5022421524663677,1.0,0.2631578947368421,0.5433070866141733
IA,2018,0.7736827275288813,0.2621486422105765,0.22297297297297297,0.19148936170212766,,0.23076923076923078,0.17647058823529413,0.2,0.2052980132450331,0.2073170731707317,0.5549688855364888,0.4666666666666667,0.6666666666666666,,1.0,0.46153846153846156,0.0,0.11764705882352941,0.75
KS,2018,0.7768710065161004,0.2772461076989002,0.2353896103896104,0.2631578947368421,0.25,0.4444444444444444,0.2753623188405797,0.125,0.2426470588235294,0.2121951219512195,0.5833885575436272,0.544,0.7,0.0,0.6666666666666666,0.512,0.0,0.2903225806451613,0.6413043478260869
KY,2018,0.7780150867945106,0.2577008254479565,0.23990683229813664,0.36363636363636365,0.0,0.3333333333333333,0.2358490566037736,0.26666666666666666,0.2254335260115607,0.16987179487179488,0.5542224992209411,0.5169491525423728,1.0,0.0,0.0,0.5607476635514018,0.3333333333333333,0.4166666666666667,0.5645161290322581
