state,year,accuracy,selection_rate_1,selection_rate_2,selection_rate_3,selection_rate_4,selection_rate_5,selection_rate_6,selection_rate_7,selection_rate_8,selection_rate_9,true_pos_rate_1,true_pos_rate_2,true_pos_rate_3,true_pos_rate_4,true_pos_rate_5,true_pos_rate_6,true_pos_rate_7,true_pos_rate_8,true_pos_rate_9
AL,2018,0.8047422310041314,0.2866910291170576,0.10880946961074436,0.23595505617977527,0.0,0.0,0.2679738562091503,0.6666666666666666,0.028985507246376812,0.16838487972508592,0.6128213802435724,0.3680297397769517,0.5161290322580645,0.0,0.0,0.6836734693877551,1.0,0.19047619047619047,0.5769230769230769
AK,2018,0.7380146644106035,0.2840962718263332,0.19444444444444445,0.25806451612903225,0.05806451612903226,0.022727272727272728,0.0845771144278607,0.07692307692307693,0.16666666666666666,0.16101694915254236,0.4800389483933788,0.4166666666666667,0.5,0.1793103448275862,0.1111111111111111,0.29545454545454547,0.0,0.35,0.3764705882352941
AZ,2018,0.7973074495898068,0.272029627367135,0.1619047619047619,0.07741935483870968,0.2,0.07766990291262135,0.33223954060705496,0.2153846153846154,0.07551487414187644,0.1796116504854369,0.5799854666251427,0.463855421686747,0.26953125,0.0,0.2,0.6613861386138614,0.5555555555555556,0.2996389891696751,0.5393258426966292
AR,2018,0.8138416253858856,0.23604781150571846,0.11336599020293912,0.16455696202531644,,0.06666666666666667,0.24873096446700507,0.09090909090909091,0.03225806451612903,0.16845878136200718,0.5697223051657211,0.4298642533936652,0.5555555555555556,,0.5,0.6363636363636364,1.0,0.1111111111111111,0.45588235294117646
CA,2018,0.7604119285513505,0.27352362692759036,0.17015309103657825,0.1321483771251932,0.23076923076923078,0.08666666666666667,0.32171573573022716,0.12558869701726844,0.06015004606677489,0.18145259566171093,0.5271761416589003,0.37783802100982716,0.3814713896457766,0.6,0.2604166666666667,0.5676655850353121,0.32105263157894737,0.22967479674796748,0.4356874786762197
CO,2018,0.7716731616942439,0.32324477146688896,0.16875,0.09947643979057591,0.2,0.07692307692307693,0.33093525179856115,0.16666666666666666,0.0968586387434555,0.20838052095130238,0.6063658681114027,0.48292682926829267,0.24390243902439024,0.0,0.16666666666666666,0.6258503401360545,0.36363636363636365,0.2926829268292683,0.5
CT,2018,0.7479403588577205,0.33417909524104217,0.12636305323925592,0.10810810810810811,,0.13333333333333333,0.4214046822742475,0.4,0.05603448275862069,0.16786570743405277,0.5671100362756953,0.33259911894273125,0.3333333333333333,,0.0,0.7420718816067653,1.0,0.23134328358208955,0.4666666666666667
DE,2018,0.7644812221514958,0.2790246605707952,0.13756613756613756,0.15,,0.2,0.4583333333333333,0.3333333333333333,0.0547945205479452,0.16455696202531644,0.539799331103679,0.35398230088495575,0.6666666666666666,,1.0,0.8227848101265823,0.5,0.17647058823529413,0.6666666666666666
FL,2018,0.7922769775082132,0.2846304361547687,0.12244190079778008,0.20202020202020202,0.2,0.05357142857142857,0.3096620006828269,0.13513513513513514,0.1232626188734455,0.17506874427131072,0.5932054215807077,0.40998625744388456,0.43859649122807015,0.0,0.5,0.6281818181818182,0.4444444444444444,0.4230769230769231,0.4849557522123894
GA,2018,0.7972503191593833,0.3149153625039923,0.1590815570734919,0.19230769230769232,,0.12121212121212122,0.3912248628884826,0.21951219512195122,0.09897959183673469,0.20573183213920163,0.6312311871375083,0.4372915276851234,0.5217391304347826,,0.3,0.7326315789473684,0.7142857142857143,0.3974358974358974,0.5607142857142857
HI,2018,0.7490622170482473,0.31980676328502416,0.17834394904458598,0.2222222222222222,0.0,0.0,0.2060962937305161,0.08553459119496855,0.102803738317757,0.15752212389380532,0.5610010427528676,0.39215686274509803,0.8,0.0,0.0,0.4377797672336616,0.25,0.2857142857142857,0.36177474402730375
ID,2018,0.8038717483363581,0.2617043661230931,0.14583333333333334,0.09482758620689655,0.0,0.0,0.23,0.16666666666666666,0.061855670103092786,0.11764705882352941,0.6011408512505485,0.6666666666666666,0.3,0.0,0.0,0.6666666666666666,0.5,0.13043478260869565,0.46153846153846156
IL,2018,0.7722931837173213,0.29036297674075984,0.1273784355179704,0.12987012987012986,0.5,0.11904761904761904,0.3948535936113576,0.18181818181818182,0.05996548748921484,0.17284991568296795,0.5648394536100763,0.35093582887700536,0.30434782608695654,0.0,0.4,0.7114523352527191,0.5555555555555556,0.24504950495049505,0.5107692307692308
IN,2018,0.8034663925532523,0.25254864126065285,0.12073112073112073,0.2545454545454545,0.0,0.125,0.2959028831562974,0.1875,0.04460966542750929,0.15985790408525755,0.5806969970874761,0.3908355795148248,0.6666666666666666,0.0,0.6666666666666666,0.7130044843049327,0.5,0.14736842105263157,0.4645669291338583
IA,2018,0.7917159763313609,0.25476417341591234,0.09121621621621621,0.14893617021276595,,0.07692307692307693,0.22058823529411764,0.0,0.06622516556291391,0.15853658536585366,0.5660946633980766,0.3,0.6666666666666666,,1.0,0.6615384615384615,0.0,0.17647058823529413,0.7142857142857143
KS,2018,0.8021762510280256,0.27181831166976145,0.14935064935064934,0.15789473684210525,0.0,0.1111111111111111,0.3391304347826087,0.25,0.07720588235294118,0.16829268292682928,0.6028274795670422,0.544,0.5333333333333333,0.0,0.3333333333333333,0.696,0.4,0.41935483870967744,0.5978260869565217
KY,2018,0.8001908570389894,0.25483189047714916,0.13975155279503104,0.22727272727272727,1.0,0.0,0.3018867924528302,0.0,0.03468208092485549,0.1282051282051282,0.5765035836709255,0.4703389830508475,0.5,0.0,0.0,0.6635514018691588,0.0,0.25,0.5
ME,2018,0.7984861468151957,0.2445546041760553,0.10666666666666667,0.05,,0.0,0.19736842105263158,0.0,0.2,0.12121212121212122,0.5622276029055691,0.625,0.3333333333333333,,0.0,0.5652173913043478,0.0,0.5,0.5263157894736842
MD,2018,0.7547363961019309,0.37001761988666126,0.2087090955939191,0.22641509433962265,0.5,0.08695652173913043,0.4122171945701357,0.28,0.07071622846781506,0.25780346820809247,0.6128887693824505,0.43405889884763127,0.5714285714285714,1.0,0.1111111111111111,0.6961038961038961,0.5,0.3251231527093596,0.5480225988700564
MI,2018,0.7950327947528395,0.26837496245292175,0.12401199236849278,0.16725978647686832,,0.10526315789473684,0.4037763253449528,0.18181818181818182,0.10874704491725769,0.15806805708013172,0.5821222377065499,0.40992167101827676,0.48333333333333334,,0.25,0.7275541795665634,0.6666666666666666,0.3977272727272727,0.5345622119815668
MN,2018,0.7639018729247928,0.28923981163474133,0.10159817351598173,0.11895910780669144,0.0,0.05128205128205128,0.22325581395348837,0.14285714285714285,0.05263157894736842,0.12391304347826088,0.5568337441796768,0.44274809160305345,0.4166666666666667,0.0,0.5,0.6022727272727273,0.3333333333333333,0.24324324324324326,0.39285714285714285
MS,2018,0.8121161574038972,0.2872902780969892,0.11313686313686314,0.03773584905660377,,0.0,0.22282608695652173,0.16666666666666666,0.08490566037735849,0.20930232558139536,0.615575221238938,0.4185303514376997,0.14285714285714285,,0.0,0.5833333333333334,0.0,0.375,0.5757575757575758
MO,2018,0.8004674077817079,0.2549711353431687,0.14995442114858706,0.14563106796116504,0.0,0.2857142857142857,0.35753176043557167,0.08108108108108109,0.08205128205128205,0.15079365079365079,0.5806741573033708,0.4594017094017094,0.4230769230769231,0.0,0.6666666666666666,0.7162162162162162,0.3333333333333333,0.2857142857142857,0.504950495049505
MT,2018,0.776313380926231,0.26719840478564305,0.07142857142857142,0.12350597609561753,,0.1,0.16666666666666666,0.0,0.047619047619047616,0.14285714285714285,0.5637450199203188,0.0,0.3958333333333333,,0.0,0.4444444444444444,0.0,0.0,0.4375
NE,2018,0.778766805748725,0.29039456334313823,0.11654135338345864,0.052083333333333336,,0.375,0.23195876288659795,0.16666666666666666,0.06547619047619048,0.14361702127659576,0.5972439711869715,0.4166666666666667,0.25,,0.4,0.5686274509803921,0.5,0.2857142857142857,0.4444444444444444
NV,2018,0.7725400148578375,0.2464289281790031,0.12475822050290135,0.11969111969111969,,0.05555555555555555,0.176597272074659,0.09574468085106383,0.03355215171407731,0.1297208538587849,0.49730838246603437,0.39344262295081966,0.3103448275862069,,0.0,0.3775280898876405,0.23076923076923078,0.16875,0.3935483870967742
NH,2018,0.7741652021089631,0.2946583189023578,0.11827956989247312,0.14285714285714285,0.0,0.0,0.36416184971098264,0.3333333333333333,0.14285714285714285,0.216,0.579466929911155,0.5625,1.0,0.0,0.0,0.6790123456790124,0.6666666666666666,0.46153846153846156,0.65625
NJ,2018,0.7359619932609196,0.32581539604950976,0.1383947939262473,0.0625,,0.075,0.4537337662337662,0.05263157894736842,0.07881316643486323,0.20435684647302904,0.5483217434156491,0.3250490516677567,0.1111111111111111,,0.2727272727272727,0.6933523945675483,0.0,0.26401869158878505,0.43513513513513513
NM,2018,0.8149466192170819,0.2669491525423729,0.1896551724137931,0.08609271523178808,0.0,0.09523809523809523,0.3006134969325153,0.4444444444444444,0.11213235294117647,0.2350230414746544,0.6013921113689095,0.5454545454545454,0.3,0.0,0.5,0.625,1.0,0.4380952380952381,0.5774647887323944
NY,2018,0.7390143757098068,0.28043168397475055,0.11410663690220657,0.13765182186234817,0.0,0.07920792079207921,0.2635142282873162,0.18421052631578946,0.0593841642228739,0.16632102861883036,0.5116377614334574,0.28134962805526037,0.3230769230769231,0.0,0.3333333333333333,0.5206762028608583,0.4166666666666667,0.19965724078834618,0.38658536585365855
NC,2018,0.8073251771755623,0.3080060539209399,0.13935860058309038,0.12522686025408347,0.0,0.1511627906976744,0.4059531348955035,0.2391304347826087,0.07346938775510205,0.16862745098039217,0.6388791347707002,0.4611041405269762,0.4157303370786517,0.0,0.6,0.7746686303387335,0.6666666666666666,0.3488372093023256,0.5181818181818182
ND,2018,0.7654320987654321,0.2958024691358025,0.09523809523809523,0.13333333333333333,,0.03571428571428571,0.18867924528301888,0.0,0.19230769230769232,0.13432835820895522,0.5748541801685029,0.45454545454545453,0.34210526315789475,,0.08333333333333333,0.45454545454545453,0.0,0.5,0.47058823529411764
OH,2018,0.7924519192081757,0.26480108014130616,0.11939148854226844,0.15384615384615385,,0.14285714285714285,0.37232415902140675,0.23529411764705882,0.12224938875305623,0.14299610894941633,0.5689646242295541,0.41025641025641024,0.4,,0.6,0.7616279069767442,0.8,0.3855421686746988,0.5121951219512195
OK,2018,0.8138950892857143,0.2593856655290102,0.10810810810810811,0.14641744548286603,,0.06666666666666667,0.22058823529411764,0.0,0.031578947368421054,0.138996138996139,0.5955610357583231,0.48148148148148145,0.4307692307692308,,0.5,0.6666666666666666,0.0,0.25,0.4375
OR,2018,0.7793694967836123,0.2729960925124089,0.1414790996784566,0.11353711790393013,0.14285714285714285,0.07894736842105263,0.3206933911159263,0.0989010989010989,0.07608695652173914,0.16889428918590524,0.5604917574741548,0.4189189189189189,0.3275862068965517,0.3333333333333333,0.2,0.639686684073107,0.29411764705882354,0.3,0.4928909952606635
PA,2018,0.7798940094864437,0.26395335392543895,0.11139564660691421,0.2542372881355932,0.6666666666666666,0.0,0.34048117154811713,0.2,0.08290816326530612,0.13576779026217228,0.5507777579116753,0.3580683156654888,0.6,1.0,0.0,0.6857142857142857,0.6,0.30303030303030304,0.4765957446808511
RI,2018,0.7552521008403361,0.2771231206826493,0.14492753623188406,0.16666666666666666,,0.0,0.22277227722772278,0.0,0.0718954248366013,0.14893617021276595,0.5275626423690205,0.3333333333333333,0.4,,0.0,0.5416666666666666,0.0,0.23076923076923078,0.45454545454545453
SC,2018,0.8049358897061779,0.2923085238635749,0.10827395091053048,0.18309859154929578,0.0,0.23529411764705882,0.25806451612903225,0.23529411764705882,0.09659090909090909,0.12672811059907835,0.6099042989518456,0.4059278350515464,0.3333333333333333,0.0,0.6666666666666666,0.6,0.5,0.5348837209302325,0.47435897435897434
SD,2018,0.7856705450091855,0.2675448557801499,0.022222222222222223,0.10839160839160839,0.0,0.058823529411764705,0.12,,0.10714285714285714,0.15384615384615385,0.574703557312253,0.0,0.41935483870967744,0.0,0.6666666666666666,0.625,,0.25,0.375
TN,2018,0.8057818427785783,0.2730951961991906,0.1291358024691358,0.12,0.5,0.0,0.33620689655172414,0.15384615384615385,0.06905370843989769,0.16288659793814433,0.6101749837977966,0.42475728155339804,0.4166666666666667,1.0,0.0,0.6877828054298643,0.6666666666666666,0.3684210526315789,0.5051546391752577
TX,2018,0.7900812218592743,0.28519865828884583,0.17639077340569878,0.21374045801526717,0.25,0.11913357400722022,0.38974210373804696,0.1782178217821782,0.08420279206465833,0.21542643560992183,0.5895018536250031,0.4532437171244886,0.5333333333333333,0.6666666666666666,0.3620689655172414,0.705807680101555,0.4411764705882353,0.3261065943992773,0.5263724434876211
UT,2018,0.8180816551386424,0.2733055194583134,0.15602836879432624,0.10062893081761007,1.0,0.0,0.2707317073170732,0.1452991452991453,0.07489878542510121,0.144,0.6272154391492714,0.5714285714285714,0.25,0.0,0.0,0.717741935483871,0.4642857142857143,0.24324324324324326,0.4666666666666667
VT,2018,0.7658614281921954,0.2559359469906129,0.1111111111111111,0.25,,0.0,0.24,,0.11764705882352941,0.08888888888888889,0.5242255758538522,0.6,1.0,,0.0,0.6875,,0.3333333333333333,0.4444444444444444
VA,2018,0.7851074895977809,0.35149895762985583,0.17890460427324706,0.2872340425531915,0.0,0.1794871794871795,0.3953562340966921,0.12244897959183673,0.11355311355311355,0.223338485316847,0.638824487749859,0.475,0.5806451612903226,0.0,0.5,0.678727386150967,0.3333333333333333,0.3988439306358382,0.5398230088495575
WA,2018,0.7580112157019828,0.2973964648076064,0.16523972602739725,0.13263525305410123,0.2,0.13846153846153847,0.3399474759264663,0.13333333333333333,0.05754857997010463,0.19311123658949747,0.5502912345503622,0.41739130434782606,0.3597560975609756,0.36363636363636365,0.3,0.6087477531455961,0.3958333333333333,0.2564102564102564,0.49482758620689654
WV,2018,0.7984697025792916,0.2359315837576707,0.15953307392996108,0.5,,0.0,0.3728813559322034,0.0,0.09090909090909091,0.18181818181818182,0.5518617021276596,0.4782608695652174,1.0,,0.0,0.7692307692307693,0.0,1.0,0.7083333333333334
WI,2018,0.7784949525848883,0.2676999175597692,0.09834123222748815,0.11160714285714286,0.0,0.1111111111111111,0.2144212523719165,0.2727272727272727,0.06267806267806268,0.16966580976863754,0.5586717943907701,0.35384615384615387,0.37777777777777777,0.0,0.5,0.5443037974683544,0.5,0.21212121212121213,0.5714285714285714
