state,year,accuracy,selection_rate_1,selection_rate_2,selection_rate_3,selection_rate_4,selection_rate_5,selection_rate_6,selection_rate_7,selection_rate_8,selection_rate_9,true_pos_rate_1,true_pos_rate_2,true_pos_rate_3,true_pos_rate_4,true_pos_rate_5,true_pos_rate_6,true_pos_rate_7,true_pos_rate_8,true_pos_rate_9
AL,2018,0.7532333393209988,0.3431569020393729,0.3118597769178238,0.4157303370786517,0.0,0.5,0.2908496732026144,1.0,0.33816425120772947,0.30927835051546393,0.6716847090663058,0.44114002478314746,0.45161290322580644,0.0,1.0,0.6632653061224489,1.0,0.5714285714285714,0.7115384615384616
AK,2018,0.700507614213198,0.3487494100991034,0.5138888888888888,0.3225806451612903,0.3135483870967742,0.36363636363636365,0.12437810945273632,0.3076923076923077,0.38095238095238093,0.2754237288135593,0.5744888023369036,0.6666666666666666,0.4166666666666667,0.36551724137931035,0.5555555555555556,0.22727272727272727,0.2,0.4,0.5411764705882353
AZ,2018,0.7658743276136671,0.33342241905925474,0.3362637362637363,0.3258064516129032,0.4,0.24271844660194175,0.3305988515176374,0.2923076923076923,0.34210526315789475,0.30194174757281556,0.6619952247482612,0.45180722891566266,0.40234375,0.0,0.2,0.6257425742574257,0.4444444444444444,0.49097472924187724,0.7116104868913857
AR,2018,0.7712685763514969,0.29770401582251266,0.33030090972708187,0.34177215189873417,,0.3333333333333333,0.23857868020304568,0.36363636363636365,0.26523297491039427,0.35842293906810035,0.6473574201254105,0.46153846153846156,0.3333333333333333,,0.5,0.6,1.0,0.5555555555555556,0.7205882352941176
CA,2018,0.7444407533283929,0.329925788803861,0.3345798761248101,0.3624420401854714,0.23076923076923078,0.3466666666666667,0.32807484178666424,0.3814756671899529,0.34019216426095733,0.34109188398732637,0.6209133271202236,0.4368010843781769,0.45776566757493187,0.6,0.4791666666666667,0.5565311446204746,0.49473684210526314,0.44715447154471544,0.681337427499147
CO,2018,0.7668498051491727,0.39037297473630794,0.31875,0.3089005235602094,0.2,0.4153846153846154,0.3391572456320658,0.5833333333333334,0.36910994764397903,0.3420158550396376,0.6924574621180056,0.4682926829268293,0.3902439024390244,0.0,0.5,0.6145124716553289,0.7272727272727273,0.45121951219512196,0.7359154929577465
CT,2018,0.751781652767248,0.4029333498360047,0.30853110968569597,0.2972972972972973,,0.4,0.42474916387959866,0.2,0.34339080459770116,0.31654676258992803,0.6651753325272067,0.394273127753304,0.2222222222222222,,0.0,0.7019027484143763,0.5,0.4253731343283582,0.7083333333333334
DE,2018,0.7540844472734989,0.3480188417844278,0.3148148148148148,0.3,,0.4,0.44642857142857145,0.0,0.2876712328767123,0.21518987341772153,0.642809364548495,0.46017699115044247,0.3333333333333333,,1.0,0.7848101265822784,0.0,0.47058823529411764,0.6666666666666666
FL,2018,0.7578872883497599,0.34758568452944516,0.32821713492889354,0.3888888888888889,0.6,0.5,0.3308296346876067,0.3918918918918919,0.37820043891733723,0.33363886342804766,0.6735433902481958,0.4608337150710032,0.38596491228070173,0.0,0.5,0.6318181818181818,0.5,0.5294117647058824,0.7168141592920354
GA,2018,0.749779043503879,0.3835835196422868,0.33454036704797957,0.4326923076923077,,0.36363636363636365,0.39259597806215724,0.3902439024390244,0.36122448979591837,0.3654042988741044,0.7149988987592688,0.4589726484322882,0.5217391304347826,,0.5,0.6989473684210527,0.8571428571428571,0.5641025641025641,0.7928571428571428
