state,year,accuracy,selection_rate_1,selection_rate_2,selection_rate_3,selection_rate_4,selection_rate_5,selection_rate_6,selection_rate_7,selection_rate_8,selection_rate_9,true_pos_rate_1,true_pos_rate_2,true_pos_rate_3,true_pos_rate_4,true_pos_rate_5,true_pos_rate_6,true_pos_rate_7,true_pos_rate_8,true_pos_rate_9
AL,2018,0.740210167055865,0.43504656371566663,0.3116321420441612,0.48314606741573035,0.0,0.16666666666666666,0.38562091503267976,1.0,0.2560386473429952,0.33676975945017185,0.7478010825439784,0.6480793060718711,0.7419354838709677,0.0,0.0,0.7959183673469388,1.0,0.7619047619047619,0.7692307692307693
AK,2018,0.7309644670050761,0.43227937706465314,0.3333333333333333,0.41935483870967744,0.26193548387096777,0.13636363636363635,0.208955223880597,0.5384615384615384,0.35714285714285715,0.3474576271186441,0.6630963972736125,0.5833333333333334,0.6666666666666666,0.5103448275862069,0.1111111111111111,0.4772727272727273,0.8,0.65,0.5882352941176471
AZ,2018,0.7583315803708267,0.4167302993280391,0.3567765567765568,0.29870967741935484,0.6,0.2912621359223301,0.46267432321575064,0.5076923076923077,0.30892448512585813,0.3466019417475728,0.7374649641856119,0.7349397590361446,0.65234375,1.0,0.8,0.7782178217821782,0.7777777777777778,0.7256317689530686,0.7191011235955056
AR,2018,0.7407566946658052,0.3920371485080402,0.311406578026592,0.46835443037974683,,0.26666666666666666,0.3553299492385787,0.36363636363636365,0.23297491039426524,0.40860215053763443,0.7270827112570917,0.6832579185520362,0.7222222222222222,,0.5,0.7818181818181819,1.0,0.7777777777777778,0.7794117647058824
CA,2018,0.7659417882605474,0.4050873510404443,0.37513147131003854,0.35780525502318394,0.5384615384615384,0.31555555555555553,0.45070164174997707,0.4379905808477237,0.27302241916377834,0.3699731903485255,0.6956570363466915,0.6550321924771264,0.670299727520436,1.0,0.6979166666666666,0.7091684163644462,0.7789473684210526,0.6827009936766034,0.6615489593995223
CO,2018,0.7484188334504568,0.4643517343868933,0.3725,0.36649214659685864,0.6,0.36923076923076925,0.4563206577595067,0.4166666666666667,0.362565445026178,0.3714609286523216,0.7481588080927791,0.6878048780487804,0.7804878048780488,1.0,0.8333333333333334,0.7437641723356009,0.7272727272727273,0.7560975609756098,0.7077464788732394
CT,2018,0.7583017437452616,0.4809084720589145,0.30596536241180244,0.2702702702702703,,0.26666666666666666,0.5183946488294314,0.6,0.2801724137931034,0.3597122302158273,0.7332527206771463,0.5638766519823789,0.5555555555555556,,0.0,0.7970401691331924,1.0,0.664179104477612,0.7083333333333334
DE,2018,0.742414597920645,0.42975893599334997,0.3505291005291005,0.35,,0.4,0.5238095238095238,0.6666666666666666,0.2328767123287671,0.3291139240506329,0.7090301003344481,0.6327433628318584,1.0,,1.0,0.7974683544303798,1.0,0.4117647058823529,0.8
FL,2018,0.737690169320192,0.43164804645584803,0.3249219562955255,0.494949494949495,0.6,0.23214285714285715,0.4544213041993855,0.3783783783783784,0.3792977322604243,0.38725939505041246,0.737123745819398,0.6715529088410445,0.7894736842105263,0.0,0.6666666666666666,0.77,0.8333333333333334,0.8054298642533937,0.6902654867256637
GA,2018,0.74642050476284,0.4616590691327197,0.3674594683565139,0.49038461538461536,,0.48484848484848486,0.5109689213893968,0.4146341463414634,0.33163265306122447,0.3664278403275333,0.768592614345496,0.6961307538358906,0.782608695652174,,0.9,0.8157894736842105,1.0,0.8076923076923077,0.7178571428571429
