state,year,accuracy,selection_rate_1,selection_rate_2,selection_rate_3,selection_rate_4,selection_rate_5,selection_rate_6,selection_rate_7,selection_rate_8,selection_rate_9,true_pos_rate_1,true_pos_rate_2,true_pos_rate_3,true_pos_rate_4,true_pos_rate_5,true_pos_rate_6,true_pos_rate_7,true_pos_rate_8,true_pos_rate_9
AL,2018,0.7975121250224537,0.3683838264764824,0.17436831322558616,0.29213483146067415,0.0,0.08333333333333333,0.3366013071895425,0.6666666666666666,0.07246376811594203,0.21993127147766323,0.7200608930987822,0.5204460966542751,0.5806451612903226,0.0,0.0,0.8061224489795918,1.0,0.5238095238095238,0.6538461538461539
AK,2018,0.7625493513818387,0.3751769702689948,0.2916666666666667,0.2903225806451613,0.09161290322580645,0.0,0.13432835820895522,0.15384615384615385,0.14285714285714285,0.1694915254237288,0.6124634858812074,0.5416666666666666,0.5833333333333334,0.31724137931034485,0.0,0.38636363636363635,0.2,0.25,0.38823529411764707
AZ,2018,0.8037383177570093,0.3586209529627367,0.24322344322344322,0.12774193548387097,0.4,0.10679611650485436,0.4306808859721083,0.23076923076923078,0.10011441647597254,0.22718446601941747,0.7080867850098619,0.641566265060241,0.390625,0.5,0.3,0.805940594059406,0.6111111111111112,0.37906137184115524,0.6217228464419475
AR,2018,0.8014214947232393,0.3231576231834208,0.17774667599720084,0.21518987341772153,,0.2,0.3197969543147208,0.09090909090909091,0.053763440860215055,0.25448028673835127,0.6987160346372051,0.583710407239819,0.5555555555555556,,0.5,0.7818181818181819,1.0,0.3333333333333333,0.6470588235294118
CA,2018,0.7982521145835996,0.3519660182139729,0.24997078415332477,0.19397217928902627,0.46153846153846156,0.14222222222222222,0.41685774557461247,0.18524332810047095,0.07888386785416575,0.24847672434803802,0.6625163094128611,0.542189088444595,0.5149863760217984,1.0,0.4583333333333333,0.7157854552395495,0.4473684210526316,0.3012646793134598,0.5796656431252133
CO,2018,0.79000830511723,0.41690528833955565,0.25125,0.19895287958115182,0.4,0.16923076923076924,0.43371017471736895,0.2777777777777778,0.12827225130890052,0.2650056625141563,0.7372386354016761,0.6439024390243903,0.4634146341463415,1.0,0.4166666666666667,0.7619047619047619,0.45454545454545453,0.39634146341463417,0.6549295774647887
CT,2018,0.7903967652261814,0.43047218268457205,0.1860166773572803,0.1891891891891892,,0.06666666666666667,0.4927536231884058,0.2,0.08908045977011494,0.23261390887290168,0.7076178960096735,0.47577092511013214,0.6666666666666666,,0.0,0.828752642706131,0.5,0.35074626865671643,0.6
DE,2018,0.7865478463823466,0.37101690218897204,0.23809523809523808,0.1,,0.0,0.5476190476190477,0.3333333333333333,0.0958904109589041,0.13924050632911392,0.6789297658862876,0.5707964601769911,0.3333333333333333,,0.0,0.9240506329113924,0.5,0.29411764705882354,0.5333333333333333
FL,2018,0.7948243618903209,0.3733383828820299,0.19502254595907043,0.2727272727272727,0.2,0.125,0.42232843974052575,0.16216216216216217,0.15618141916605707,0.24289642529789185,0.7226544622425629,0.5785616124599176,0.5263157894736842,0.0,0.8333333333333334,0.7936363636363636,0.5555555555555556,0.5135746606334841,0.6194690265486725
GA,2018,0.8043405676126878,0.4129671031619291,0.2404740350588429,0.3173076923076923,,0.24242424242424243,0.4716636197440585,0.2682926829268293,0.11122448979591837,0.28556806550665303,0.7644078995668453,0.6177451634422949,0.8260869565217391,,0.6,0.8263157894736842,0.7142857142857143,0.4230769230769231,0.7321428571428571
HI,2018,0.7724744534989005,0.4,0.2356687898089172,0.2222222222222222,0.0,0.0,0.30169726359542776,0.12955974842767295,0.14018691588785046,0.21710914454277286,0.67570385818561,0.5294117647058824,0.8,0.0,0.0,0.5980304386750224,0.34,0.39285714285714285,0.47952218430034127
ID,2018,0.8020568663036902,0.3417937927406628,0.1875,0.16379310344827586,0.0,0.16666666666666666,0.31,0.16666666666666666,0.06701030927835051,0.1411764705882353,0.7314611671785871,0.8333333333333334,0.55,0.0,0.0,0.7777777777777778,0.5,0.2608695652173913,0.5
