state,year,accuracy,selection_rate_1,selection_rate_2,selection_rate_3,selection_rate_4,selection_rate_5,selection_rate_6,selection_rate_7,selection_rate_8,selection_rate_9,true_pos_rate_1,true_pos_rate_2,true_pos_rate_3,true_pos_rate_4,true_pos_rate_5,true_pos_rate_6,true_pos_rate_7,true_pos_rate_8,true_pos_rate_9
AL,2018,0.7563319561702893,0.38329600377225037,0.3466879125882085,0.4157303370786517,0.0,0.3333333333333333,0.37254901960784315,0.0,0.3333333333333333,0.3848797250859107,0.7298714479025711,0.630731102850062,0.5483870967741935,0.0,0.0,0.5816326530612245,0.0,0.47619047619047616,0.4230769230769231
AK,2018,0.7117879300620418,0.40207645115620577,0.5138888888888888,0.3870967741935484,0.2567741935483871,0.4318181818181818,0.20398009950248755,0.34615384615384615,0.47619047619047616,0.3898305084745763,0.6455696202531646,0.7083333333333334,0.6666666666666666,0.3586206896551724,0.4444444444444444,0.2727272727272727,0.6,0.6,0.5176470588235295
AZ,2018,0.7606154400937585,0.3791615760537569,0.389010989010989,0.3141935483870968,0.4,0.2912621359223301,0.37981952420016407,0.4153846153846154,0.3524027459954233,0.36601941747572814,0.7264611232222569,0.7168674698795181,0.42578125,0.0,0.3,0.5821782178217821,0.6666666666666666,0.4259927797833935,0.4756554307116105
AR,2018,0.7677507358747936,0.3397540631180669,0.3463960811756473,0.21518987341772153,,0.4,0.30456852791878175,0.45454545454545453,0.2903225806451613,0.4229390681003584,0.7115556882651538,0.6787330316742082,0.3888888888888889,,0.5,0.4909090909090909,0.0,0.5,0.6029411764705882
CA,2018,0.7340914317839163,0.38160091235145366,0.41696856374897745,0.33539412673879443,0.3076923076923077,0.42,0.3783362377327341,0.36577708006279436,0.34633440091256085,0.3903241530587375,0.6951724137931035,0.6665537106065741,0.5149863760217984,0.4,0.4270833333333333,0.5318444995864351,0.46842105263157896,0.41485998193315266,0.4814056635960423
CO,2018,0.7619945058455249,0.435753379970278,0.4275,0.34554973821989526,0.8,0.4153846153846154,0.3926002055498458,0.3611111111111111,0.3704188481675393,0.39637599093997733,0.7484974180987048,0.7707317073170732,0.5365853658536586,1.0,0.3333333333333333,0.564625850340136,0.2727272727272727,0.4634146341463415,0.528169014084507
CT,2018,0.763356077836745,0.4453864719351445,0.3617703656189865,0.2972972972972973,,0.26666666666666666,0.43701226309921964,0.8,0.3232758620689655,0.36930455635491605,0.7223700120918984,0.6057268722466961,0.5555555555555556,,0.0,0.642706131078224,1.0,0.3880597014925373,0.45
DE,2018,0.7680882664969234,0.3904128567470213,0.376984126984127,0.1,,0.2,0.44642857142857145,0.3333333333333333,0.3561643835616438,0.379746835443038,0.7150501672240802,0.6548672566371682,0.0,,0.0,0.6582278481012658,0.5,0.5294117647058824,0.5333333333333333
FL,2018,0.7579782663634066,0.39152938206147825,0.3701873048907388,0.3686868686868687,0.4,0.3392857142857143,0.36428815295322636,0.33783783783783783,0.3723482077542063,0.3748854262144821,0.7352578771343073,0.6944571690334402,0.49122807017543857,0.0,0.5,0.5672727272727273,0.4444444444444444,0.504524886877828,0.5008849557522124
GA,2018,0.7574585092801729,0.4262361720042972,0.40268290675664553,0.40384615384615385,,0.3939393939393939,0.420018281535649,0.43902439024390244,0.37244897959183676,0.39508700102354144,0.7736583217091256,0.710140093395597,0.6956521739130435,,0.5,0.62,0.5714285714285714,0.4551282051282051,0.55
HI,2018,0.6745569783986548,0.43091787439613527,0.46496815286624205,0.16666666666666666,0.0,0.0,0.3290613093176308,0.36855345911949683,0.27102803738317754,0.3864306784660767,0.7059436913451512,0.6470588235294118,0.4,0.0,0.0,0.5022381378692927,0.455,0.5357142857142857,0.48464163822525597
ID,2018,0.7762855414398064,0.35967911625460286,0.4166666666666667,0.35344827586206895,0.3333333333333333,0.3333333333333333,0.31,0.4166666666666667,0.29381443298969073,0.3,0.7428696796840719,0.8333333333333334,0.55,0.0,0.0,0.48148148148148145,0.5,0.21739130434782608,0.5
IL,2018,0.7645935299033066,0.39750649159315665,0.37649753347427767,0.36363636363636365,0.5,0.21428571428571427,0.4176279207335108,0.42424242424242425,0.35073339085418465,0.3642495784148398,0.7220596061734965,0.6631016042780749,0.5652173913043478,0.0,0.6,0.582853486884197,0.3333333333333333,0.3910891089108911,0.4707692307692308
IN,2018,0.7775398321055337,0.3507959479015919,0.3511303511303511,0.4727272727272727,0.0,0.125,0.3550834597875569,0.4375,0.38104089219330856,0.3872113676731794,0.7213015968665261,0.6226415094339622,0.6666666666666666,0.0,0.6666666666666666,0.6098654708520179,0.5,0.37894736842105264,0.5433070866141733
IA,2018,0.7781910397295013,0.3495712243925679,0.28378378378378377,0.40425531914893614,,0.15384615384615385,0.2867647058823529,0.3,0.3509933774834437,0.34146341463414637,0.7080897605129172,0.43333333333333335,0.7777777777777778,,0.0,0.5846153846153846,0.0,0.5882352941176471,0.6785714285714286
KS,2018,0.7644714367052572,0.39044422225396375,0.3522727272727273,0.3684210526315789,0.25,0.2222222222222222,0.4115942028985507,0.3125,0.3602941176470588,0.4097560975609756,0.7559089905014358,0.768,0.6666666666666666,0.0,0.3333333333333333,0.576,0.2,0.5483870967741935,0.5760869565217391
KY,2018,0.7797418885758429,0.35766055969398025,0.3563664596273292,0.2727272727272727,1.0,0.3333333333333333,0.36163522012578614,0.3333333333333333,0.3179190751445087,0.36217948717948717,0.7245247740729199,0.7288135593220338,0.5,0.0,0.0,0.6261682242990654,0.3333333333333333,0.5,0.5
ME,2018,0.7762067980576978,0.3525612137599519,0.32,0.425,,0.3333333333333333,0.34210526315789475,1.0,0.26666666666666666,0.32575757575757575,0.7128329297820823,0.875,0.6666666666666666,,1.0,0.6956521739130435,0.0,0.5,0.5263157894736842
MD,2018,0.7606077113976152,0.4847373684461165,0.4577428497809843,0.4339622641509434,0.5,0.4782608695652174,0.432579185520362,0.4,0.3599274705349048,0.4115606936416185,0.7685757820202563,0.7106274007682458,0.6190476190476191,1.0,0.4444444444444444,0.606926406926407,0.625,0.5172413793103449,0.5084745762711864
MI,2018,0.7853343465045592,0.3650731301555027,0.36195148541837013,0.33451957295373663,,0.3684210526315789,0.4262890341321714,0.45454545454545453,0.37115839243498816,0.37760702524698136,0.7340234919370894,0.7114882506527415,0.6,,0.16666666666666666,0.6501547987616099,0.6666666666666666,0.5681818181818182,0.5299539170506913
MN,2018,0.7641919989684407,0.38664447827780335,0.317351598173516,0.31970260223048325,0.0,0.46153846153846156,0.31511627906976747,0.2857142857142857,0.3233082706766917,0.3869565217391304,0.702273349767187,0.7099236641221374,0.5625,0.0,0.5,0.553030303030303,0.0,0.4594594594594595,0.5446428571428571
MS,2018,0.7352339070437486,0.4068030337853367,0.34965034965034963,0.32075471698113206,,0.4,0.3641304347826087,0.0,0.3584905660377358,0.3488372093023256,0.7447787610619468,0.6693290734824281,0.2857142857142857,,0.0,0.6458333333333334,0.0,0.6875,0.5757575757575758
MO,2018,0.7724545224861041,0.3616634594825743,0.3664539653600729,0.3883495145631068,0.0,0.42857142857142855,0.3811252268602541,0.40540540540540543,0.35384615384615387,0.37103174603174605,0.7246067415730337,0.7200854700854701,0.7692307692307693,0.0,0.6666666666666666,0.6216216216216216,0.4444444444444444,0.4642857142857143,0.5247524752475248
MT,2018,0.7517847336628226,0.36849451645064807,0.2857142857142857,0.3745019920318725,,0.3,0.16666666666666666,0.3333333333333333,0.3333333333333333,0.3025210084033613,0.7164674634794157,0.0,0.6041666666666666,,0.0,0.2222222222222222,0.0,0.5,0.28125
NE,2018,0.7599443671766342,0.3952733542955675,0.37218045112781956,0.2708333333333333,,0.75,0.30412371134020616,0.0,0.375,0.3670212765957447,0.7519574068274351,0.6875,0.5,,0.8,0.5490196078431373,0.0,0.47619047619047616,0.4722222222222222
NV,2018,0.7407982710879989,0.35251223653980623,0.3539651837524178,0.27413127413127414,,0.3888888888888889,0.2814070351758794,0.35106382978723405,0.34208606856309265,0.3399014778325123,0.6631632914637272,0.6475409836065574,0.4482758620689655,,0.7777777777777778,0.45393258426966293,0.6153846153846154,0.39375,0.4064516129032258
NH,2018,0.7853376851619382,0.39163447449047556,0.23655913978494625,0.2857142857142857,0.0,0.2,0.4046242774566474,0.6666666666666666,0.32653061224489793,0.456,0.7226061204343535,0.75,1.0,0.0,0.0,0.6790123456790124,0.6666666666666666,0.46153846153846156,0.6875
NJ,2018,0.7465729055482304,0.4374696281050796,0.38112798264642084,0.3125,,0.375,0.44825487012987014,0.3684210526315789,0.34492350486787204,0.3941908713692946,0.7071127416087171,0.6082406801831263,0.4444444444444444,,0.6363636363636364,0.5907791279485347,0.0,0.4182242990654206,0.5027027027027027
NM,2018,0.7629434048903685,0.37397991211550535,0.43103448275862066,0.30711920529801323,0.3333333333333333,0.42857142857142855,0.3803680981595092,0.5555555555555556,0.3639705882352941,0.4423963133640553,0.7470997679814385,0.7878787878787878,0.50625,0.0,1.0,0.65625,0.6666666666666666,0.5047619047619047,0.676056338028169
NY,2018,0.742110831772163,0.3982624041267902,0.3636988065596291,0.31983805668016196,0.3333333333333333,0.3564356435643564,0.3340738389929123,0.3157894736842105,0.3557551319648094,0.37743674823724593,0.6934531916825569,0.5874070138150903,0.4461538461538462,0.0,0.26666666666666666,0.4967490247074122,0.16666666666666666,0.4284490145672665,0.44878048780487806
NC,2018,0.7555649451668043,0.41815663237821615,0.37142857142857144,0.32849364791288566,0.0,0.43023255813953487,0.3907536415452818,0.30434782608695654,0.3640816326530612,0.37254901960784315,0.7680314628836294,0.7007528230865746,0.5056179775280899,0.0,0.7333333333333333,0.6097201767304861,0.5333333333333333,0.4883720930232558,0.5136363636363637
ND,2018,0.7441077441077442,0.3906172839506173,0.36507936507936506,0.3393939393939394,,0.2857142857142857,0.24528301886792453,0.3333333333333333,0.2692307692307692,0.3283582089552239,0.6908619572261827,0.6363636363636364,0.5263157894736842,,0.16666666666666666,0.36363636363636365,0.0,0.25,0.23529411764705882
OH,2018,0.7856280679166331,0.36587937189043224,0.348738686693626,0.32051282051282054,,0.4,0.4013761467889908,0.47058823529411764,0.3569682151589242,0.3472762645914397,0.7308230175583985,0.6676923076923077,0.4,,0.8,0.622093023255814,0.8,0.43373493975903615,0.47317073170731705
OK,2018,0.741362951386951,0.36217228464419476,0.3689119170984456,0.33727034120734906,0.3333333333333333,0.4788732394366197,0.29559748427672955,0.2,0.3283582089552239,0.38854003139717425,0.7202627098029677,0.7298850574712644,0.4277456647398844,1.0,0.4,0.5106382978723404,0.0,0.41304347826086957,0.4944649446494465
