state,year,accuracy,selection_rate_1,selection_rate_2,selection_rate_3,selection_rate_4,selection_rate_5,selection_rate_6,selection_rate_7,selection_rate_8,selection_rate_9,true_pos_rate_1,true_pos_rate_2,true_pos_rate_3,true_pos_rate_4,true_pos_rate_5,true_pos_rate_6,true_pos_rate_7,true_pos_rate_8,true_pos_rate_9
AL,2018,0.80016166696605,0.3826476482376518,0.18552242203505578,0.3258426966292135,0.0,0.08333333333333333,0.33986928104575165,1.0,0.07729468599033816,0.24054982817869416,0.7476319350473613,0.5353159851301115,0.6129032258064516,0.0,0.0,0.8367346938775511,1.0,0.5238095238095238,0.6923076923076923
AK,2018,0.7656514382402707,0.39358187824445495,0.2638888888888889,0.3548387096774194,0.0967741935483871,0.09090909090909091,0.12437810945273632,0.11538461538461539,0.19047619047619047,0.2076271186440678,0.631937682570594,0.4166666666666667,0.75,0.3103448275862069,0.2222222222222222,0.4090909090909091,0.2,0.35,0.5058823529411764
AZ,2018,0.8049403491901314,0.36713500305436775,0.23956043956043957,0.14193548387096774,0.4,0.10679611650485436,0.4273995077932732,0.27692307692307694,0.12242562929061784,0.2407766990291262,0.7222049205854874,0.6174698795180723,0.42578125,0.5,0.3,0.807920792079208,0.6111111111111112,0.44404332129963897,0.6591760299625468
AR,2018,0.8023547993395075,0.3337346289448792,0.17564730580825752,0.26582278481012656,,0.2,0.3248730964467005,0.09090909090909091,0.05734767025089606,0.23655913978494625,0.7166318303971335,0.6018099547511312,0.7777777777777778,,0.5,0.8,1.0,0.2777777777777778,0.6323529411764706
CA,2018,0.8017478854164005,0.3668578417599127,0.25499590978146547,0.20556414219474498,0.3076923076923077,0.16,0.4183863768381791,0.17582417582417584,0.0960382573597157,0.2622471362417743,0.6838583410997204,0.5547272111148763,0.5613079019073569,0.6,0.4791666666666667,0.7187122224343068,0.4263157894736842,0.35501355013550134,0.6035482770385534
CO,2018,0.7894972209800039,0.4231034107796586,0.26375,0.193717277486911,0.6,0.2,0.4460431654676259,0.2777777777777778,0.13612565445026178,0.27519818799546997,0.7444340980275967,0.6439024390243903,0.5121951219512195,1.0,0.3333333333333333,0.780045351473923,0.45454545454545453,0.4024390243902439,0.6619718309859155
CT,2018,0.7945413191811979,0.43257627328423787,0.18729955099422707,0.1891891891891892,,0.06666666666666667,0.4882943143812709,0.4,0.10201149425287356,0.2422062350119904,0.7145102781136639,0.473568281938326,0.7777777777777778,,0.0,0.8308668076109936,1.0,0.3656716417910448,0.625
DE,2018,0.800763844684914,0.37378775284012195,0.2275132275132275,0.1,,0.2,0.5357142857142857,0.3333333333333333,0.0958904109589041,0.16455696202531644,0.7016722408026755,0.5663716814159292,0.3333333333333333,,1.0,0.9113924050632911,0.5,0.29411764705882354,0.6666666666666666
FL,2018,0.7967652261814506,0.3722148582970397,0.19476240027748873,0.25757575757575757,0.0,0.08928571428571429,0.4096961420279959,0.17567567567567569,0.16752011704462327,0.2534372135655362,0.7232529484245731,0.5822262940907009,0.5087719298245614,0.0,0.6666666666666666,0.79,0.6111111111111112,0.5565610859728507,0.6495575221238938
GA,2018,0.8076991063537268,0.4142736854330594,0.2412147148382849,0.2980769230769231,,0.15151515151515152,0.47074954296160876,0.21951219512195122,0.12142857142857143,0.2917093142272262,0.770060935320461,0.6270847231487658,0.782608695652174,,0.4,0.8273684210526315,0.7142857142857143,0.4807692307692308,0.7464285714285714
