state,year,accuracy,selection_rate_1,selection_rate_2,selection_rate_3,selection_rate_4,selection_rate_5,selection_rate_6,selection_rate_7,selection_rate_8,selection_rate_9,true_pos_rate_1,true_pos_rate_2,true_pos_rate_3,true_pos_rate_4,true_pos_rate_5,true_pos_rate_6,true_pos_rate_7,true_pos_rate_8,true_pos_rate_9
AL,2018,0.7214388359978444,0.4138865967228575,0.39562941042567723,0.33707865168539325,0.0,0.4166666666666667,0.4150326797385621,1.0,0.40096618357487923,0.38144329896907214,0.7110960757780784,0.7323420074349443,0.3870967741935484,0.0,1.0,0.7142857142857143,1.0,0.5714285714285714,0.5384615384615384
AK,2018,0.697687535250987,0.42708824917413873,0.4305555555555556,0.5806451612903226,0.32903225806451614,0.25,0.23880597014925373,0.46153846153846156,0.5238095238095238,0.326271186440678,0.6630963972736125,0.75,0.75,0.42758620689655175,0.2222222222222222,0.4090909090909091,0.8,0.6,0.38823529411764707
AZ,2018,0.734801815067464,0.3843540012217471,0.4293040293040293,0.352258064516129,0.6,0.3592233009708738,0.4593929450369155,0.4307692307692308,0.39702517162471396,0.36310679611650487,0.6903353057199211,0.7680722891566265,0.46484375,0.5,0.3,0.7168316831683168,0.6666666666666666,0.5451263537906137,0.4943820224719101
AR,2018,0.7235264555962381,0.37251698340356004,0.39538138558432473,0.46835443037974683,,0.06666666666666667,0.4416243654822335,0.22727272727272727,0.34767025089605735,0.3942652329749104,0.6834876082412661,0.746606334841629,0.6666666666666666,,0.0,0.7818181818181819,1.0,0.5555555555555556,0.5441176470588235
CA,2018,0.7242634093987173,0.3829066327289556,0.43928947060885826,0.35857805255023184,0.6153846153846154,0.35777777777777775,0.46033201871044666,0.423861852433281,0.3682709603825736,0.3938581525712893,0.6631873252562908,0.7326330057607591,0.5040871934604905,0.8,0.3958333333333333,0.6617038875103392,0.5526315789473685,0.46476964769647694,0.5114295462299556
CO,2018,0.734044592090973,0.4336148464967922,0.43,0.418848167539267,1.0,0.3230769230769231,0.45323741007194246,0.5833333333333334,0.40575916230366493,0.42242355605889015,0.7067637348683654,0.8,0.6097560975609756,1.0,0.4166666666666667,0.6825396825396826,0.6363636363636364,0.49390243902439024,0.5950704225352113
CT,2018,0.7457669951983826,0.45355529426325886,0.3758819756254009,0.40540540540540543,,0.6,0.5239687848383501,0.4,0.3735632183908046,0.38848920863309355,0.703869407496977,0.6828193832599119,0.5555555555555556,,1.0,0.7674418604651163,0.5,0.4552238805970149,0.5916666666666667
DE,2018,0.7388075535752174,0.41535051260737044,0.42857142857142855,0.45,,0.6,0.5476190476190477,0.6666666666666666,0.3287671232876712,0.35443037974683544,0.6976588628762542,0.7566371681415929,0.6666666666666666,,1.0,0.7341772151898734,0.5,0.47058823529411764,0.6666666666666666
FL,2018,0.7317664897649735,0.3932588524900587,0.3963753035032952,0.398989898989899,0.4,0.44642857142857145,0.4496415158757255,0.4189189189189189,0.40819312362838334,0.36480293308890926,0.6927301531420524,0.7682088868529546,0.5263157894736842,0.0,0.5,0.6763636363636364,0.5,0.5678733031674208,0.4849557522123894
GA,2018,0.7289600314249239,0.43111407914985045,0.45362521603160233,0.5288461538461539,,0.45454545454545453,0.496800731261426,0.4146341463414634,0.3979591836734694,0.4247697031729785,0.7289479480214375,0.7938625750500333,0.782608695652174,,0.5,0.7347368421052631,0.8571428571428571,0.5384615384615384,0.6142857142857143
ID,2018,0.7399879007864488,0.37927406628090476,0.4375,0.4396551724137931,0.3333333333333333,0.4444444444444444,0.43,0.3333333333333333,0.4020618556701031,0.3352941176470588,0.7143483984203598,1.0,0.65,0.0,0.0,0.7777777777777778,0.5,0.5652173913043478,0.34615384615384615
IL,2018,0.7356601408618837,0.4139702767904827,0.41719520789288234,0.4155844155844156,0.5,0.47619047619047616,0.5007394262052647,0.5454545454545454,0.3744607420189819,0.3954468802698145,0.6938531133581692,0.7466577540106952,0.4782608695652174,0.0,0.6,0.727447216890595,0.7777777777777778,0.49504950495049505,0.563076923076923
IN,2018,0.745388612871909,0.36803344589162246,0.39345839345839345,0.43636363636363634,1.0,0.5,0.4355083459787557,0.4375,0.3996282527881041,0.40142095914742454,0.6914733353419704,0.7196765498652291,0.6666666666666666,0.0,0.6666666666666666,0.7847533632286996,0.0,0.4,0.6062992125984252
IA,2018,0.7394759087066779,0.3807170080990948,0.2905405405405405,0.2978723404255319,,0.46153846153846156,0.35294117647058826,0.5,0.304635761589404,0.3902439024390244,0.6922496699981143,0.6333333333333333,0.5555555555555556,,1.0,0.6923076923076923,1.0,0.4117647058823529,0.75
KS,2018,0.7289808312772822,0.4102271104127982,0.3912337662337662,0.3533834586466165,0.25,0.4444444444444444,0.47246376811594204,0.25,0.39338235294117646,0.348780487804878,0.7223326706428098,0.832,0.6333333333333333,0.0,1.0,0.72,0.0,0.5161290322580645,0.5652173913043478
KY,2018,0.745523948014178,0.3759814777531709,0.38975155279503104,0.2727272727272727,1.0,0.1111111111111111,0.44654088050314467,0.3333333333333333,0.3815028901734104,0.3557692307692308,0.6953879713306326,0.7838983050847458,0.25,0.0,0.0,0.7102803738317757,0.6666666666666666,0.4166666666666667,0.6612903225806451
ME,2018,0.744358754641531,0.3747934505032297,0.25333333333333335,0.25,,0.5,0.34210526315789475,0.0,0.4,0.3333333333333333,0.6929782082324455,0.875,1.0,,0.0,0.5652173913043478,0.0,0.5,0.631578947368421
MD,2018,0.740693662611222,0.47102242963950663,0.49227003349652154,0.3584905660377358,1.0,0.30434782608695654,0.5180995475113123,0.6,0.39075249320036265,0.4635838150289017,0.7159630725105315,0.7864916773367477,0.3333333333333333,1.0,0.4444444444444444,0.7116883116883117,0.75,0.5517241379310345,0.5677966101694916
MI,2018,0.754619260918253,0.3733681462140992,0.378032161351867,0.4199288256227758,,0.45614035087719296,0.4793028322440087,0.45454545454545453,0.42789598108747046,0.3907793633369923,0.693675758179043,0.7637075718015666,0.65,,0.5833333333333334,0.7337461300309598,0.6666666666666666,0.6477272727272727,0.5714285714285714
MN,2018,0.732342606621321,0.4061183302057147,0.3082191780821918,0.39776951672862454,1.0,0.28205128205128205,0.3732558139534884,0.42857142857142855,0.37218045112781956,0.3847826086956522,0.6807267415320004,0.7404580152671756,0.6041666666666666,0.0,1.0,0.6931818181818182,0.6666666666666666,0.43243243243243246,0.6071428571428571
MS,2018,0.700811282129047,0.4042748793380832,0.43156843156843155,0.32075471698113206,,0.8,0.3858695652173913,0.5,0.46226415094339623,0.4728682170542636,0.6920353982300885,0.8083067092651757,0.42857142857142855,,0.0,0.75,0.0,0.5625,0.6363636363636364
MO,2018,0.7366409802930773,0.38147673009764094,0.42570647219690066,0.4368932038834951,1.0,0.2857142857142857,0.49364791288566245,0.21621621621621623,0.4205128205128205,0.36904761904761907,0.6957303370786517,0.8141025641025641,0.5769230769230769,0.0,0.3333333333333333,0.7747747747747747,0.4444444444444444,0.5357142857142857,0.48514851485148514
MT,2018,0.7166392092257001,0.38245264207377866,0.14285714285714285,0.43824701195219123,,0.3,0.23333333333333334,0.3333333333333333,0.23809523809523808,0.33613445378151263,0.6792828685258964,0.0,0.5833333333333334,,0.0,0.2222222222222222,0.0,0.0,0.46875
NE,2018,0.7279554937413074,0.40389491834871694,0.40225563909774437,0.2916666666666667,,0.625,0.39690721649484534,0.5,0.3630952380952381,0.35638297872340424,0.7096774193548387,0.8125,0.4166666666666667,,0.6,0.7058823529411765,1.0,0.6666666666666666,0.4722222222222222
NV,2018,0.7159451610724658,0.36100289681350517,0.3945841392649903,0.33976833976833976,,0.3611111111111111,0.3704235463029433,0.3191489361702128,0.36177972283005105,0.3842364532019704,0.6303511920020508,0.75,0.4482758620689655,,0.3333333333333333,0.550561797752809,0.6923076923076923,0.45625,0.5870967741935483
