state,year,accuracy,selection_rate_1,selection_rate_2,selection_rate_3,selection_rate_4,selection_rate_5,selection_rate_6,selection_rate_7,selection_rate_8,selection_rate_9,true_pos_rate_1,true_pos_rate_2,true_pos_rate_3,true_pos_rate_4,true_pos_rate_5,true_pos_rate_6,true_pos_rate_7,true_pos_rate_8,true_pos_rate_9
AL,2018,0.769983833303395,0.4849109984675233,0.19599362622353744,0.3707865168539326,0.0,0.0,0.3431372549019608,1.0,0.08695652173913043,0.20962199312714777,0.838125845737483,0.5600991325898389,0.7096774193548387,0.0,0.0,0.8163265306122449,1.0,0.42857142857142855,0.6730769230769231
AK,2018,0.7825719120135364,0.5040113260972157,0.3333333333333333,0.3870967741935484,0.10838709677419354,0.09090909090909091,0.13432835820895522,0.15384615384615385,0.2857142857142857,0.17372881355932204,0.7887049659201558,0.5833333333333334,0.6666666666666666,0.3103448275862069,0.2222222222222222,0.3409090909090909,0.4,0.5,0.3764705882352941
AZ,2018,0.7897947531327945,0.4428833231521075,0.263003663003663,0.1529032258064516,0.4,0.10679611650485436,0.42821985233798193,0.26153846153846155,0.09954233409610984,0.2087378640776699,0.8008927644555175,0.6566265060240963,0.453125,0.5,0.2,0.7960396039603961,0.6111111111111112,0.37906137184115524,0.5655430711610487
AR,2018,0.7526024840261325,0.438730759308625,0.1966410076976907,0.3291139240506329,,0.13333333333333333,0.3350253807106599,0.09090909090909091,0.043010752688172046,0.21505376344086022,0.8017318602567931,0.6063348416289592,0.6666666666666666,,0.5,0.7818181818181819,1.0,0.3333333333333333,0.5294117647058824
CA,2018,0.7975877136943245,0.4334578450655339,0.2693701063456819,0.2063369397217929,0.5384615384615384,0.10444444444444445,0.40310006420251304,0.16326530612244897,0.07480366779274339,0.21728003899585668,0.760838769804287,0.5601491019993222,0.5286103542234333,1.0,0.34375,0.6861360310491824,0.3894736842105263,0.2804878048780488,0.5076765609007164
CO,2018,0.7758257203092059,0.5008155424263293,0.27,0.2670157068062827,0.4,0.2,0.45837615621788286,0.3055555555555556,0.13481675392670156,0.25934314835787087,0.8179124693134682,0.6780487804878049,0.6097560975609756,1.0,0.4166666666666667,0.7868480725623582,0.6363636363636364,0.3780487804878049,0.6091549295774648
CT,2018,0.801213040181956,0.5217525836994864,0.21744708146247593,0.1891891891891892,,0.06666666666666667,0.5039018952062431,0.4,0.10344827586206896,0.2446043165467626,0.8107617896009673,0.5198237885462555,0.6666666666666666,,0.0,0.8350951374207188,1.0,0.35074626865671643,0.6416666666666667
DE,2018,0.7784850413749205,0.4796342477140482,0.28703703703703703,0.3,,0.2,0.5773809523809523,0.3333333333333333,0.1643835616438356,0.189873417721519,0.8033444816053512,0.6238938053097345,0.3333333333333333,,1.0,0.9367088607594937,0.5,0.47058823529411764,0.6666666666666666
FL,2018,0.7744958301743745,0.4502682572745061,0.22277141866111688,0.35353535353535354,0.0,0.125,0.4100375554796859,0.21621621621621623,0.16349670811997075,0.22548120989917506,0.7985213870797395,0.6165826843792945,0.6140350877192983,0.0,0.8333333333333334,0.7663636363636364,0.6666666666666666,0.5203619909502263,0.5592920353982301
GA,2018,0.7829323382107434,0.49716907174588426,0.2831865690066661,0.3557692307692308,,0.2727272727272727,0.47760511882998175,0.21951219512195122,0.11734693877551021,0.2804503582395087,0.8392922692900668,0.6691127418278853,0.8695652173913043,,0.6,0.8273684210526315,0.7142857142857143,0.44871794871794873,0.7071428571428572
HI,2018,0.7685939723192342,0.45893719806763283,0.267515923566879,0.2222222222222222,0.0,0.0,0.3193626602009006,0.1660377358490566,0.14953271028037382,0.2135693215339233,0.7393117831074035,0.5686274509803921,0.8,0.0,0.0,0.6186213070725156,0.4,0.42857142857142855,0.45733788395904434
ID,2018,0.7692679975801573,0.4351657022619674,0.25,0.1810344827586207,0.0,0.16666666666666666,0.37,0.16666666666666666,0.1134020618556701,0.14705882352941177,0.8301886792452831,0.8333333333333334,0.6,0.0,0.0,0.8888888888888888,0.5,0.34782608695652173,0.46153846153846156
IL,2018,0.7830368867136206,0.477726008729121,0.24982381959126146,0.2077922077922078,0.0,0.19047619047619047,0.4824016563146998,0.24242424242424243,0.07635893011216566,0.21585160202360876,0.8039737448997694,0.5982620320855615,0.4782608695652174,0.0,0.8,0.8246960972488804,0.5555555555555556,0.2871287128712871,0.6030769230769231
