state,year,accuracy,selection_rate_1,selection_rate_2,selection_rate_3,selection_rate_4,selection_rate_5,selection_rate_6,selection_rate_7,selection_rate_8,selection_rate_9,true_pos_rate_1,true_pos_rate_2,true_pos_rate_3,true_pos_rate_4,true_pos_rate_5,true_pos_rate_6,true_pos_rate_7,true_pos_rate_8,true_pos_rate_9
AL,2018,0.761990299982037,0.25226924437109516,0.24698383792396994,0.2808988764044944,0.0,0.0,0.22875816993464052,0.6666666666666666,0.2318840579710145,0.2268041237113402,0.530446549391069,0.45848822800495664,0.45161290322580644,0.0,0.0,0.47959183673469385,1.0,0.38095238095238093,0.4423076923076923
AK,2018,0.6875352509870276,0.26050023596035865,0.3333333333333333,0.3548387096774194,0.2270967741935484,0.18181818181818182,0.07462686567164178,0.2692307692307692,0.30952380952380953,0.24152542372881355,0.4430379746835443,0.375,0.5833333333333334,0.2620689655172414,0.2222222222222222,0.1590909090909091,0.2,0.45,0.4117647058823529
AZ,2018,0.7594735102322926,0.2472128894318876,0.28644688644688643,0.21161290322580645,0.2,0.18446601941747573,0.2674323215750615,0.23076923076923078,0.2236842105263158,0.28932038834951457,0.5183224333021904,0.5662650602409639,0.3515625,0.0,0.5,0.497029702970297,0.3333333333333333,0.33212996389891697,0.5430711610486891
AR,2018,0.7842630483164621,0.20767047897497634,0.24282715185444367,0.27848101265822783,,0.2,0.2233502538071066,0.3181818181818182,0.21505376344086022,0.24372759856630824,0.4950731561660197,0.497737556561086,0.3888888888888889,,0.5,0.6,1.0,0.2777777777777778,0.45588235294117646
CA,2018,0.7173434185981141,0.24791332661190355,0.2996377235012271,0.23879443585780524,0.15384615384615385,0.13111111111111112,0.2551897031398086,0.24332810047095763,0.20822182248936077,0.28418230563002683,0.4793662628145387,0.4710267705862419,0.4087193460490463,0.4,0.25,0.4242539924922059,0.4,0.30284552845528456,0.4783350392357557
CO,2018,0.7407845141506421,0.2882670629598753,0.305,0.2094240837696335,0.0,0.16923076923076924,0.2733812949640288,0.3333333333333333,0.2395287958115183,0.2785956964892412,0.5379666469144163,0.6097560975609756,0.2926829268292683,0.0,0.16666666666666666,0.48072562358276644,0.36363636363636365,0.35365853658536583,0.4859154929577465
CT,2018,0.7113975233762951,0.3054025620397302,0.2809493264913406,0.16216216216216217,,0.13333333333333333,0.3210702341137124,0.4,0.21120689655172414,0.2709832134292566,0.5175332527206772,0.45374449339207046,0.3333333333333333,,1.0,0.5412262156448203,0.5,0.291044776119403,0.4666666666666667
DE,2018,0.7383831954169319,0.24715987808257134,0.27645502645502645,0.2,,0.2,0.38095238095238093,0.3333333333333333,0.2465753424657534,0.20253164556962025,0.4862876254180602,0.47345132743362833,0.3333333333333333,,0.0,0.6582278481012658,0.5,0.5294117647058824,0.5333333333333333
FL,2018,0.7594440232499369,0.24949820109827683,0.24765868886576484,0.26262626262626265,0.4,0.10714285714285714,0.2604984636394674,0.40540540540540543,0.23482077542062912,0.2612282309807516,0.5212814645308924,0.4594594594594595,0.40350877192982454,0.0,0.3333333333333333,0.48454545454545456,0.7222222222222222,0.39819004524886875,0.48672566371681414
GA,2018,0.7522930374153,0.27777939084231,0.2868899679038762,0.27884615384615385,,0.15151515151515152,0.29341864716636196,0.3170731707317073,0.24591836734693878,0.27226202661207777,0.5554658248293077,0.5150100066711141,0.2608695652173913,,0.1,0.5357894736842105,0.5714285714285714,0.3717948717948718,0.5464285714285714
