state,year,accuracy,selection_rate_1,selection_rate_2,selection_rate_3,selection_rate_4,selection_rate_5,selection_rate_6,selection_rate_7,selection_rate_8,selection_rate_9,true_pos_rate_1,true_pos_rate_2,true_pos_rate_3,true_pos_rate_4,true_pos_rate_5,true_pos_rate_6,true_pos_rate_7,true_pos_rate_8,true_pos_rate_9
AL,2018,0.7110202981857374,0.29417658847105976,0.2633735488276804,0.25842696629213485,0.0,0.25,0.2647058823529412,0.6666666666666666,0.2028985507246377,0.24742268041237114,0.4908660351826793,0.5266418835192069,0.5483870967741935,0.0,0.0,0.5408163265306123,1.0,0.47619047619047616,0.40384615384615385
AK,2018,0.6900733220530175,0.32373761208117036,0.3472222222222222,0.2903225806451613,0.0,0.1590909090909091,0.15920398009950248,0.07692307692307693,0.30952380952380953,0.23728813559322035,0.47127555988315484,0.4583333333333333,0.4166666666666667,0.0,0.1111111111111111,0.25,0.0,0.5,0.3411764705882353
AZ,2018,0.7128346906271599,0.2973427000610874,0.2893772893772894,0.14838709677419354,0.0,0.17475728155339806,0.3125512715340443,0.2,0.2288329519450801,0.25533980582524274,0.5020242914979757,0.5391566265060241,0.32421875,0.0,0.0,0.5386138613861386,0.5555555555555556,0.4332129963898917,0.4344569288389513
AR,2018,0.7254648574915643,0.26167340270014616,0.25892232330300907,0.25316455696202533,,0.2,0.27918781725888325,0.09090909090909091,0.2007168458781362,0.3154121863799283,0.4696924455061212,0.5203619909502263,0.4444444444444444,,0.5,0.5636363636363636,1.0,0.5,0.5
CA,2018,0.6830194465029514,0.28732459547460454,0.3017412644618441,0.2009273570324575,0.0,0.1511111111111111,0.30386132257176923,0.15698587127158556,0.20905541174922126,0.27967340970021937,0.4592171481826654,0.4859369705184683,0.4250681198910082,0.0,0.19791666666666666,0.45842081822230707,0.4105263157894737,0.3830171635049684,0.4503582395087001
CO,2018,0.6779850507889862,0.3218674109246439,0.29875,0.225130890052356,0.0,0.15384615384615385,0.31654676258992803,0.25,0.2630890052356021,0.304643261608154,0.4968255311944468,0.5024390243902439,0.4634146341463415,0.0,0.25,0.5011337868480725,0.45454545454545453,0.4634146341463415,0.45422535211267606
CT,2018,0.6664139499620925,0.3324463147471997,0.25593329057087877,0.13513513513513514,,0.2,0.346711259754738,0.4,0.21695402298850575,0.2541966426858513,0.48814993954050784,0.46255506607929514,0.4444444444444444,,1.0,0.5116279069767442,1.0,0.4253731343283582,0.44166666666666665
DE,2018,0.6883089327392319,0.3128290385148241,0.2843915343915344,0.1,,0.6,0.35119047619047616,0.3333333333333333,0.273972602739726,0.22784810126582278,0.5023411371237458,0.45132743362831856,0.0,,1.0,0.5316455696202531,0.5,0.23529411764705882,0.4666666666666667
FL,2018,0.705039171089209,0.29440131288266114,0.25286160249739853,0.24242424242424243,0.0,0.21428571428571427,0.301468077842267,0.17567567567567569,0.24359912216532553,0.2804766269477543,0.48924485125858125,0.5029775538250114,0.42105263157894735,0.0,0.3333333333333333,0.49727272727272726,0.6666666666666666,0.4592760180995475,0.44424778761061945
GA,2018,0.7019149562997152,0.31503150315031503,0.2846679285655502,0.25961538461538464,,0.12121212121212122,0.33180987202925044,0.21951219512195122,0.23979591836734693,0.29273285568065505,0.5099478746053887,0.5203468979319547,0.391304347826087,,0.2,0.5326315789473685,0.7142857142857143,0.40384615384615385,0.5035714285714286
HI,2018,0.6893028068813867,0.3130434782608696,0.3184713375796178,0.16666666666666666,0.0,0.0,0.24419812954624176,0.11949685534591195,0.19626168224299065,0.2825958702064897,0.4546402502606882,0.5490196078431373,0.4,0.0,0.0,0.40734109221128023,0.335,0.5,0.46245733788395904
ID,2018,0.7234119782214156,0.2764334560757496,0.2916666666666667,0.15517241379310345,0.0,0.16666666666666666,0.19,0.16666666666666666,0.23195876288659795,0.2411764705882353,0.4923211935059236,0.3333333333333333,0.45,0.0,0.0,0.5555555555555556,0.5,0.34782608695652173,0.5384615384615384
IL,2018,0.6848364569655008,0.29597981620964625,0.26585623678646936,0.16883116883116883,0.0,0.19047619047619047,0.3427979887607217,0.18181818181818182,0.20578084555651424,0.2630691399662732,0.46842291999290403,0.4766042780748663,0.30434782608695654,0.0,0.4,0.5220729366602687,0.6666666666666666,0.3613861386138614,0.4676923076923077
IN,2018,0.7173205413739935,0.2705579675188937,0.2611832611832612,0.18181818181818182,0.0,0.0625,0.30045523520485584,0.1875,0.21933085501858737,0.2824156305506217,0.4772521843928894,0.5094339622641509,0.3333333333333333,0.0,0.0,0.57847533632287,0.5,0.3473684210526316,0.4645669291338583
IA,2018,0.7092702169625247,0.27888280133396853,0.22297297297297297,0.2127659574468085,,0.23076923076923078,0.2536764705882353,0.2,0.1986754966887417,0.31097560975609756,0.4768998679992457,0.4,0.5555555555555556,,1.0,0.5846153846153846,1.0,0.29411764705882354,0.4642857142857143
KS,2018,0.7089264250015815,0.29517211826881873,0.262987012987013,0.24812030075187969,0.0,0.2222222222222222,0.28695652173913044,0.25,0.1948529411764706,0.26097560975609757,0.4998895515794124,0.552,0.5,0.0,0.3333333333333333,0.472,0.4,0.41935483870967744,0.4673913043478261
KY,2018,0.7140325365809325,0.2711395208375277,0.2546583850931677,0.22727272727272727,0.0,0.1111111111111111,0.2672955974842767,0.0,0.23121387283236994,0.22756410256410256,0.47039576191960114,0.5466101694915254,0.5,0.0,0.0,0.4672897196261682,0.0,0.5833333333333334,0.41935483870967744
LA,2018,0.6999564523152852,0.3010033444816054,0.2501544163063619,0.23232323232323232,0.0,0.09523809523809523,0.2529002320185615,0.16666666666666666,0.17647058823529413,0.2699724517906336,0.47487215658614,0.5151175811870101,0.39285714285714285,0.0,0.25,0.5,1.0,0.25,0.42990654205607476
MA,2018,0.6689933688986389,0.3215670827778451,0.2511032656663725,0.16279069767441862,0.0,0.08333333333333333,0.3228897899004792,0.11764705882352941,0.21453590192644484,0.2754424778761062,0.48166379522520303,0.4609494640122512,0.25,0.0,0.0,0.5083713850837138,0.2857142857142857,0.39763779527559057,0.4602076124567474
ME,2018,0.7092259354470152,0.2872164638726153,0.29333333333333333,0.075,,0.5,0.18421052631578946,0.0,0.13333333333333333,0.2803030303030303,0.4910411622276029,0.75,0.0,,0.0,0.391304347826087,0.0,0.0,0.5789473684210527
MD,2018,0.6637310090188245,0.34268298490404303,0.3191187838186035,0.2830188679245283,0.0,0.17391304347826086,0.3398190045248869,0.32,0.19220308250226656,0.330635838150289,0.4944877655283678,0.49487836107554417,0.5714285714285714,0.0,0.1111111111111111,0.5108225108225108,0.625,0.41379310344827586,0.5084745762711864
MI,2018,0.7116861302191649,0.2833244760738464,0.24611610793131644,0.199288256227758,,0.14035087719298245,0.35076252723311546,0.2727272727272727,0.2364066193853428,0.2524698133918771,0.4860972858185679,0.5143603133159269,0.5,,0.4166666666666667,0.5572755417956656,1.0,0.42045454545454547,0.4147465437788018
MN,2018,0.6921762676896296,0.2990121446022023,0.19292237442922375,0.20074349442379183,0.0,0.15384615384615385,0.22325581395348837,0.14285714285714285,0.20676691729323307,0.22826086956521738,0.47977722998265315,0.4122137404580153,0.5,0.0,0.5,0.42803030303030304,0.3333333333333333,0.43243243243243246,0.44642857142857145
MS,2018,0.7145348396390931,0.29579407032866006,0.2475024975024975,0.18867924528301888,,0.4,0.29347826086956524,0.0,0.330188679245283,0.29457364341085274,0.49274336283185843,0.4712460063897764,0.2857142857142857,,0.0,0.6041666666666666,0.0,0.6875,0.5454545454545454
MO,2018,0.7130179383527034,0.2785973914902715,0.26298997265268914,0.2912621359223301,0.0,0.14285714285714285,0.32304900181488205,0.08108108108108109,0.2358974358974359,0.2698412698412698,0.4810112359550562,0.5405982905982906,0.6153846153846154,0.0,0.6666666666666666,0.5225225225225225,0.3333333333333333,0.42857142857142855,0.46534653465346537
MT,2018,0.6955885044847153,0.2953140578265204,0.42857142857142855,0.23904382470119523,,0.1,0.23333333333333334,0.0,0.14285714285714285,0.2605042016806723,0.4814077025232404,1.0,0.4166666666666667,,0.0,0.3333333333333333,0.0,0.0,0.40625
NE,2018,0.7028280018544274,0.30743483111877473,0.2781954887218045,0.15625,,0.25,0.19072164948453607,0.16666666666666666,0.2857142857142857,0.2074468085106383,0.508612590040714,0.5833333333333334,0.5,,0.2,0.3333333333333333,0.5,0.6190476190476191,0.4166666666666667
NV,2018,0.7037212129398258,0.2736989311757067,0.2369439071566731,0.1776061776061776,,0.1388888888888889,0.2404881550610194,0.11702127659574468,0.1772428884026258,0.2315270935960591,0.4514227121250961,0.4180327868852459,0.3275862068965517,,0.2222222222222222,0.40224719101123596,0.38461538461538464,0.325,0.4
NH,2018,0.6942003514938488,0.30851205541494603,0.15053763440860216,0.5714285714285714,0.0,0.2,0.36416184971098264,0.3333333333333333,0.24489795918367346,0.24,0.500164527805199,0.4375,1.0,0.0,0.0,0.5555555555555556,0.6666666666666666,0.6153846153846154,0.40625
