state,year,accuracy,selection_rate_1,selection_rate_2,selection_rate_3,selection_rate_4,selection_rate_5,selection_rate_6,selection_rate_7,selection_rate_8,selection_rate_9,true_pos_rate_1,true_pos_rate_2,true_pos_rate_3,true_pos_rate_4,true_pos_rate_5,true_pos_rate_6,true_pos_rate_7,true_pos_rate_8,true_pos_rate_9
AL,2018,0.8080204778156996,0.31221266061534836,0.0974277259276121,0.19101123595505617,0.0,0.08333333333333333,0.24183006535947713,0.6666666666666666,0.043478260869565216,0.14776632302405499,0.6534167794316644,0.3543990086741016,0.4838709677419355,0.0,0.0,0.6326530612244898,1.0,0.2857142857142857,0.5
AK,2018,0.7470389170896785,0.32892873997168476,0.19444444444444445,0.1935483870967742,0.05032258064516129,0.022727272727272728,0.05472636815920398,0.038461538461538464,0.07142857142857142,0.1271186440677966,0.5540408958130477,0.375,0.3333333333333333,0.15172413793103448,0.0,0.1590909090909091,0.0,0.15,0.2823529411764706
AZ,2018,0.8063527361240497,0.30761301160659743,0.13846153846153847,0.0696774193548387,0.2,0.05825242718446602,0.3223954060705496,0.12307692307692308,0.057208237986270026,0.15728155339805824,0.6431018374338212,0.42771084337349397,0.2578125,0.0,0.2,0.6574257425742575,0.3333333333333333,0.2563176895306859,0.47191011235955055
AR,2018,0.8140570033742551,0.2614154269498667,0.0979706088173548,0.12658227848101267,,0.06666666666666667,0.26903553299492383,0.09090909090909091,0.014336917562724014,0.12544802867383512,0.6130188115855479,0.3891402714932127,0.4444444444444444,,0.5,0.6909090909090909,1.0,0.05555555555555555,0.36764705882352944
CA,2018,0.7753865024403955,0.31016643802786636,0.15858361575318453,0.10973724884080371,0.15384615384615385,0.06,0.30658228622091777,0.0989010989010989,0.043039529680164966,0.1684133560809164,0.5961043802423113,0.3652998983395459,0.34332425068119893,0.4,0.20833333333333334,0.5530953744353249,0.26842105263157895,0.17908762420957544,0.41146366427840325
CO,2018,0.7853127196064652,0.35949110152597047,0.15625,0.10471204188481675,0.0,0.07692307692307693,0.32990750256937307,0.2222222222222222,0.0824607329842932,0.17780294450736125,0.6659612291543215,0.4682926829268293,0.3170731707317073,0.0,0.25,0.6303854875283447,0.36363636363636365,0.2621951219512195,0.45774647887323944
CT,2018,0.7699267121556735,0.37892196299275943,0.11353431686978832,0.08108108108108109,,0.0,0.4136008918617614,0.2,0.03879310344827586,0.1606714628297362,0.6382103990326481,0.30837004405286345,0.3333333333333333,,0.0,0.7209302325581395,0.5,0.17164179104477612,0.45
DE,2018,0.7786972204540632,0.31227486838459406,0.12037037037037036,0.1,,0.0,0.43452380952380953,0.3333333333333333,0.0547945205479452,0.13924050632911392,0.6060200668896321,0.3185840707964602,0.3333333333333333,,0.0,0.7721518987341772,0.5,0.17647058823529413,0.5333333333333333
FL,2018,0.8016477129138236,0.31199899009026066,0.09946236559139784,0.13131313131313133,0.0,0.07142857142857142,0.3062478661659269,0.13513513513513514,0.08376005852231164,0.14390467461044912,0.645555359971836,0.36326156665139714,0.3333333333333333,0.0,0.5,0.6372727272727273,0.5555555555555556,0.32805429864253394,0.4247787610619469
GA,2018,0.8081115584798193,0.34659272378850786,0.1383425232491153,0.1346153846153846,,0.09090909090909091,0.3619744058500914,0.14634146341463414,0.06938775510204082,0.18833162743091095,0.6865868878936936,0.4159439626417612,0.391304347826087,,0.2,0.7031578947368421,0.5714285714285714,0.3141025641025641,0.5321428571428571
HI,2018,0.7566938300349243,0.35555555555555557,0.18471337579617833,0.2222222222222222,0.0,0.0,0.20401801177693107,0.06415094339622641,0.14018691588785046,0.1415929203539823,0.6173096976016684,0.5294117647058824,0.8,0.0,0.0,0.4422560429722471,0.205,0.42857142857142855,0.33276450511945393
ID,2018,0.8147610405323654,0.2816938453445555,0.0625,0.07758620689655173,0.0,0.0,0.22,0.16666666666666666,0.02577319587628866,0.08235294117647059,0.651601579640193,0.3333333333333333,0.3,0.0,0.0,0.6296296296296297,0.5,0.13043478260869565,0.4230769230769231
IL,2018,0.7851259400740122,0.3227564869891899,0.12050739957716702,0.07792207792207792,0.0,0.09523809523809523,0.3649807749186631,0.15151515151515152,0.037532355478861086,0.15935919055649242,0.6228933830051446,0.3409090909090909,0.21739130434782608,0.0,0.6,0.6801023672424824,0.5555555555555556,0.16336633663366337,0.48307692307692307
IN,2018,0.8079492890183313,0.2743849493487699,0.10101010101010101,0.18181818181818182,0.0,0.0625,0.2883156297420334,0.125,0.03345724907063197,0.1492007104795737,0.6219744903083259,0.3423180592991914,0.5555555555555556,0.0,0.3333333333333333,0.7040358744394619,0.5,0.10526315789473684,0.47244094488188976
IA,2018,0.7980839673147365,0.2762625059552168,0.060810810810810814,0.10638297872340426,,0.07692307692307693,0.19117647058823528,0.0,0.033112582781456956,0.14634146341463414,0.6098434848199132,0.26666666666666666,0.4444444444444444,,1.0,0.6,0.0,0.17647058823529413,0.6785714285714286
KS,2018,0.8016701461377871,0.3055277817454649,0.1185064935064935,0.12030075187969924,0.0,0.1111111111111111,0.3188405797101449,0.25,0.03308823529411765,0.12195121951219512,0.6562845151314336,0.448,0.4,0.0,0.3333333333333333,0.672,0.4,0.22580645161290322,0.42391304347826086
KY,2018,0.8060528946650913,0.28191061002617274,0.09937888198757763,0.18181818181818182,1.0,0.0,0.29874213836477986,0.0,0.04046242774566474,0.11538461538461539,0.6265191648488626,0.3813559322033898,0.5,0.0,0.0,0.7009345794392523,0.0,0.25,0.5161290322580645
ME,2018,0.8021993716081119,0.27835361273847076,0.09333333333333334,0.05,,0.0,0.19736842105263158,0.0,0.13333333333333333,0.14393939393939395,0.6227602905569007,0.625,0.3333333333333333,,0.0,0.5652173913043478,0.0,0.25,0.631578947368421
MD,2018,0.77222928394165,0.4091623410638602,0.19054367431074465,0.20754716981132076,0.5,0.0,0.3990950226244344,0.2,0.050770625566636446,0.23352601156069364,0.6764363180066326,0.4126120358514725,0.47619047619047616,1.0,0.0,0.6857142857142857,0.375,0.23645320197044334,0.5
MI,2018,0.808090705487122,0.29510848217380253,0.10329790133551377,0.11743772241992882,,0.017543859649122806,0.3914306463326071,0.09090909090909091,0.10401891252955082,0.13721185510428102,0.640852080430022,0.3668407310704961,0.43333333333333335,,0.08333333333333333,0.7291021671826625,0.3333333333333333,0.3977272727272727,0.4930875576036866
MN,2018,0.7748299539021953,0.3129270969797826,0.07420091324200913,0.08550185873605948,0.0,0.02564102564102564,0.18953488372093022,0.0,0.03383458646616541,0.09130434782608696,0.6035789281475394,0.3435114503816794,0.3333333333333333,0.0,0.5,0.5378787878787878,0.0,0.16216216216216217,0.2857142857142857
MS,2018,0.8139358556372734,0.3088945070098828,0.07867132867132867,0.018867924528301886,,0.0,0.21739130434782608,0.0,0.05660377358490566,0.14728682170542637,0.6502654867256638,0.3226837060702875,0.14285714285714285,,0.0,0.5833333333333334,0.0,0.3125,0.36363636363636365
MO,2018,0.8059941889843355,0.28469104126576866,0.12123974475843209,0.1553398058252427,0.0,0.14285714285714285,0.35208711433756806,0.05405405405405406,0.05641025641025641,0.12301587301587301,0.6360674157303371,0.3952991452991453,0.46153846153846156,0.0,0.6666666666666666,0.7387387387387387,0.2222222222222222,0.25,0.44554455445544555
MT,2018,0.7796082738422112,0.29611166500498504,0.07142857142857142,0.10756972111553785,,0.0,0.16666666666666666,0.0,0.047619047619047616,0.14285714285714285,0.6181938911022576,0.0,0.3333333333333333,,0.0,0.4444444444444444,0.0,0.0,0.4375
NE,2018,0.788317107093185,0.32062075261182676,0.08646616541353383,0.03125,,0.25,0.211340206185567,0.0,0.05357142857142857,0.10638297872340426,0.6605073598496711,0.2708333333333333,0.16666666666666666,,0.2,0.5490196078431373,0.0,0.19047619047619047,0.4166666666666667
NV,2018,0.7835483217397177,0.27479772250524426,0.10251450676982592,0.09266409266409266,,0.05555555555555555,0.1708542713567839,0.0851063829787234,0.025528811086797956,0.10180623973727422,0.5493463214560369,0.36065573770491804,0.25862068965517243,,0.1111111111111111,0.39325842696629215,0.38461538461538464,0.15625,0.32903225806451614
NH,2018,0.7889781571679638,0.3292926601838284,0.07526881720430108,0.14285714285714285,0.0,0.0,0.3468208092485549,0.3333333333333333,0.08163265306122448,0.216,0.6429746627179993,0.375,1.0,0.0,0.0,0.6419753086419753,0.6666666666666666,0.3076923076923077,0.625
NJ,2018,0.7516376802494715,0.36174713432238514,0.10737527114967461,0.0375,,0.0,0.42491883116883117,0.0,0.04775150672229949,0.17323651452282157,0.6058697913814817,0.2642249836494441,0.07407407407407407,,0.0,0.6586847748391709,0.0,0.17523364485981308,0.4081081081081081
NM,2018,0.8190793249913902,0.3002197112366604,0.16666666666666666,0.06705298013245033,0.0,0.09523809523809523,0.3067484662576687,0.4444444444444444,0.09191176470588236,0.20276497695852536,0.65707656612529,0.5454545454545454,0.275,0.0,0.5,0.640625,1.0,0.3523809523809524,0.49295774647887325
NY,2018,0.7559623766028285,0.31715197176406706,0.09504593457542715,0.10121457489878542,0.0,0.07920792079207921,0.2362213054056913,0.18421052631578946,0.04123900293255132,0.1368726669431771,0.5797996307394292,0.24442082890541977,0.27692307692307694,0.0,0.4,0.4892067620286086,0.4166666666666667,0.15252784918594686,0.33902439024390246
NC,2018,0.8139320490905948,0.33873739835312827,0.10612244897959183,0.09437386569872959,0.0,0.13953488372093023,0.3825205826472451,0.2391304347826087,0.053877551020408164,0.14705882352941177,0.6901467799705036,0.3851944792973651,0.3146067415730337,0.0,0.6,0.7555228276877761,0.6666666666666666,0.3178294573643411,0.4954545454545455
