state,year,accuracy,selection_rate_1,selection_rate_2,selection_rate_3,selection_rate_4,selection_rate_5,selection_rate_6,selection_rate_7,selection_rate_8,selection_rate_9,true_pos_rate_1,true_pos_rate_2,true_pos_rate_3,true_pos_rate_4,true_pos_rate_5,true_pos_rate_6,true_pos_rate_7,true_pos_rate_8,true_pos_rate_9
AL,2018,0.7510328722830968,0.15436755864670518,0.1563851582062372,0.14606741573033707,0.0,0.0,0.24183006535947713,0.3333333333333333,0.12560386473429952,0.13058419243986255,0.3611299052774019,0.25650557620817843,0.25806451612903225,0.0,0.0,0.5102040816326531,0.5,0.14285714285714285,0.28846153846153844
AK,2018,0.6742808798646363,0.19301557338367153,0.2222222222222222,0.2903225806451613,0.1329032258064516,0.18181818181818182,0.11442786069651742,0.2692307692307692,0.14285714285714285,0.1059322033898305,0.3349561830574489,0.20833333333333334,0.5,0.20689655172413793,0.1111111111111111,0.25,0.4,0.15,0.10588235294117647
AZ,2018,0.7428554256693812,0.1866218692730605,0.17655677655677657,0.14774193548387096,0.4,0.0970873786407767,0.2321575061525841,0.18461538461538463,0.15389016018306637,0.16019417475728157,0.4089068825910931,0.2710843373493976,0.20703125,0.5,0.3,0.38811881188118813,0.2777777777777778,0.19855595667870035,0.2958801498127341
AR,2018,0.7812477564792878,0.1378450425659988,0.1630510846745976,0.12658227848101267,,0.2,0.17766497461928935,0.13636363636363635,0.15412186379928317,0.1003584229390681,0.36130188115855477,0.3031674208144796,0.3888888888888889,,0.5,0.34545454545454546,0.0,0.16666666666666666,0.22058823529411764
CA,2018,0.685579945314696,0.19061864700923922,0.2017062054458338,0.160741885625966,0.07692307692307693,0.15333333333333332,0.20682380996056132,0.14285714285714285,0.13841969025578027,0.15269315135266878,0.3764771668219944,0.30362588952897324,0.27520435967302453,0.2,0.22916666666666666,0.3041929121333588,0.18947368421052632,0.17411924119241193,0.26202661207778916
CO,2018,0.7177857279754679,0.22621334589872774,0.20625,0.14659685863874344,0.0,0.2,0.22918807810894143,0.1111111111111111,0.1505235602094241,0.15175537938844846,0.4385846101752307,0.34146341463414637,0.1951219512195122,0.0,0.3333333333333333,0.35374149659863946,0.18181818181818182,0.20121951219512196,0.2676056338028169
CT,2018,0.6742481678038919,0.23281143635125937,0.18088518280949326,0.10810810810810811,,0.0,0.2787068004459309,0.2,0.13505747126436782,0.14148681055155876,0.4066505441354293,0.27312775330396477,0.2222222222222222,,0.0,0.40380549682875266,0.5,0.17164179104477612,0.25833333333333336
DE,2018,0.7144069594737958,0.19479080077583819,0.15873015873015872,0.05,,0.2,0.30952380952380953,0.0,0.1506849315068493,0.1518987341772152,0.3939799331103679,0.24336283185840707,0.0,,1.0,0.5443037974683544,0.0,0.23529411764705882,0.26666666666666666
FL,2018,0.7493353550669699,0.198119043110522,0.18019424210891433,0.20202020202020202,0.2,0.25,0.21372482075793786,0.1891891891891892,0.14703730797366496,0.16681943171402383,0.43094525611688084,0.3014200641319285,0.3157894736842105,0.0,0.6666666666666666,0.36818181818181817,0.3333333333333333,0.2647058823529412,0.2778761061946903
GA,2018,0.7362859668074241,0.21724107894660433,0.1946341864867089,0.18269230769230768,,0.15151515151515152,0.2646252285191956,0.0975609756097561,0.14591836734693878,0.1811668372569089,0.4545187578004552,0.31854569713142095,0.2608695652173913,,0.2,0.4336842105263158,0.2857142857142857,0.23717948717948717,0.325
HI,2018,0.6739102315353771,0.22608695652173913,0.17197452229299362,0.2777777777777778,0.0,0.0,0.16937997921718045,0.11069182389937107,0.205607476635514,0.14218289085545724,0.4045881126173097,0.19607843137254902,0.8,0.0,0.0,0.2775290957923008,0.165,0.21428571428571427,0.22525597269624573
