state,year,accuracy,selection_rate_1,selection_rate_2,selection_rate_3,selection_rate_4,selection_rate_5,selection_rate_6,selection_rate_7,selection_rate_8,selection_rate_9,true_pos_rate_1,true_pos_rate_2,true_pos_rate_3,true_pos_rate_4,true_pos_rate_5,true_pos_rate_6,true_pos_rate_7,true_pos_rate_8,true_pos_rate_9
AL,2018,0.7792796838512663,0.21501827183779323,0.20396084680173002,0.20224719101123595,0.0,0.16666666666666666,0.2647058823529412,0.0,0.11594202898550725,0.15120274914089346,0.48325439783491203,0.5291201982651796,0.3225806451612903,0.0,1.0,0.41836734693877553,0.0,0.23809523809523808,0.38461538461538464
AK,2018,0.7281443880428652,0.27984898537045777,0.2777777777777778,0.25806451612903225,0.0,0.1590909090909091,0.14925373134328357,0.0,0.14285714285714285,0.15677966101694915,0.4810126582278481,0.4583333333333333,0.5833333333333334,0.0,0.1111111111111111,0.25,0.0,0.15,0.3176470588235294
AZ,2018,0.7736574811431319,0.2535125229077581,0.29304029304029305,0.08709677419354839,0.0,0.07766990291262135,0.2321575061525841,0.0,0.13729977116704806,0.1883495145631068,0.5382539188207205,0.6596385542168675,0.2265625,0.0,0.0,0.3801980198019802,0.0,0.20577617328519857,0.4606741573033708
AR,2018,0.7956780817000503,0.19821136813139564,0.2358292512246326,0.189873417721519,,0.2,0.2436548223350254,0.0,0.1003584229390681,0.17562724014336917,0.488504031054046,0.6334841628959276,0.4444444444444444,,0.5,0.4909090909090909,0.0,0.05555555555555555,0.3382352941176471
CA,2018,0.7188204328827332,0.2543427598631473,0.31003856491761134,0.1553323029366306,0.0,0.08666666666666667,0.2291418264086337,0.0,0.13003992453823543,0.2043626614672191,0.4930102516309413,0.5716706201287699,0.3760217983651226,0.0,0.10416666666666667,0.3290068079149965,0.0,0.21138211382113822,0.3991811668372569
CO,2018,0.7524116782725356,0.3004458298597267,0.305,0.14659685863874344,0.0,0.09230769230769231,0.22816032887975335,0.0,0.1505235602094241,0.19365798414496035,0.5658173199018031,0.6292682926829268,0.2926829268292683,0.0,0.16666666666666666,0.36054421768707484,0.0,0.24390243902439024,0.4295774647887324
CT,2018,0.7216578215820065,0.3086205829568661,0.2379730596536241,0.16216216216216217,,0.0,0.3177257525083612,0.0,0.11637931034482758,0.1774580335731415,0.5270858524788392,0.4977973568281938,0.5555555555555556,,0.0,0.4608879492600423,0.0,0.1791044776119403,0.4
DE,2018,0.7517504774029281,0.2626766417290108,0.3002645502645503,0.15,,0.2,0.30357142857142855,0.0,0.1780821917808219,0.16455696202531644,0.5177257525083612,0.5973451327433629,0.6666666666666666,,1.0,0.4936708860759494,0.0,0.29411764705882354,0.4
FL,2018,0.7745868081880213,0.26527804077510575,0.2518210197710718,0.2222222222222222,0.0,0.125,0.2502560600887675,0.0,0.15142648134601316,0.21677360219981667,0.5584228128850555,0.6046724690792488,0.40350877192982454,0.0,0.16666666666666666,0.3990909090909091,0.0,0.27828054298642535,0.4690265486725664
GA,2018,0.7717568496513798,0.28950959612090243,0.29454365895811047,0.18269230769230768,,0.15151515151515152,0.26782449725776963,0.0,0.15816326530612246,0.21392016376663256,0.5864473974010719,0.6340893929286191,0.43478260869565216,,0.0,0.4105263157894737,0.0,0.28205128205128205,0.5035714285714286
HI,2018,0.6975811667313414,0.30144927536231886,0.29936305732484075,0.2222222222222222,0.0,0.0,0.20748181503290614,0.0,0.21495327102803738,0.20294985250737463,0.5265901981230449,0.6470588235294118,0.8,0.0,0.0,0.3142345568487019,0.0,0.39285714285714285,0.3771331058020478
ID,2018,0.8008469449485783,0.2350078905839032,0.3125,0.16379310344827586,0.0,0.0,0.19,0.0,0.12886597938144329,0.13529411764705881,0.5612110574813515,0.6666666666666666,0.4,0.0,0.0,0.2962962962962963,0.0,0.21739130434782608,0.38461538461538464
IL,2018,0.7520293661215233,0.2714130494834349,0.2639182522903453,0.12987012987012986,0.0,0.07142857142857142,0.2691511387163561,0.0,0.1272648835202761,0.18465430016863407,0.5321536278162143,0.5641711229946524,0.2608695652173913,0.0,0.0,0.40307101727447214,0.0,0.2524752475247525,0.40923076923076923
IN,2018,0.786905373765062,0.2200675349734684,0.26022126022126024,0.2727272727272727,0.0,0.0,0.23672230652503792,0.0,0.12453531598513011,0.14209591474245115,0.5142111077633825,0.6388140161725068,0.6666666666666666,0.0,0.0,0.4080717488789238,0.0,0.22105263157894736,0.2992125984251969
IA,2018,0.7869258946182023,0.21813959028108623,0.22972972972972974,0.1702127659574468,,0.23076923076923078,0.21691176470588236,0.0,0.1456953642384106,0.12804878048780488,0.5061286064491797,0.6666666666666666,0.3333333333333333,,1.0,0.5076923076923077,0.0,0.29411764705882354,0.4642857142857143
