state,year,accuracy,selection_rate_1,selection_rate_2,selection_rate_3,selection_rate_4,selection_rate_5,selection_rate_6,selection_rate_7,selection_rate_8,selection_rate_9,true_pos_rate_1,true_pos_rate_2,true_pos_rate_3,true_pos_rate_4,true_pos_rate_5,true_pos_rate_6,true_pos_rate_7,true_pos_rate_8,true_pos_rate_9
AL,2018,0.7351356206215197,0.3653778144524343,0.3227862508536308,0.2808988764044944,0.0,0.08333333333333333,0.3627450980392157,0.6666666666666666,0.3864734299516908,0.3161512027491409,0.6552774018944519,0.6270136307311028,0.25806451612903225,0.0,0.0,0.5510204081632653,0.5,0.5238095238095238,0.4423076923076923
AK,2018,0.6731528482797519,0.39688532326569137,0.3333333333333333,0.4838709677419355,0.22580645161290322,0.3409090909090909,0.24378109452736318,0.23076923076923078,0.42857142857142855,0.3177966101694915,0.5832521908471275,0.3333333333333333,0.6666666666666666,0.2413793103448276,0.3333333333333333,0.29545454545454547,0.0,0.7,0.4117647058823529
AZ,2018,0.717131953000571,0.37244196701282833,0.3772893772893773,0.36451612903225805,0.6,0.3786407766990291,0.3699753896636587,0.3384615384615385,0.39244851258581237,0.38349514563106796,0.6546247274992214,0.6897590361445783,0.42578125,1.0,0.6,0.48514851485148514,0.4444444444444444,0.44765342960288806,0.4868913857677903
AR,2018,0.7321415751310216,0.33115487144208444,0.3477956613016095,0.31645569620253167,,0.3333333333333333,0.30456852791878175,0.2727272727272727,0.40860215053763443,0.34408602150537637,0.6303374141534787,0.6561085972850679,0.4444444444444444,,1.0,0.45454545454545453,0.5,0.2222222222222222,0.47058823529411764
CA,2018,0.6853704034957708,0.375981356296382,0.39862101203692885,0.37248840803709427,0.46153846153846156,0.32666666666666666,0.3666574948790853,0.28414442700156983,0.3666915281007327,0.36863270777479895,0.6192730661696179,0.6245340562521179,0.4604904632152589,0.8,0.3645833333333333,0.4684736272825603,0.28421052631578947,0.4223125564588979,0.4687819856704197
CO,2018,0.7188717817670734,0.4185001268621552,0.39,0.3717277486910995,0.8,0.4461538461538462,0.3669064748201439,0.16666666666666666,0.3887434554973822,0.36806342015855037,0.672733429272835,0.6829268292682927,0.4146341463414634,1.0,0.5,0.4988662131519274,0.18181818181818182,0.4817073170731707,0.5176056338028169
CT,2018,0.7107910032853172,0.4309672628256699,0.3258499037844772,0.3783783783783784,,0.2,0.4269788182831661,0.4,0.3649425287356322,0.39568345323741005,0.6500604594921403,0.5572687224669604,0.5555555555555556,,0.0,0.572938689217759,0.0,0.3358208955223881,0.5583333333333333
DE,2018,0.720560152768937,0.38403990024937656,0.3558201058201058,0.2,,0.2,0.39880952380952384,0.0,0.3698630136986301,0.3924050632911392,0.6341137123745819,0.6283185840707964,0.3333333333333333,,0.0,0.569620253164557,0.0,0.5882352941176471,0.4666666666666667
FL,2018,0.7222036896638868,0.3820993498706053,0.3439993062781824,0.3838383838383838,0.6,0.3392857142857143,0.35609423011266644,0.35135135135135137,0.3844184345281639,0.3904674610449129,0.6615032564689315,0.6436097114063216,0.45614035087719296,0.0,0.5,0.5063636363636363,0.6666666666666666,0.49321266968325794,0.511504424778761
GA,2018,0.7269566925267603,0.40411137887982346,0.3756892436836474,0.4423076923076923,,0.36363636363636365,0.38391224862888484,0.43902439024390244,0.34591836734693876,0.3694984646878199,0.685852727406211,0.6847898599066043,0.4782608695652174,,0.5,0.5284210526315789,0.42857142857142855,0.3974358974358974,0.5107142857142857
HI,2018,0.6410554908808692,0.41932367149758454,0.3503184713375796,0.3888888888888889,0.0,0.0,0.31001039140976794,0.3119496855345912,0.34579439252336447,0.3775811209439528,0.6475495307612096,0.5686274509803921,0.4,0.0,0.0,0.40376007162041183,0.36,0.5357142857142857,0.46245733788395904
ID,2018,0.7367211131276467,0.3556023145712783,0.3333333333333333,0.3275862068965517,0.3333333333333333,0.2222222222222222,0.33,0.08333333333333333,0.31958762886597936,0.40588235294117647,0.6665204036858271,0.6666666666666666,0.4,0.0,0.0,0.5555555555555556,0.25,0.30434782608695654,0.5769230769230769
IL,2018,0.7155604631729736,0.3865674665291615,0.3572938689217759,0.4025974025974026,0.0,0.3333333333333333,0.38509316770186336,0.36363636363636365,0.363244176013805,0.3802698145025295,0.6387262728401633,0.6176470588235294,0.4782608695652174,0.0,0.6,0.5227127319257837,0.6666666666666666,0.4034653465346535,0.5076923076923077
IN,2018,0.7356233224830107,0.3440424505547516,0.33910533910533913,0.4909090909090909,0.0,0.375,0.34597875569044007,0.3125,0.3271375464684015,0.3605683836589698,0.6356332228582906,0.6361185983827493,0.8888888888888888,0.0,0.3333333333333333,0.5336322869955157,0.0,0.35789473684210527,0.48031496062992124
