state,year,accuracy,selection_rate_1,selection_rate_2,selection_rate_3,selection_rate_4,selection_rate_5,selection_rate_6,selection_rate_7,selection_rate_8,selection_rate_9,true_pos_rate_1,true_pos_rate_2,true_pos_rate_3,true_pos_rate_4,true_pos_rate_5,true_pos_rate_6,true_pos_rate_7,true_pos_rate_8,true_pos_rate_9
AL,2018,0.7714208730016167,0.3534716491807144,0.27316184839517416,0.34831460674157305,0.0,0.16666666666666666,0.238562091503268,0.6666666666666666,0.2946859903381642,0.30927835051546393,0.6809878213802436,0.6195786864931846,0.3225806451612903,0.0,0.0,0.5714285714285714,1.0,0.7619047619047619,0.6730769230769231
AK,2018,0.7024816694867456,0.38178386031146766,0.375,0.25806451612903225,0.29935483870967744,0.29545454545454547,0.04477611940298507,0.4230769230769231,0.35714285714285715,0.2288135593220339,0.6095423563777994,0.5833333333333334,0.16666666666666666,0.2896551724137931,0.1111111111111111,0.11363636363636363,0.8,0.6,0.4823529411764706
AZ,2018,0.7691498632689244,0.34201282834453267,0.3128205128205128,0.33161290322580644,0.0,0.32038834951456313,0.28137817883511074,0.27692307692307694,0.30663615560640733,0.27864077669902915,0.6692619121768919,0.6837349397590361,0.29296875,0.0,0.2,0.5564356435643565,0.3333333333333333,0.5667870036101083,0.6441947565543071
AR,2018,0.7808170005025487,0.309312924585089,0.2701189643107068,0.24050632911392406,,0.6,0.2639593908629442,0.3181818181818182,0.23655913978494625,0.32974910394265233,0.6569125111973724,0.6877828054298643,0.2777777777777778,,0.5,0.6545454545454545,1.0,0.5555555555555556,0.7058823529411765
CA,2018,0.7556231313724989,0.3390327752342859,0.33387869580460444,0.3083462132921175,0.46153846153846156,0.3333333333333333,0.2739918676816778,0.3500784929356358,0.30272452068617556,0.3077016816963198,0.6320782851817335,0.6106404608607252,0.34877384196185285,0.6,0.3125,0.47909906470700514,0.37894736842105264,0.5544263775971093,0.6318662572500853
CO,2018,0.764230498945889,0.40276921961651385,0.32375,0.36649214659685864,0.4,0.4,0.29907502569373073,0.3333333333333333,0.3494764397905759,0.31483578708946774,0.6992296622365191,0.6829268292682927,0.34146341463414637,0.0,0.4166666666666667,0.562358276643991,0.2727272727272727,0.573170731707317,0.6690140845070423
CT,2018,0.7588071771544099,0.40714153103533635,0.25978191148171903,0.2972972972972973,,0.4,0.3656633221850613,0.4,0.3232758620689655,0.2709832134292566,0.664087061668682,0.5220264317180616,0.3333333333333333,,0.0,0.6300211416490487,0.5,0.5671641791044776,0.6083333333333333
DE,2018,0.768512624655209,0.35245220282626766,0.30687830687830686,0.2,,0.0,0.39285714285714285,0.0,0.3972602739726027,0.22784810126582278,0.6494983277591974,0.6194690265486725,0.0,,0.0,0.6835443037974683,0.0,0.5294117647058824,0.6666666666666666
FL,2018,0.7741521354561537,0.3471312251467525,0.2659556018036767,0.3383838383838384,0.2,0.30357142857142855,0.26425401160805734,0.35135135135135137,0.35954645208485736,0.30843263061411547,0.671431086076395,0.6280348144754925,0.43859649122807015,0.0,0.3333333333333333,0.5481818181818182,0.3333333333333333,0.6923076923076923,0.6814159292035398
GA,2018,0.7780614750073652,0.38544176998345,0.32548761418813266,0.28846153846153844,,0.42424242424242425,0.3436928702010969,0.1951219512195122,0.36122448979591837,0.33469805527123847,0.7152191469055136,0.6861240827218146,0.4782608695652174,,0.5,0.6410526315789473,0.42857142857142855,0.6474358974358975,0.7214285714285714
ID,2018,0.7834240774349668,0.3270647027880063,0.3125,0.3448275862068966,0.6666666666666666,0.2777777777777778,0.21,0.08333333333333333,0.26804123711340205,0.20588235294117646,0.6906537955243528,0.8333333333333334,0.5,0.0,0.0,0.5185185185185185,0.0,0.391304347826087,0.5769230769230769
IL,2018,0.7692342127253193,0.36461575293272686,0.29034531360112753,0.2727272727272727,0.5,0.21428571428571427,0.33717834960070986,0.48484848484848486,0.3058671268334771,0.2824620573355818,0.6655579208799006,0.6002673796791443,0.21739130434782608,0.0,0.0,0.6014075495841331,0.5555555555555556,0.5396039603960396,0.676923076923077
IN,2018,0.7843070070241562,0.3159993568097765,0.265031265031265,0.2727272727272727,1.0,0.4375,0.2564491654021244,0.1875,0.2862453531598513,0.2682060390763766,0.6598373003916842,0.6064690026954178,0.2222222222222222,0.0,0.3333333333333333,0.6098654708520179,0.5,0.4631578947368421,0.5984251968503937
IA,2018,0.7778529163144547,0.3236064792758456,0.20270270270270271,0.2765957446808511,,0.6153846153846154,0.19852941176470587,0.3,0.2781456953642384,0.22560975609756098,0.659815198943994,0.43333333333333335,0.3333333333333333,,1.0,0.5384615384615384,0.0,0.6470588235294118,0.7142857142857143
KS,2018,0.7724425887265136,0.3510212826739037,0.2840909090909091,0.3082706766917293,0.5,0.5555555555555556,0.30434782608695654,0.3125,0.33455882352941174,0.28780487804878047,0.6914071128782858,0.768,0.36666666666666664,0.0,0.3333333333333333,0.624,0.4,0.5161290322580645,0.7065217391304348
KY,2018,0.7843769880941561,0.324340648278639,0.2694099378881988,0.18181818181818182,0.0,0.3333333333333333,0.27358490566037735,0.2,0.26011560693641617,0.22435897435897437,0.6642256154565285,0.7161016949152542,0.25,0.0,0.0,0.616822429906542,0.6666666666666666,0.5833333333333334,0.6774193548387096
LA,2018,0.7618909372429477,0.3629103815439219,0.2618900555898703,0.3434343434343434,0.0,0.23809523809523808,0.22273781902552203,0.16666666666666666,0.3739495798319328,0.33608815426997246,0.65367660024687,0.6349384098544233,0.42857142857142855,0.0,0.5,0.49206349206349204,0.0,0.525,0.6728971962616822
MA,2018,0.7661165677818218,0.3921645861107744,0.26963812886142985,0.32558139534883723,0.0,0.4166666666666667,0.32915591596019167,0.29411764705882354,0.3073555166374781,0.29646017699115046,0.6633645089835097,0.554364471669219,0.35,0.0,0.0,0.5898021308980214,0.14285714285714285,0.5433070866141733,0.6505190311418685
ME,2018,0.7767780634104542,0.3196635120925342,0.2,0.4,,0.8333333333333334,0.17105263157894737,1.0,0.4,0.19696969696969696,0.6532687651331719,0.875,0.6666666666666666,,1.0,0.43478260869565216,0.0,1.0,0.631578947368421
MD,2018,0.762453846619454,0.4354016857945616,0.3682040711156918,0.2830188679245283,0.0,0.391304347826087,0.34570135746606334,0.36,0.2973708068902992,0.37341040462427744,0.694362283768038,0.6456466069142125,0.38095238095238093,0.0,0.4444444444444444,0.5774891774891775,0.25,0.6009852216748769,0.7033898305084746
MI,2018,0.7899336106223004,0.3335335844173849,0.2649223221586263,0.33451957295373663,,0.40350877192982454,0.345679012345679,0.2727272727272727,0.3735224586288416,0.2491767288693743,0.6797398632955073,0.6527415143603134,0.25,,0.4166666666666667,0.6300309597523219,0.3333333333333333,0.7159090909090909,0.6359447004608295
MN,2018,0.7642242351955127,0.36302800693977266,0.23059360730593606,0.3643122676579926,0.0,0.3333333333333333,0.20116279069767443,0.5714285714285714,0.2744360902255639,0.2565217391304348,0.6631059983566147,0.6259541984732825,0.2708333333333333,0.0,0.5,0.5,0.6666666666666666,0.5675675675675675,0.6339285714285714
MS,2018,0.7591174463568124,0.3645139048494599,0.2727272727272727,0.3018867924528302,,0.4,0.1956521739130435,0.16666666666666666,0.3490566037735849,0.32558139534883723,0.6853097345132744,0.6261980830670927,0.42857142857142855,,0.0,0.4791666666666667,0.0,0.875,0.6060606060606061
MO,2018,0.7789603335017685,0.3324780842420355,0.29580674567000914,0.3786407766990291,0.25,0.2857142857142857,0.3466424682395644,0.35135135135135137,0.3487179487179487,0.2718253968253968,0.6780898876404494,0.6837606837606838,0.15384615384615385,0.0,0.3333333333333333,0.6576576576576577,0.4444444444444444,0.6071428571428571,0.6732673267326733
MT,2018,0.7534321801208127,0.3417746759720838,0.07142857142857142,0.28286852589641437,,0.3,0.2,0.3333333333333333,0.2857142857142857,0.24369747899159663,0.6653386454183267,0.0,0.3125,,0.0,0.3333333333333333,0.0,1.0,0.59375
NE,2018,0.7601298099211868,0.3663657571761842,0.2706766917293233,0.375,,0.125,0.18041237113402062,0.5,0.2857142857142857,0.22340425531914893,0.693704979642969,0.6666666666666666,0.4166666666666667,,0.2,0.47058823529411764,0.5,0.7142857142857143,0.6111111111111112
NV,2018,0.7483622610927264,0.3107581660173809,0.2746615087040619,0.3474903474903475,,0.3888888888888889,0.14501076812634603,0.35106382978723405,0.2895696571845368,0.2594417077175698,0.5888233786208664,0.5737704918032787,0.3620689655172414,,0.4444444444444444,0.31910112359550563,0.46153846153846156,0.4875,0.5548387096774193
NH,2018,0.7799397439116244,0.36259491141601174,0.20430107526881722,0.5714285714285714,0.0,0.8,0.3236994219653179,0.0,0.30612244897959184,0.328,0.6752221125370188,0.6875,0.0,0.0,1.0,0.6172839506172839,0.0,0.6923076923076923,0.75
NJ,2018,0.7459450409158452,0.3938770259840494,0.2752711496746204,0.3875,,0.425,0.3859577922077922,0.21052631578947367,0.34677793231339826,0.3309128630705394,0.6420084323495592,0.5186396337475474,0.3333333333333333,,0.36363636363636365,0.593638313080772,0.5,0.5817757009345794,0.6405405405405405
NM,2018,0.757433130524624,0.3319209039548023,0.3045977011494253,0.3195364238410596,0.3333333333333333,0.3333333333333333,0.2822085889570552,0.2222222222222222,0.3860294117647059,0.39631336405529954,0.6756380510440835,0.7575757575757576,0.31875,0.0,0.0,0.5625,0.0,0.6857142857142857,0.7464788732394366
NY,2018,0.7480999019617359,0.35821624923640805,0.2520820812226324,0.32793522267206476,0.6666666666666666,0.33663366336633666,0.22331534962445784,0.2894736842105263,0.31469941348973607,0.2953131480713397,0.62544265867611,0.4893730074388948,0.38461538461538464,0.0,0.26666666666666666,0.44421326397919375,0.25,0.5526992287917738,0.6012195121951219
NC,2018,0.7720245068853593,0.38198701998306955,0.2957434402332362,0.32667876588021777,0.5,0.32558139534883723,0.35022165927802407,0.32608695652173914,0.3036734693877551,0.29215686274509806,0.7174661141934124,0.6731493099121706,0.29213483146067415,0.0,0.4666666666666667,0.6553755522827688,0.26666666666666666,0.5891472868217055,0.6590909090909091
ND,2018,0.743658810325477,0.3646913580246914,0.14285714285714285,0.3151515151515151,,0.42857142857142855,0.16981132075471697,0.3333333333333333,0.2692307692307692,0.2537313432835821,0.6467919637070642,0.45454545454545453,0.2631578947368421,,0.5833333333333334,0.45454545454545453,0.0,0.5,0.7058823529411765
OH,2018,0.7864810493280759,0.33293876116670057,0.2668977469670711,0.34615384615384615,,0.4857142857142857,0.3172782874617737,0.5294117647058824,0.3422982885085575,0.25680933852140075,0.6680996529756047,0.6287179487179487,0.2,,0.4,0.6531007751937985,0.8,0.6506024096385542,0.6731707317073171
OK,2018,0.7586091421554948,0.32157303370786516,0.28290155440414505,0.34120734908136485,0.0,0.323943661971831,0.1949685534591195,0.5,0.30845771144278605,0.3029827315541601,0.6560447579664316,0.6896551724137931,0.3670520231213873,0.0,0.26666666666666666,0.5106382978723404,0.0,0.6086956521739131,0.6863468634686347
OR,2018,0.7772252383776632,0.3447565740838526,0.31511254019292606,0.34497816593886466,0.35714285714285715,0.4473684210526316,0.27302275189599134,0.37362637362637363,0.28804347826086957,0.2660996354799514,0.6668063704945516,0.6351351351351351,0.3103448275862069,0.6666666666666666,0.4,0.5483028720626631,0.5882352941176471,0.575,0.6682464454976303
PA,2018,0.780377115418399,0.3306849903371269,0.25480153649167736,0.22033898305084745,0.6666666666666666,0.23809523809523808,0.2860878661087866,0.3333333333333333,0.3239795918367347,0.2602996254681648,0.6501430359377793,0.6042402826855123,0.3,0.5,0.0,0.5792207792207792,0.4,0.5757575757575758,0.6893617021276596
