state,year,accuracy,selection_rate_1,selection_rate_2,selection_rate_3,selection_rate_4,selection_rate_5,selection_rate_6,selection_rate_7,selection_rate_8,selection_rate_9,true_pos_rate_1,true_pos_rate_2,true_pos_rate_3,true_pos_rate_4,true_pos_rate_5,true_pos_rate_6,true_pos_rate_7,true_pos_rate_8,true_pos_rate_9
AL,2018,0.7840398778516257,0.24313332547447836,0.13293876621898476,0.21348314606741572,0.0,0.08333333333333333,0.1830065359477124,0.6666666666666666,0.0821256038647343,0.18213058419243985,0.5162381596752368,0.4225526641883519,0.3870967741935484,0.0,0.0,0.4489795918367347,1.0,0.47619047619047616,0.4807692307692308
AK,2018,0.709531866892273,0.24587069372345446,0.16666666666666666,0.25806451612903225,0.10709677419354839,0.045454545454545456,0.06467661691542288,0.07692307692307693,0.21428571428571427,0.1228813559322034,0.41090555014605645,0.20833333333333334,0.5,0.23448275862068965,0.2222222222222222,0.20454545454545456,0.2,0.4,0.27058823529411763
AZ,2018,0.7736574811431319,0.24102779474648747,0.18021978021978022,0.08774193548387096,0.4,0.1262135922330097,0.2387202625102543,0.2153846153846154,0.14130434782608695,0.16893203883495145,0.5028547700612478,0.5090361445783133,0.31640625,0.5,0.2,0.45742574257425744,0.6111111111111112,0.49097472924187724,0.4756554307116105
AR,2018,0.7974728982697968,0.20672456789061827,0.12876137158852344,0.13924050632911392,,0.13333333333333333,0.17258883248730963,0.09090909090909091,0.07526881720430108,0.16487455197132617,0.48611525828605556,0.47058823529411764,0.5555555555555556,,0.5,0.4727272727272727,1.0,0.4444444444444444,0.4264705882352941
CA,2018,0.7368410293103008,0.24454159297886055,0.19820030384480541,0.14064914992272023,0.3076923076923077,0.1622222222222222,0.21226573725885842,0.152276295133438,0.1158689071206072,0.19900073117231293,0.4711835973904939,0.44052863436123346,0.4032697547683924,0.6,0.4895833333333333,0.37577145765731373,0.3736842105263158,0.40401987353206864,0.44660525417946095
CO,2018,0.7462147831086693,0.28855703360034796,0.1875,0.10471204188481675,0.4,0.23076923076923078,0.2250770811921891,0.25,0.18455497382198952,0.2129105322763307,0.5353424193684924,0.5170731707317073,0.2926829268292683,1.0,0.4166666666666667,0.42403628117913833,0.5454545454545454,0.5,0.5035211267605634
CT,2018,0.7247409653778115,0.29853332508199765,0.15202052597819116,0.08108108108108109,,0.06666666666666667,0.3221850613154961,0.4,0.11925287356321838,0.1630695443645084,0.509310761789601,0.4008810572687225,0.3333333333333333,,0.0,0.5348837209302325,1.0,0.44776119402985076,0.4166666666666667
DE,2018,0.7464460004243582,0.23302853976170684,0.17328042328042328,0.1,,0.2,0.2916666666666667,0.3333333333333333,0.1232876712328767,0.11392405063291139,0.46020066889632105,0.4336283185840708,0.3333333333333333,,1.0,0.5443037974683544,0.5,0.29411764705882354,0.4
FL,2018,0.7727470305787213,0.2435271097645648,0.14030523759972252,0.18181818181818182,0.0,0.125,0.20894503243427792,0.16216216216216217,0.20921726408193123,0.1764436296975252,0.5063193099806372,0.45533669262482823,0.38596491228070173,0.0,0.6666666666666666,0.42454545454545456,0.6111111111111112,0.6131221719457014,0.4654867256637168
GA,2018,0.7788274575272514,0.277605179872826,0.18681589992593203,0.19230769230769232,,0.24242424242424243,0.27285191956124316,0.21951219512195122,0.16122448979591836,0.20368474923234392,0.551281110050657,0.5160106737825216,0.5217391304347826,,0.6,0.5231578947368422,0.7142857142857143,0.532051282051282,0.5142857142857142
