state,year,accuracy,selection_rate_1,selection_rate_2,selection_rate_3,selection_rate_4,selection_rate_5,selection_rate_6,selection_rate_7,selection_rate_8,selection_rate_9,true_pos_rate_1,true_pos_rate_2,true_pos_rate_3,true_pos_rate_4,true_pos_rate_5,true_pos_rate_6,true_pos_rate_7,true_pos_rate_8,true_pos_rate_9
AL,2018,0.7986348122866894,0.38795237533891314,0.18483951741406784,0.30337078651685395,0.0,0.08333333333333333,0.33986928104575165,0.6666666666666666,0.06280193236714976,0.23711340206185566,0.7515223274695535,0.5427509293680297,0.6129032258064516,0.0,0.0,0.8163265306122449,1.0,0.42857142857142855,0.6538461538461539
AK,2018,0.766215454032713,0.3959414818310524,0.2222222222222222,0.2903225806451613,0.08645161290322581,0.022727272727272728,0.09950248756218906,0.11538461538461539,0.11904761904761904,0.19491525423728814,0.6436222005842259,0.3333333333333333,0.5833333333333334,0.2827586206896552,0.1111111111111111,0.29545454545454547,0.2,0.25,0.43529411764705883
AZ,2018,0.806593142410674,0.3710675015271839,0.23443223443223443,0.12322580645161291,0.4,0.08737864077669903,0.41263330598851516,0.24615384615384617,0.10411899313501144,0.23300970873786409,0.728744939271255,0.6325301204819277,0.3984375,0.5,0.2,0.7841584158415842,0.6666666666666666,0.38267148014440433,0.651685393258427
AR,2018,0.8012061167348697,0.3359704187806346,0.17424772568229532,0.21518987341772153,,0.13333333333333333,0.3147208121827411,0.09090909090909091,0.04659498207885305,0.24372759856630824,0.720513586145118,0.5746606334841629,0.6111111111111112,,0.5,0.7636363636363637,1.0,0.3333333333333333,0.5882352941176471
CA,2018,0.8015281220453326,0.36651075153298185,0.2496201939932219,0.18160741885625967,0.3076923076923077,0.13333333333333333,0.4049649943440643,0.1664050235478807,0.0806826657307068,0.25920058493785036,0.6850698974836906,0.5398170111826499,0.4986376021798365,0.6,0.4375,0.7012788700133613,0.4052631578947368,0.3091689250225836,0.6001364721937905
CO,2018,0.7892097361528142,0.4327449345753742,0.24,0.19895287958115182,0.6,0.23076923076923078,0.42857142857142855,0.2222222222222222,0.1243455497382199,0.27633069082672707,0.7551003132142555,0.6195121951219512,0.4878048780487805,1.0,0.4166666666666667,0.7551020408163265,0.45454545454545453,0.3780487804878049,0.6654929577464789
CT,2018,0.7950467525903462,0.4398168203477938,0.17447081462475947,0.1891891891891892,,0.06666666666666667,0.4938684503901895,0.4,0.08620689655172414,0.22541966426858512,0.7217654171704958,0.45154185022026433,0.6666666666666666,,0.0,0.8393234672304439,1.0,0.3582089552238806,0.5833333333333334
DE,2018,0.7903670698069171,0.38237738985868663,0.2261904761904762,0.15,,0.2,0.5595238095238095,0.3333333333333333,0.0958904109589041,0.16455696202531644,0.6983277591973244,0.5442477876106194,0.6666666666666666,,1.0,0.9367088607594937,0.5,0.29411764705882354,0.6666666666666666
FL,2018,0.7971897902451353,0.3764564792021713,0.18366285119667014,0.25757575757575757,0.2,0.08928571428571429,0.39877091157391603,0.17567567567567569,0.15215801024140455,0.25022914757103576,0.7296602710790354,0.554283096655978,0.5263157894736842,0.0,0.6666666666666666,0.7745454545454545,0.6111111111111112,0.5180995475113123,0.6442477876106195
GA,2018,0.8081508396346853,0.41883220580122527,0.2374290181878035,0.28846153846153844,,0.15151515151515152,0.46115173674588666,0.21951219512195122,0.11938775510204082,0.2917093142272262,0.777475956244035,0.6157438292194797,0.6956521739130435,,0.4,0.8210526315789474,0.7142857142857143,0.4551282051282051,0.7464285714285714
