state,year,accuracy,selection_rate_1,selection_rate_2,selection_rate_3,selection_rate_4,selection_rate_5,selection_rate_6,selection_rate_7,selection_rate_8,selection_rate_9,true_pos_rate_1,true_pos_rate_2,true_pos_rate_3,true_pos_rate_4,true_pos_rate_5,true_pos_rate_6,true_pos_rate_7,true_pos_rate_8,true_pos_rate_9
AL,2018,0.7692653134542842,0.3479900978427443,0.3193717277486911,0.449438202247191,0.0,0.5,0.3366013071895425,0.6666666666666666,0.2753623188405797,0.3539518900343643,0.6911366711772666,0.5960346964064436,0.6451612903225806,0.0,1.0,0.6530612244897959,1.0,0.47619047619047616,0.7307692307692307
AK,2018,0.7115059221658206,0.3468617272298254,0.375,0.4838709677419355,0.32387096774193547,0.36363636363636365,0.14925373134328357,0.23076923076923078,0.4523809523809524,0.3347457627118644,0.5764362220058422,0.5416666666666666,0.75,0.4827586206896552,0.4444444444444444,0.38636363636363635,0.2,0.65,0.5176470588235295
AZ,2018,0.7759112900802356,0.32235033598045204,0.3545787545787546,0.28516129032258064,0.2,0.2815533980582524,0.38802296964725186,0.35384615384615387,0.31521739130434784,0.3466019417475728,0.6531713900134952,0.6536144578313253,0.51953125,0.0,0.3,0.6871287128712872,0.6111111111111112,0.5234657039711191,0.6554307116104869
AR,2018,0.7842630483164621,0.28609510705993635,0.30230930720783766,0.4430379746835443,,0.4,0.3197969543147208,0.18181818181818182,0.24731182795698925,0.32974910394265233,0.6413854882054345,0.583710407239819,0.7222222222222222,,1.0,0.6363636363636364,1.0,0.5555555555555556,0.5735294117647058
CA,2018,0.7475481051797715,0.3212898533956994,0.363211405866542,0.3369397217928903,0.5384615384615384,0.39111111111111113,0.36882815127334984,0.34065934065934067,0.30601500460667747,0.3531562271508652,0.6078844361602982,0.5604879701796002,0.5776566757493188,0.8,0.6041666666666666,0.5898072151173888,0.5052631578947369,0.4817073170731707,0.617195496417605
CO,2018,0.7702996230754487,0.37645438399362063,0.345,0.2931937172774869,1.0,0.5692307692307692,0.38437821171634123,0.3888888888888889,0.31675392670157065,0.37485843714609285,0.6806907644120884,0.624390243902439,0.4878048780487805,1.0,0.4166666666666667,0.6167800453514739,0.36363636363636365,0.5365853658536586,0.676056338028169
CT,2018,0.7554713166540308,0.38900922086762796,0.30468248877485565,0.32432432432432434,,0.4666666666666667,0.451505016722408,0.6,0.2916666666666667,0.3261390887290168,0.6469165659008465,0.5022026431718062,0.6666666666666666,,1.0,0.7230443974630021,1.0,0.5074626865671642,0.6583333333333333
DE,2018,0.7646934012306387,0.3294541424217235,0.3531746031746032,0.2,,0.0,0.47023809523809523,0.6666666666666666,0.3698630136986301,0.24050632911392406,0.6307692307692307,0.5796460176991151,0.3333333333333333,,0.0,0.8227848101265823,0.5,0.5882352941176471,0.4666666666666667
FL,2018,0.769481930755623,0.33054345767847,0.30801248699271594,0.3939393939393939,0.4,0.5,0.36189825879139637,0.36486486486486486,0.35259692757863936,0.346929422548121,0.6583348002112304,0.5579477782867613,0.543859649122807,0.0,1.0,0.6363636363636364,0.6666666666666666,0.6312217194570136,0.647787610619469
GA,2018,0.7688304036138662,0.36743996980343197,0.3523989795078594,0.38461538461538464,,0.5151515151515151,0.41819012797074956,0.36585365853658536,0.3122448979591837,0.3490276356192426,0.7034725791057925,0.6180787191460974,0.782608695652174,,0.9,0.7021052631578948,0.8571428571428571,0.5897435897435898,0.7
