state,year,accuracy,selection_rate_1,selection_rate_2,selection_rate_3,selection_rate_4,selection_rate_5,selection_rate_6,selection_rate_7,selection_rate_8,selection_rate_9,true_pos_rate_1,true_pos_rate_2,true_pos_rate_3,true_pos_rate_4,true_pos_rate_5,true_pos_rate_6,true_pos_rate_7,true_pos_rate_8,true_pos_rate_9
AL,2018,0.7985449973055506,0.38099728869503713,0.1862053266560437,0.3707865168539326,0.0,0.0,0.3300653594771242,0.6666666666666666,0.057971014492753624,0.2268041237113402,0.7425575101488497,0.5415117719950434,0.6774193548387096,0.0,0.0,0.7857142857142857,1.0,0.3333333333333333,0.6346153846153846
AK,2018,0.766497461928934,0.37895233600755074,0.2222222222222222,0.3225806451612903,0.09419354838709677,0.06818181818181818,0.11940298507462686,0.11538461538461539,0.11904761904761904,0.211864406779661,0.626095423563778,0.4166666666666667,0.6666666666666666,0.2896551724137931,0.1111111111111111,0.36363636363636365,0.2,0.25,0.4588235294117647
AZ,2018,0.8041890795444301,0.34598350641417225,0.2153846153846154,0.1335483870967742,0.2,0.08737864077669903,0.3888433141919606,0.2153846153846154,0.10812356979405034,0.2174757281553398,0.6922038824872833,0.5692771084337349,0.4140625,0.0,0.2,0.7524752475247525,0.6111111111111112,0.3862815884476534,0.6217228464419475
AR,2018,0.8051547131883121,0.3129245850890016,0.158852344296711,0.25316455696202533,,0.13333333333333333,0.29949238578680204,0.09090909090909091,0.035842293906810034,0.2222222222222222,0.686772170797253,0.5565610859728507,0.7222222222222222,,0.5,0.7272727272727273,1.0,0.16666666666666666,0.5588235294117647
CA,2018,0.7892418163698157,0.34320612201047884,0.23734953838962253,0.18856259659969088,0.23076923076923078,0.1288888888888889,0.37818337460637746,0.16797488226059654,0.07958583775720617,0.24128686327077747,0.6450512581547064,0.5099966113181972,0.4986376021798365,0.4,0.40625,0.651714703823885,0.4052631578947368,0.299683830171635,0.5574889116342545
CO,2018,0.785153005813582,0.40389285584834533,0.22625,0.16753926701570682,0.6,0.15384615384615385,0.3987667009249743,0.2777777777777778,0.12958115183246074,0.2582106455266138,0.7183611275713198,0.5707317073170731,0.3902439024390244,1.0,0.25,0.6870748299319728,0.45454545454545453,0.3780487804878049,0.6232394366197183
CT,2018,0.782259287338893,0.41685747880438145,0.17447081462475947,0.21621621621621623,,0.06666666666666667,0.47045707915273133,0.4,0.08045977011494253,0.2302158273381295,0.6859733978234582,0.43832599118942733,0.6666666666666666,,0.0,0.8054968287526427,1.0,0.30597014925373134,0.6
DE,2018,0.7939741141523445,0.3574397339983375,0.21164021164021163,0.05,,0.2,0.5,0.3333333333333333,0.1232876712328767,0.13924050632911392,0.6782608695652174,0.5088495575221239,0.0,,1.0,0.8607594936708861,0.5,0.35294117647058826,0.4666666666666667
FL,2018,0.7950063179176143,0.353796629426245,0.16553936871314603,0.2474747474747475,0.0,0.08928571428571429,0.37384772960054624,0.17567567567567569,0.14374542794440381,0.22868927589367552,0.6950184826615032,0.5061841502519469,0.5087719298245614,0.0,0.5,0.7181818181818181,0.5555555555555556,0.49547511312217196,0.6106194690265486
GA,2018,0.8051261907100069,0.39464591620452366,0.22648341700271582,0.3076923076923077,,0.24242424242424243,0.4382998171846435,0.24390243902439024,0.10714285714285714,0.2610030706243603,0.7433374935760957,0.5887258172114743,0.782608695652174,,0.6,0.7821052631578947,0.8571428571428571,0.4358974358974359,0.6678571428571428
HI,2018,0.7670417798473678,0.3714975845410628,0.22929936305732485,0.16666666666666666,0.0,0.0,0.2760651195012123,0.13081761006289308,0.14953271028037382,0.23067846607669618,0.6246089676746611,0.5294117647058824,0.6,0.0,0.0,0.5559534467323187,0.35,0.42857142857142855,0.5102389078498294
ID,2018,0.8041137326073805,0.33245660178853237,0.20833333333333334,0.14655172413793102,0.0,0.16666666666666666,0.26,0.16666666666666666,0.06701030927835051,0.1411764705882353,0.7204914436156209,0.5,0.5,0.0,0.0,0.7037037037037037,0.5,0.2608695652173913,0.5
IL,2018,0.7919004416855676,0.369293383178947,0.18675123326286117,0.14285714285714285,0.0,0.23809523809523808,0.44602188701567586,0.21212121212121213,0.07031924072476273,0.21500843170320405,0.6866240908284549,0.4859625668449198,0.34782608695652173,0.0,0.8,0.7760716570697377,0.5555555555555556,0.26732673267326734,0.6153846153846154
IN,2018,0.8037519273599452,0.3228493326901431,0.1596921596921597,0.2909090909090909,0.0,0.25,0.3596358118361153,0.1875,0.07063197026022305,0.20426287744227353,0.692879381339761,0.4743935309973046,0.8888888888888888,0.0,0.6666666666666666,0.7937219730941704,0.5,0.2,0.5275590551181102
IA,2018,0.7900817131586363,0.32366603144354456,0.10135135135135136,0.1702127659574468,,0.07692307692307693,0.23897058823529413,0.1,0.09271523178807947,0.18292682926829268,0.6718838393362248,0.36666666666666664,0.7777777777777778,,1.0,0.676923076923077,0.5,0.47058823529411764,0.7857142857142857
KS,2018,0.7993926741317138,0.3489501499785745,0.18668831168831168,0.21052631578947367,0.0,0.1111111111111111,0.37681159420289856,0.25,0.0661764705882353,0.22195121951219512,0.7183565275016567,0.624,0.6,0.0,0.3333333333333333,0.728,0.4,0.3870967741935484,0.717391304347826
KY,2018,0.800418067799691,0.3318401449567143,0.18478260869565216,0.2727272727272727,1.0,0.0,0.3710691823899371,0.06666666666666667,0.046242774566473986,0.18269230769230768,0.6960112184481146,0.5847457627118644,0.75,0.0,0.0,0.7757009345794392,0.3333333333333333,0.25,0.6612903225806451
ME,2018,0.787917737789203,0.330929848280006,0.13333333333333333,0.125,,0.16666666666666666,0.2236842105263158,0.0,0.2,0.1590909090909091,0.6842615012106538,0.75,0.6666666666666666,,1.0,0.5652173913043478,0.0,0.5,0.631578947368421
