state,year,accuracy,selection_rate_1,selection_rate_2,selection_rate_3,selection_rate_4,selection_rate_5,selection_rate_6,selection_rate_7,selection_rate_8,selection_rate_9,true_pos_rate_1,true_pos_rate_2,true_pos_rate_3,true_pos_rate_4,true_pos_rate_5,true_pos_rate_6,true_pos_rate_7,true_pos_rate_8,true_pos_rate_9
AL,2018,0.7303754266211604,0.42384769539078154,0.4167994536763032,0.38202247191011235,1.0,0.5833333333333334,0.3137254901960784,0.6666666666666666,0.42028985507246375,0.40893470790378006,0.7445872801082544,0.7422552664188352,0.5161290322580645,0.0,1.0,0.7653061224489796,1.0,0.5238095238095238,0.7307692307692307
AK,2018,0.6748448956570784,0.43086361491269465,0.4722222222222222,0.45161290322580644,0.447741935483871,0.5,0.07960199004975124,0.38461538461538464,0.4523809523809524,0.4279661016949153,0.6660175267770204,0.75,0.4166666666666667,0.4482758620689655,0.5555555555555556,0.20454545454545456,0.2,0.4,0.611764705882353
AZ,2018,0.7334795804910298,0.4013821014050092,0.44468864468864466,0.44903225806451613,0.4,0.4368932038834951,0.39048400328137817,0.47692307692307695,0.4610983981693364,0.4184466019417476,0.7205439634589432,0.7921686746987951,0.44921875,0.0,0.6,0.7188118811881188,0.5,0.49458483754512633,0.6928838951310862
AR,2018,0.7295570392705866,0.37896637716054693,0.4072778166550035,0.4430379746835443,,0.6,0.27411167512690354,0.5,0.4551971326164875,0.4121863799283154,0.7091669154971634,0.7873303167420814,0.5,,1.0,0.6363636363636364,0.5,0.7222222222222222,0.6470588235294118
CA,2018,0.7351135869981856,0.4001041270680793,0.4730629893654318,0.4412673879443586,0.38461538461538464,0.4444444444444444,0.3874774526888624,0.45368916797488223,0.4417584346071162,0.41835242505483794,0.6932525629077353,0.7543205692985429,0.4550408719346049,0.2,0.5104166666666666,0.6550868486352357,0.45263157894736844,0.48261065943992776,0.6653019447287615
CO,2018,0.7463744969015524,0.4569574830548407,0.455,0.46596858638743455,0.4,0.3384615384615385,0.4039054470709147,0.3888888888888889,0.43455497382198954,0.41562853907134767,0.7473969355794464,0.8,0.5121951219512195,0.0,0.3333333333333333,0.7120181405895691,0.45454545454545453,0.4634146341463415,0.6971830985915493
CT,2018,0.7508213292898661,0.4711925242898694,0.40153944836433614,0.4864864864864865,,0.3333333333333333,0.4738015607580825,0.4,0.44971264367816094,0.41247002398081534,0.7270858524788392,0.6828193832599119,0.2222222222222222,,1.0,0.7822410147991543,0.5,0.4925373134328358,0.7583333333333333
DE,2018,0.7371101209420751,0.4120254918259906,0.44576719576719576,0.5,,0.6,0.5178571428571429,1.0,0.4383561643835616,0.27848101265822783,0.6943143812709031,0.7256637168141593,0.6666666666666666,,1.0,0.8481012658227848,1.0,0.47058823529411764,0.5333333333333333
FL,2018,0.7350012635835229,0.4127501104588777,0.4105098855359001,0.5050505050505051,0.2,0.4642857142857143,0.36633663366336633,0.4189189189189189,0.4352596927578639,0.4152153987167736,0.7250836120401338,0.7503435639028859,0.5964912280701754,0.0,0.6666666666666666,0.7072727272727273,0.4444444444444444,0.47737556561085975,0.6902654867256637
GA,2018,0.7405283315329471,0.4423506866815714,0.4554357666035717,0.40384615384615385,,0.42424242424242425,0.4369287020109689,0.43902439024390244,0.4377551020408163,0.4216990788126919,0.7579472872769988,0.7945296864576384,0.17391304347826086,,0.4,0.7726315789473684,0.42857142857142855,0.5064102564102564,0.7392857142857143
HI,2018,0.7061182253266072,0.4454106280193237,0.49044585987261147,0.2222222222222222,0.0,0.0,0.2677519916868722,0.43144654088050316,0.4205607476635514,0.40294985250737464,0.708029197080292,0.7843137254901961,0.2,0.0,0.0,0.5201432408236347,0.485,0.4642857142857143,0.5972696245733788
ID,2018,0.7489413188142771,0.3782219884271436,0.375,0.41379310344827586,0.3333333333333333,0.5555555555555556,0.25,0.3333333333333333,0.4484536082474227,0.3411764705882353,0.7310223782360684,0.8333333333333334,0.35,0.0,1.0,0.6296296296296297,0.5,0.30434782608695654,0.5384615384615384
IL,2018,0.7455085352751581,0.4242463306384781,0.414200140944327,0.4155844155844156,1.0,0.5476190476190477,0.4424726412304052,0.48484848484848486,0.4598792062122519,0.38532883642495785,0.716959375554373,0.7366310160427807,0.4782608695652174,0.0,0.4,0.7523992322456814,0.5555555555555556,0.5247524752475248,0.6923076923076923
IN,2018,0.7508423276797441,0.37668435439781317,0.4078884078884079,0.43636363636363634,1.0,0.4375,0.3505311077389985,0.4375,0.4739776951672863,0.34991119005328597,0.712463593451843,0.7331536388140162,0.3333333333333333,0.0,0.3333333333333333,0.7757847533632287,0.5,0.5263157894736842,0.6141732283464567
IA,2018,0.7435333896872358,0.3851834206765126,0.34797297297297297,0.3617021276595745,,0.38461538461538464,0.2647058823529412,0.5,0.44370860927152317,0.38414634146341464,0.7063926079577597,0.7,0.3333333333333333,,1.0,0.7538461538461538,0.5,0.5882352941176471,0.75
KS,2018,0.7315746188397545,0.41458363090987,0.39285714285714285,0.46616541353383456,0.25,0.2222222222222222,0.34202898550724636,0.4375,0.48161764705882354,0.3926829268292683,0.7347028937486194,0.84,0.5,0.0,0.0,0.64,0.4,0.6129032258064516,0.7065217391304348
KY,2018,0.7473416340997909,0.38901751560297965,0.40062111801242234,0.3181818181818182,0.0,0.3333333333333333,0.3553459119496855,0.6666666666666666,0.43352601156069365,0.3557692307692308,0.7172016204425055,0.7754237288135594,0.5,0.0,0.0,0.7289719626168224,0.6666666666666666,0.5833333333333334,0.7741935483870968
LA,2018,0.7158271640779987,0.4259094942324756,0.40271772699197034,0.41414141414141414,0.0,0.5238095238095238,0.3039443155452436,0.3333333333333333,0.5168067226890757,0.40771349862258954,0.7041086228178451,0.734602463605823,0.35714285714285715,0.0,0.25,0.6507936507936508,0.0,0.55,0.5700934579439252
