state,year,accuracy,selection_rate_1,selection_rate_2,selection_rate_3,selection_rate_4,selection_rate_5,selection_rate_6,selection_rate_7,selection_rate_8,selection_rate_9,true_pos_rate_1,true_pos_rate_2,true_pos_rate_3,true_pos_rate_4,true_pos_rate_5,true_pos_rate_6,true_pos_rate_7,true_pos_rate_8,true_pos_rate_9
AL,2018,0.7946380456260104,0.4207827419544972,0.20464375142271796,0.34831460674157305,0.0,0.08333333333333333,0.34967320261437906,0.6666666666666666,0.08695652173913043,0.26804123711340205,0.7917794316644113,0.5898389095415117,0.6774193548387096,0.0,0.0,0.8469387755102041,1.0,0.5714285714285714,0.7307692307692307
AK,2018,0.7783417935702199,0.4294478527607362,0.3611111111111111,0.3548387096774194,0.11225806451612903,0.09090909090909091,0.13432835820895522,0.11538461538461539,0.19047619047619047,0.2245762711864407,0.6903602726387537,0.6666666666666666,0.6666666666666666,0.3586206896551724,0.3333333333333333,0.4318181818181818,0.4,0.4,0.47058823529411764
AZ,2018,0.8019653213931545,0.4089798411728772,0.26373626373626374,0.16580645161290322,0.2,0.1553398058252427,0.44052502050861364,0.27692307692307694,0.14073226544622425,0.25339805825242717,0.7750441191736739,0.6686746987951807,0.49609375,0.0,0.5,0.8257425742574257,0.6666666666666666,0.4584837545126354,0.6853932584269663
AR,2018,0.7919448632349774,0.37010920973428496,0.1959412176347096,0.27848101265822783,,0.2,0.34517766497461927,0.13636363636363635,0.07885304659498207,0.26881720430107525,0.7632128993729471,0.6380090497737556,0.7222222222222222,,0.5,0.8,1.0,0.3888888888888889,0.6176470588235294
CA,2018,0.8060664911966882,0.40763267937127085,0.28175762533598225,0.22488408037094282,0.3076923076923077,0.18666666666666668,0.43929805252377024,0.23547880690737832,0.1151669372175668,0.2879600292468925,0.7370549860205032,0.5865808200609963,0.5749318801089919,0.8,0.5520833333333334,0.7456257555513138,0.5421052631578948,0.39814814814814814,0.6410781303309451
CO,2018,0.7889222513256244,0.46938997426510565,0.275,0.25654450261780104,0.6,0.2153846153846154,0.460431654676259,0.3055555555555556,0.15575916230366493,0.3057757644394111,0.7972572589520021,0.6536585365853659,0.6585365853658537,1.0,0.3333333333333333,0.8027210884353742,0.7272727272727273,0.43902439024390244,0.7253521126760564
CT,2018,0.8007076067728077,0.4787424964416115,0.20012828736369467,0.21621621621621623,,0.06666666666666667,0.5050167224080268,0.4,0.11637931034482758,0.26139088729016785,0.7662636033857315,0.5088105726872246,0.6666666666666666,,0.0,0.8456659619450317,1.0,0.44776119402985076,0.625
DE,2018,0.7916401442817739,0.41812136325852034,0.2552910052910053,0.15,,0.2,0.5535714285714286,0.6666666666666666,0.1232876712328767,0.17721518987341772,0.7444816053511706,0.588495575221239,0.6666666666666666,,1.0,0.9240506329113924,1.0,0.35294117647058826,0.6666666666666666
FL,2018,0.7904371998989134,0.4158808306507606,0.2059486645855012,0.2878787878787879,0.2,0.125,0.42642540116080574,0.20270270270270271,0.1920263350402341,0.2832263978001833,0.7751452209118113,0.5991754466330738,0.5614035087719298,0.0,0.8333333333333334,0.8045454545454546,0.6111111111111112,0.5882352941176471,0.7061946902654868
GA,2018,0.8026907591083178,0.45236781742690396,0.25932022055797876,0.3076923076923077,,0.24242424242424243,0.4780621572212066,0.2682926829268293,0.15612244897959185,0.3132036847492323,0.8113941707657294,0.6557705136757839,0.7391304347826086,,0.5,0.84,0.8571428571428571,0.5256410256410257,0.775
HI,2018,0.7772603802871556,0.4492753623188406,0.3248407643312102,0.2222222222222222,0.0,0.0,0.3380671977831659,0.1610062893081761,0.205607476635514,0.27492625368731566,0.7299270072992701,0.7254901960784313,0.8,0.0,0.0,0.649059982094897,0.4,0.6428571428571429,0.5750853242320819
ID,2018,0.7906836055656382,0.3854550236717517,0.25,0.15517241379310345,0.0,0.2777777777777778,0.31,0.25,0.11855670103092783,0.17058823529411765,0.7858709960508995,0.8333333333333334,0.55,0.0,1.0,0.8148148148148148,0.75,0.30434782608695654,0.5384615384615384
IL,2018,0.7965411245075803,0.4268245520340325,0.22868217054263565,0.18181818181818182,0.5,0.2619047619047619,0.49600709849157054,0.30303030303030304,0.1095772217428818,0.26138279932546377,0.761353556856484,0.5728609625668449,0.391304347826087,0.0,0.8,0.8445297504798465,0.6666666666666666,0.3935643564356436,0.6861538461538461
IN,2018,0.7910170749814402,0.37861392506833896,0.1976911976911977,0.3090909090909091,0.0,0.25,0.37177541729893776,0.1875,0.10408921933085502,0.2539964476021314,0.7583609520940042,0.5714285714285714,0.7777777777777778,0.0,0.6666666666666666,0.8161434977578476,0.5,0.2631578947368421,0.6299212598425197
IA,2018,0.7850098619329389,0.3832777513101477,0.11824324324324324,0.19148936170212766,,0.07692307692307693,0.28308823529411764,0.2,0.09271523178807947,0.2073170731707317,0.7578729021308693,0.43333333333333335,0.7777777777777778,,1.0,0.8,1.0,0.35294117647058826,0.8571428571428571
KS,2018,0.7833871069779211,0.41794029424367946,0.22564935064935066,0.2631578947368421,0.0,0.1111111111111111,0.40869565217391307,0.25,0.09191176470588236,0.23658536585365852,0.7969958029600177,0.728,0.7333333333333333,0.0,0.3333333333333333,0.768,0.4,0.45161290322580644,0.7608695652173914
KY,2018,0.7909661001545033,0.38624924501711294,0.21195652173913043,0.3181818181818182,1.0,0.1111111111111111,0.39937106918238996,0.0,0.11560693641618497,0.1955128205128205,0.7648800249298847,0.6652542372881356,0.75,0.0,0.0,0.8317757009345794,0.0,0.4166666666666667,0.6451612903225806
ME,2018,0.7829191659525849,0.3841069550848731,0.16,0.15,,0.5,0.2631578947368421,0.0,0.26666666666666666,0.1893939393939394,0.7617433414043584,0.875,0.6666666666666666,,1.0,0.6956521739130435,0.0,0.75,0.6842105263157895
MD,2018,0.8079414079050905,0.5136911281489595,0.33251739242463285,0.32075471698113206,0.5,0.2608695652173913,0.5298642533936652,0.36,0.11514052583862194,0.38034682080924853,0.8036210450838039,0.6523687580025608,0.5714285714285714,1.0,0.4444444444444444,0.8398268398268398,0.75,0.4729064039408867,0.7457627118644068
MI,2018,0.8034314509678452,0.3955035929665658,0.20877623330607795,0.2313167259786477,,0.14035087719298245,0.5068990559186638,0.36363636363636365,0.1773049645390071,0.24368825466520308,0.7762293450129405,0.6279373368146214,0.6666666666666666,,0.4166666666666667,0.8668730650154799,1.0,0.5795454545454546,0.7188940092165899
MN,2018,0.7809548370458721,0.4246007860354778,0.1632420091324201,0.22676579925650558,0.0,0.10256410256410256,0.2941860465116279,0.14285714285714285,0.09398496240601503,0.23043478260869565,0.7551355792933443,0.6030534351145038,0.625,0.0,1.0,0.7386363636363636,0.3333333333333333,0.43243243243243246,0.6785714285714286
MS,2018,0.7779209947683676,0.42771776603079753,0.2037962037962038,0.18867924528301888,,0.4,0.31521739130434784,0.16666666666666666,0.12264150943396226,0.29457364341085274,0.7794690265486726,0.5958466453674122,0.42857142857142855,,0.0,0.7291666666666666,0.0,0.4375,0.696969696969697
MO,2018,0.7863820111167256,0.3939134773002637,0.22789425706472197,0.3106796116504854,0.0,0.21428571428571427,0.4809437386569873,0.08108108108108109,0.13333333333333333,0.25396825396825395,0.7749438202247191,0.6474358974358975,0.8461538461538461,0.0,0.6666666666666666,0.8738738738738738,0.3333333333333333,0.32142857142857145,0.7128712871287128
MT,2018,0.7505033864177192,0.40638085742771685,0.21428571428571427,0.28286852589641437,,0.3,0.26666666666666666,0.3333333333333333,0.14285714285714285,0.23529411764705882,0.7563081009296149,1.0,0.5833333333333334,,0.0,0.6666666666666666,0.0,0.5,0.625
NE,2018,0.7674547983310153,0.42833958819352874,0.23308270676691728,0.13541666666666666,,0.5,0.28865979381443296,0.16666666666666666,0.11904761904761904,0.21808510638297873,0.7939242092076417,0.625,0.5,,0.6,0.7058823529411765,0.5,0.47619047619047616,0.5277777777777778
NV,2018,0.7921928817451206,0.3824792727999201,0.2059961315280464,0.21621621621621623,,0.19444444444444445,0.2742282842785355,0.19148936170212766,0.06929248723559446,0.22660098522167488,0.7062291720071776,0.5614754098360656,0.46551724137931033,,0.3333333333333333,0.5730337078651685,0.6153846153846154,0.275,0.6064516129032258
