state,year,accuracy,selection_rate_1,selection_rate_2,selection_rate_3,selection_rate_4,selection_rate_5,selection_rate_6,selection_rate_7,selection_rate_8,selection_rate_9,true_pos_rate_1,true_pos_rate_2,true_pos_rate_3,true_pos_rate_4,true_pos_rate_5,true_pos_rate_6,true_pos_rate_7,true_pos_rate_8,true_pos_rate_9
AL,2018,0.752739356924735,0.4296239537899328,0.40792169360346003,0.43820224719101125,0.0,0.3333333333333333,0.32679738562091504,0.6666666666666666,0.45893719806763283,0.4020618556701031,0.783660351826793,0.7893432465923172,0.6129032258064516,0.0,0.0,0.7653061224489796,1.0,0.6666666666666666,0.9230769230769231
AK,2018,0.7084038353073886,0.43039169419537515,0.4583333333333333,0.3548387096774194,0.4,0.4772727272727273,0.0945273631840796,0.23076923076923078,0.4523809523809524,0.3983050847457627,0.6874391431353457,0.7916666666666666,0.25,0.43448275862068964,0.4444444444444444,0.2727272727272727,0.4,0.65,0.6941176470588235
AZ,2018,0.7648225501096854,0.40302382406841786,0.4468864468864469,0.4206451612903226,0.4,0.4174757281553398,0.4159146841673503,0.5538461538461539,0.44221967963386727,0.40485436893203886,0.7592650264715042,0.8313253012048193,0.5,0.0,0.4,0.7702970297029703,0.6666666666666666,0.6750902527075813,0.8426966292134831
AR,2018,0.7557613611888865,0.3866196577521713,0.41287613715885235,0.3037974683544304,,0.3333333333333333,0.3401015228426396,0.5909090909090909,0.3727598566308244,0.4444444444444444,0.767990444908928,0.8280542986425339,0.3333333333333333,,1.0,0.8181818181818182,1.0,0.4444444444444444,0.8676470588235294
CA,2018,0.7687067181151458,0.3943771383237195,0.4459506836508122,0.42272024729520863,0.38461538461538464,0.4311111111111111,0.4209239047356996,0.47095761381475665,0.42649058921598737,0.4404094564952474,0.715824790307549,0.7661809556082684,0.4822888283378747,0.6,0.46875,0.7194757269198957,0.6157894736842106,0.5959801264679313,0.8287273967929034
CO,2018,0.7710343065227113,0.4587335532277357,0.4725,0.38219895287958117,0.6,0.3076923076923077,0.4450154162384378,0.5277777777777778,0.468586387434555,0.44620611551528877,0.7761787860831287,0.8634146341463415,0.34146341463414637,0.0,0.16666666666666666,0.782312925170068,0.6363636363636364,0.6280487804878049,0.8873239436619719
CT,2018,0.7809451604751074,0.4672318831610867,0.3867864015394484,0.4864864864864865,,0.4,0.4927536231884058,0.6,0.41810344827586204,0.3932853717026379,0.749093107617896,0.7268722466960352,0.5555555555555556,,0.0,0.828752642706131,0.5,0.582089552238806,0.85
DE,2018,0.77466581795035,0.4111942366306456,0.43915343915343913,0.5,,0.4,0.5535714285714286,0.6666666666666666,0.3972602739726027,0.4050632911392405,0.7411371237458194,0.7477876106194691,0.6666666666666666,,1.0,0.9367088607594937,1.0,0.6470588235294118,0.8666666666666667
FL,2018,0.7599696739954511,0.4125228807675314,0.4032258064516129,0.4595959595959596,0.4,0.6428571428571429,0.399453738477296,0.4864864864864865,0.46232626188734455,0.459211732355637,0.7580003520506953,0.8025652771415483,0.5263157894736842,0.0,1.0,0.76,0.7777777777777778,0.7239819004524887,0.8690265486725663
GA,2018,0.7649808504370028,0.4542551029296478,0.44745288453625215,0.5576923076923077,,0.36363636363636365,0.46206581352833637,0.6585365853658537,0.42857142857142855,0.44933469805527126,0.803832317744659,0.8188792528352234,0.6521739130434783,,0.4,0.8210526315789474,0.8571428571428571,0.6602564102564102,0.9
