state,year,accuracy,selection_rate_1,selection_rate_2,selection_rate_3,selection_rate_4,selection_rate_5,selection_rate_6,selection_rate_7,selection_rate_8,selection_rate_9,true_pos_rate_1,true_pos_rate_2,true_pos_rate_3,true_pos_rate_4,true_pos_rate_5,true_pos_rate_6,true_pos_rate_7,true_pos_rate_8,true_pos_rate_9
AL,2018,0.7512574097359439,0.37763762819757163,0.28636467106760755,0.43820224719101125,0.0,0.08333333333333333,0.3333333333333333,1.0,0.28502415458937197,0.30927835051546393,0.6781123139377537,0.644361833952912,0.7419354838709677,0.0,0.0,0.673469387755102,1.0,0.7619047619047619,0.6923076923076923
AK,2018,0.7343485617597293,0.3704577630957999,0.3333333333333333,0.3870967741935484,0.19741935483870968,0.13636363636363635,0.15920398009950248,0.2692307692307692,0.3333333333333333,0.3220338983050847,0.5793573515092503,0.5833333333333334,0.75,0.47586206896551725,0.3333333333333333,0.4318181818181818,0.4,0.55,0.5529411764705883
AZ,2018,0.7588724945157316,0.3572846670739157,0.32673992673992674,0.22580645161290322,0.2,0.22330097087378642,0.40607054963084493,0.36923076923076925,0.30549199084668194,0.2922330097087379,0.6570123533686286,0.6867469879518072,0.5390625,0.0,0.4,0.6811881188118812,0.7222222222222222,0.6606498194945848,0.6179775280898876
AR,2018,0.7554023978749371,0.336744346031473,0.28551434569629114,0.4430379746835443,,0.26666666666666666,0.30456852791878175,0.22727272727272727,0.22580645161290322,0.34050179211469533,0.6557181248133771,0.665158371040724,0.6666666666666666,,1.0,0.6727272727272727,1.0,0.5555555555555556,0.7352941176470589
CA,2018,0.7552755985996473,0.3456688098110837,0.3263994390557438,0.28438948995363217,0.46153846153846156,0.24666666666666667,0.39591549726375,0.2967032967032967,0.26337033299697277,0.3291494028759444,0.6150046598322461,0.613690274483226,0.6049046321525886,0.8,0.6458333333333334,0.6258191766876631,0.6157894736842106,0.6325654923215899,0.6318662572500853
CO,2018,0.7457036989714432,0.40023197651237813,0.31875,0.27225130890052357,0.6,0.27692307692307694,0.4028776978417266,0.3888888888888889,0.34293193717277487,0.3408833522083805,0.6696012867180225,0.6487804878048781,0.6829268292682927,1.0,0.5833333333333334,0.6417233560090703,0.7272727272727273,0.6707317073170732,0.6866197183098591
CT,2018,0.7505686125852918,0.41066897704065847,0.2771007055805003,0.2702702702702703,,0.13333333333333333,0.4280936454849498,0.4,0.29022988505747127,0.3405275779376499,0.6512696493349456,0.5837004405286343,0.7777777777777778,,0.0,0.6828752642706131,1.0,0.7388059701492538,0.725
DE,2018,0.747719074899215,0.35799390412856746,0.2777777777777778,0.25,,0.2,0.48214285714285715,0.6666666666666666,0.2602739726027397,0.24050632911392406,0.6254180602006689,0.5442477876106194,0.6666666666666666,,1.0,0.759493670886076,1.0,0.4117647058823529,0.6
FL,2018,0.7512560020217336,0.35942687622293756,0.2720256677072494,0.398989898989899,0.4,0.16071428571428573,0.38374871969955615,0.28378378378378377,0.36466715435259694,0.3446379468377635,0.6503432494279177,0.6509390746678883,0.6491228070175439,0.0,0.8333333333333334,0.649090909090909,0.8333333333333334,0.7601809954751131,0.672566371681416
GA,2018,0.7559265442404006,0.39299091199442526,0.3217019175376512,0.41346153846153844,,0.36363636363636365,0.41819012797074956,0.3170731707317073,0.3163265306122449,0.3367451381780962,0.6862198076499523,0.670780520346898,0.8260869565217391,,0.7,0.6757894736842105,0.8571428571428571,0.7307692307692307,0.7
HI,2018,0.7396197128443927,0.3917874396135266,0.3248407643312102,0.2777777777777778,0.0,0.0,0.312781434014548,0.2742138364779874,0.3177570093457944,0.32684365781710917,0.6235662148070907,0.6470588235294118,0.8,0.0,0.0,0.5514771709937332,0.62,0.7142857142857143,0.6143344709897611
ID,2018,0.7597096188747732,0.3442924776433456,0.22916666666666666,0.28448275862068967,0.3333333333333333,0.3333333333333333,0.32,0.25,0.25773195876288657,0.24705882352941178,0.6722246599385695,0.5,0.7,0.0,1.0,0.6296296296296297,0.5,0.5217391304347826,0.6538461538461539
IL,2018,0.7525814730810553,0.3751864606544999,0.28488372093023256,0.2727272727272727,0.5,0.35714285714285715,0.43152913339248744,0.3333333333333333,0.2739430543572045,0.3102866779089376,0.6506120276742948,0.6116310160427807,0.5652173913043478,0.0,1.0,0.673064619321817,0.6666666666666666,0.6633663366336634,0.6676923076923077
IN,2018,0.7605790645879733,0.3402797877472262,0.2809042809042809,0.3090909090909091,0.0,0.3125,0.3353566009104704,0.3125,0.2843866171003718,0.2984014209591474,0.6584312543938937,0.5956873315363881,0.6666666666666666,0.0,0.6666666666666666,0.672645739910314,0.5,0.6105263157894737,0.5826771653543307
IA,2018,0.7551422936038321,0.34707003334921394,0.1891891891891892,0.2765957446808511,,0.23076923076923078,0.27205882352941174,0.3,0.2847682119205298,0.24390243902439024,0.6560437488214218,0.5333333333333333,0.7777777777777778,,1.0,0.676923076923077,1.0,0.8235294117647058,0.7857142857142857
KS,2018,0.7548554437907257,0.36751892586773316,0.26136363636363635,0.3308270676691729,0.0,0.2222222222222222,0.34782608695652173,0.1875,0.25735294117647056,0.3146341463414634,0.6834548265959797,0.672,0.8,0.0,0.3333333333333333,0.632,0.4,0.5806451612903226,0.7282608695652174
KY,2018,0.7598382259383805,0.34975840547614256,0.27562111801242234,0.36363636363636365,0.0,0.2222222222222222,0.33962264150943394,0.26666666666666666,0.2658959537572254,0.2532051282051282,0.6656279214708632,0.6694915254237288,0.75,0.0,0.0,0.6261682242990654,0.6666666666666666,0.5,0.7419354838709677
MA,2018,0.7515082016253677,0.39161919767300934,0.2594880847308032,0.37209302325581395,0.0,0.125,0.4058238112790269,0.35294117647058826,0.28283712784588444,0.33738938053097345,0.6428131922224957,0.5865237366003063,0.55,0.0,1.0,0.6468797564687976,0.8571428571428571,0.594488188976378,0.6782006920415224
ME,2018,0.74921451013996,0.34279705573080965,0.24,0.225,,0.3333333333333333,0.3026315789473684,0.0,0.5333333333333333,0.3106060606060606,0.6455205811138015,0.75,0.3333333333333333,,1.0,0.6521739130434783,0.0,1.0,0.7894736842105263
MD,2018,0.7494401065310816,0.43373493975903615,0.3781241947951559,0.41509433962264153,0.5,0.391304347826087,0.4484162895927602,0.4,0.2302810516772439,0.37803468208092483,0.6715066774222461,0.6555697823303457,0.7142857142857143,1.0,0.6666666666666666,0.6727272727272727,0.75,0.5960591133004927,0.6751412429378532
MI,2018,0.7647576387777956,0.3519489821853555,0.26628509130553285,0.2775800711743772,,0.17543859649122806,0.43790849673202614,0.36363636363636365,0.3546099290780142,0.29088913282107576,0.6640122104983741,0.6462140992167101,0.6833333333333333,,0.5,0.6888544891640866,0.6666666666666666,0.7159090909090909,0.6912442396313364
MN,2018,0.7444956642274588,0.3731190029387813,0.22488584474885845,0.2862453531598513,0.0,0.15384615384615385,0.28255813953488373,0.14285714285714285,0.22932330827067668,0.2847826086956522,0.6445722633068566,0.6412213740458015,0.7083333333333334,0.0,1.0,0.625,0.3333333333333333,0.5945945945945946,0.6339285714285714
MS,2018,0.737584350595193,0.387497127097219,0.2882117882117882,0.2641509433962264,,0.4,0.266304347826087,0.3333333333333333,0.22641509433962265,0.3333333333333333,0.6757522123893805,0.646964856230032,0.5714285714285714,,0.0,0.5625,0.0,0.6875,0.6363636363636364
MO,2018,0.7562531581606872,0.35136483500819615,0.28395624430264355,0.34951456310679613,0.0,0.5,0.42105263157894735,0.13513513513513514,0.2923076923076923,0.32341269841269843,0.6678651685393259,0.6452991452991453,0.7692307692307693,0.0,0.6666666666666666,0.6846846846846847,0.3333333333333333,0.42857142857142855,0.7524752475247525
MT,2018,0.7343950210507048,0.34217347956131605,0.21428571428571427,0.3426294820717131,,0.2,0.26666666666666666,0.3333333333333333,0.38095238095238093,0.29411764705882354,0.6261620185922975,1.0,0.6666666666666666,,0.0,0.6666666666666666,0.0,0.5,0.625
NE,2018,0.7435326842837274,0.37295871792271024,0.24060150375939848,0.16666666666666666,,0.5,0.28350515463917525,0.3333333333333333,0.25595238095238093,0.30319148936170215,0.6746006890072033,0.5416666666666666,0.5,,0.6,0.6078431372549019,1.0,0.6190476190476191,0.6944444444444444
NV,2018,0.7544404673465253,0.32883827789431624,0.2562862669245648,0.23938223938223938,,0.2777777777777778,0.2699210337401292,0.2765957446808511,0.2326768781911014,0.29064039408866993,0.6008715713919508,0.5901639344262295,0.5172413793103449,,0.5555555555555556,0.5078651685393258,0.7692307692307693,0.59375,0.5419354838709678
NH,2018,0.755084107456691,0.37431730384974027,0.25806451612903225,0.14285714285714285,0.0,0.4,0.45664739884393063,0.3333333333333333,0.32653061224489793,0.328,0.6551497203027311,0.8125,1.0,0.0,1.0,0.7530864197530864,0.6666666666666666,0.7692307692307693,0.8125
NJ,2018,0.7387036688223353,0.3989080410485093,0.2741865509761388,0.1875,,0.25,0.476663961038961,0.3684210526315789,0.27816411682892905,0.3620331950207469,0.6294694190439687,0.538914323086985,0.37037037037037035,,0.7272727272727273,0.6726233023588277,0.5,0.6518691588785047,0.6648648648648648
NM,2018,0.7660429342210998,0.3432203389830508,0.3275862068965517,0.2367549668874172,0.3333333333333333,0.2857142857142857,0.3619631901840491,0.5555555555555556,0.36764705882352944,0.35944700460829493,0.6612529002320185,0.6666666666666666,0.6,0.0,0.5,0.65625,1.0,0.7428571428571429,0.704225352112676
NY,2018,0.7412275167198921,0.3681667006040861,0.2534558255344724,0.27530364372469635,0.0,0.16831683168316833,0.3342854120385063,0.34210526315789475,0.2653958944281525,0.31729572791372873,0.6171494294621508,0.5175345377258236,0.5692307692307692,0.0,0.5333333333333333,0.5781534460338101,0.75,0.6023993144815767,0.5951219512195122
NC,2018,0.7490156913207981,0.3875022445681451,0.2957434402332362,0.30671506352087113,0.5,0.3372093023255814,0.4160861304623179,0.43478260869565216,0.27591836734693875,0.30196078431372547,0.6829131259217641,0.6405269761606023,0.6292134831460674,0.0,0.9333333333333333,0.7025036818851251,0.9333333333333333,0.6356589147286822,0.6818181818181818
ND,2018,0.7393939393939394,0.37061728395061727,0.1746031746031746,0.296969696969697,,0.32142857142857145,0.2641509433962264,0.0,0.38461538461538464,0.16417910447761194,0.6390149060272197,0.5454545454545454,0.6842105263157895,,0.5833333333333334,0.45454545454545453,0.0,0.5,0.47058823529411764
OH,2018,0.7649311981974732,0.3570754804224388,0.2593876372039284,0.2692307692307692,,0.2857142857142857,0.38990825688073394,0.35294117647058826,0.3863080684596577,0.2918287937743191,0.6697570829232921,0.5887179487179487,0.6,,1.0,0.6705426356589147,0.8,0.8313253012048193,0.7024390243902439
OK,2018,0.7477814366244349,0.3515355805243446,0.28704663212435233,0.31627296587926507,0.0,0.4084507042253521,0.36477987421383645,0.2,0.27611940298507465,0.3328100470957614,0.6606665045001217,0.6436781609195402,0.6184971098265896,0.0,0.6666666666666666,0.723404255319149,1.0,0.6739130434782609,0.6826568265682657
OR,2018,0.7581094028012226,0.3539444503115429,0.27009646302250806,0.31004366812227074,0.2857142857142857,0.18421052631578946,0.3856988082340195,0.23076923076923078,0.29347826086956524,0.29040097205346294,0.6486448728695167,0.5945945945945946,0.6724137931034483,0.6666666666666666,0.6,0.6527415143603134,0.47058823529411764,0.5625,0.6303317535545023
PA,2018,0.7614481466299702,0.3502254670388662,0.24916773367477593,0.3559322033898305,0.6666666666666666,0.09523809523809523,0.37656903765690375,0.3333333333333333,0.27040816326530615,0.27153558052434457,0.6480421956016449,0.5948174322732627,0.6,0.5,0.0,0.6623376623376623,0.6,0.5757575757575758,0.6553191489361702
RI,2018,0.7524509803921569,0.3569687119057294,0.21014492753623187,0.5833333333333334,,0.2,0.3613861386138614,0.0,0.2875816993464052,0.2907801418439716,0.6195899772209568,0.4861111111111111,1.0,,0.0,0.6666666666666666,0.0,0.5,0.7272727272727273
SC,2018,0.7527633747337111,0.3789524890546457,0.2654394299287411,0.323943661971831,0.0,0.4117647058823529,0.3686635944700461,0.4117647058823529,0.30113636363636365,0.2903225806451613,0.6752240619778217,0.6391752577319587,0.8666666666666667,0.0,0.6666666666666666,0.6642857142857143,0.5,0.7674418604651163,0.6666666666666666
SD,2018,0.7366809552969994,0.35203270497388145,0.17777777777777778,0.26573426573426573,0.0,0.35294117647058826,0.18,,0.2857142857142857,0.3076923076923077,0.6466403162055336,0.75,0.6451612903225806,0.0,0.6666666666666666,0.375,,0.75,0.875
TN,2018,0.7541099314766344,0.3585782157311279,0.2906172839506173,0.34,1.0,0.11764705882352941,0.39827586206896554,0.3076923076923077,0.23785166240409208,0.2907216494845361,0.6702311514365954,0.6322815533980582,0.75,1.0,1.0,0.6923076923076923,1.0,0.6052631578947368,0.6082474226804123
TX,2018,0.7574379800476737,0.36271554778664905,0.33490302498204166,0.3683206106870229,0.125,0.27075812274368233,0.425094175601275,0.39603960396039606,0.32255694342395297,0.37138973836221545,0.6594731285752866,0.6677381648158971,0.6933333333333334,0.0,0.7068965517241379,0.6797841954934941,0.6764705882352942,0.6874435411020777,0.697524219590958
