state,year,accuracy,selection_rate_1,selection_rate_2,selection_rate_3,selection_rate_4,selection_rate_5,selection_rate_6,selection_rate_7,selection_rate_8,selection_rate_9,true_pos_rate_1,true_pos_rate_2,true_pos_rate_3,true_pos_rate_4,true_pos_rate_5,true_pos_rate_6,true_pos_rate_7,true_pos_rate_8,true_pos_rate_9
AL,2018,0.7475300880186815,0.35441471177649414,0.3318916458001366,0.43820224719101125,0.0,0.3333333333333333,0.33986928104575165,0.3333333333333333,0.2898550724637681,0.3333333333333333,0.695872801082544,0.3952912019826518,0.5806451612903226,0.0,0.0,0.5612244897959183,0.5,0.2857142857142857,0.5
AK,2018,0.6833051325437112,0.3572439830108542,0.375,0.3548387096774194,0.3548387096774194,0.20454545454545456,0.32338308457711445,0.11538461538461539,0.38095238095238093,0.2923728813559322,0.5939629990262901,0.5833333333333334,0.3333333333333333,0.3931034482758621,0.2222222222222222,0.45454545454545453,0.0,0.4,0.29411764705882354
AZ,2018,0.7569792950085644,0.3398747709224191,0.35824175824175825,0.31870967741935485,0.2,0.33980582524271846,0.391304347826087,0.36923076923076925,0.34782608695652173,0.3504854368932039,0.6787086058341119,0.41566265060240964,0.3359375,0.0,0.4,0.5900990099009901,0.5555555555555556,0.4043321299638989,0.4344569288389513
AR,2018,0.7632995907818221,0.30535729641413706,0.3351994401679496,0.27848101265822783,,0.5333333333333333,0.3096446700507614,0.3181818181818182,0.2974910394265233,0.3906810035842294,0.6643774260973425,0.42081447963800905,0.16666666666666666,,0.5,0.509090909090909,1.0,0.2777777777777778,0.3088235294117647
CA,2018,0.7181253673370301,0.3385038758408674,0.34240972303377354,0.32534775888717155,0.38461538461538464,0.33111111111111113,0.3931945336146015,0.3328100470957614,0.32268678980388715,0.34340726297830854,0.6343150046598323,0.3991867163673331,0.3787465940054496,0.6,0.3333333333333333,0.5244003308519437,0.3473684210526316,0.35343270099367663,0.406345957011259
CO,2018,0.7602695968823867,0.39109790133748956,0.33,0.3717277486910995,0.4,0.35384615384615387,0.39054470709146966,0.4166666666666667,0.32329842931937175,0.34994337485843713,0.6975366122068907,0.4146341463414634,0.43902439024390244,0.0,0.5,0.5532879818594104,0.45454545454545453,0.36585365853658536,0.44366197183098594
CT,2018,0.7459186252211271,0.4070177610000619,0.3072482360487492,0.32432432432432434,,0.4666666666666667,0.41025641025641024,0.4,0.3117816091954023,0.3117505995203837,0.6744860943168077,0.381057268722467,0.3333333333333333,,1.0,0.5750528541226215,0.5,0.3656716417910448,0.30833333333333335
DE,2018,0.7396562698917887,0.34774175671931284,0.3412698412698413,0.05,,0.2,0.47023809523809523,0.0,0.3424657534246575,0.27848101265822783,0.6555183946488294,0.37610619469026546,0.0,,0.0,0.6329113924050633,0.0,0.29411764705882354,0.4
FL,2018,0.7522264341672985,0.34747206968377203,0.33359347901491504,0.3888888888888889,0.4,0.2857142857142857,0.400477978832366,0.2972972972972973,0.3390636430138991,0.32538955087076077,0.6799155078331279,0.4255611543747137,0.40350877192982454,0.0,0.16666666666666666,0.5563636363636364,0.2777777777777778,0.40497737556561086,0.3893805309734513
GA,2018,0.7389963664931749,0.38599343805348274,0.34202946259567113,0.3942307692307692,,0.42424242424242425,0.41590493601462525,0.3170731707317073,0.32040816326530613,0.3336745138178096,0.7264518023639968,0.42595063375583725,0.4782608695652174,,0.6,0.5821052631578948,0.42857142857142855,0.38461538461538464,0.3821428571428571
HI,2018,0.6494632001034795,0.372463768115942,0.3821656050955414,0.16666666666666666,0.0,1.0,0.35573259438863875,0.33081761006289306,0.27102803738317754,0.34277286135693213,0.6319082377476538,0.45098039215686275,0.2,0.0,0.0,0.4888093106535363,0.37,0.2857142857142857,0.3890784982935154
ID,2018,0.7843920145190563,0.32154129405576015,0.2916666666666667,0.3275862068965517,0.0,0.3888888888888889,0.28,0.5,0.31958762886597936,0.4,0.6963580517770952,0.5,0.3,0.0,1.0,0.4074074074074074,0.5,0.4782608695652174,0.5769230769230769
IL,2018,0.752521785842187,0.3617981252647281,0.33703312191684287,0.3246753246753247,0.5,0.3333333333333333,0.4128955930198166,0.42424242424242425,0.31320103537532357,0.33979763912310285,0.6737182898704985,0.40975935828877,0.34782608695652173,0.0,0.2,0.564299424184261,0.5555555555555556,0.3415841584158416,0.38461538461538464
IN,2018,0.7814516589572269,0.31342659591574207,0.3256373256373256,0.3090909090909091,0.0,0.1875,0.3505311077389985,0.375,0.3252788104089219,0.30905861456483125,0.6749020789394395,0.3935309973045822,0.4444444444444444,0.0,0.0,0.57847533632287,0.0,0.3263157894736842,0.4015748031496063
IA,2018,0.7816286277824739,0.31395902810862314,0.34459459459459457,0.40425531914893614,,0.38461538461538464,0.35294117647058826,0.5,0.33774834437086093,0.34146341463414637,0.6633980765604375,0.5,0.3333333333333333,,0.0,0.6307692307692307,0.5,0.4117647058823529,0.2857142857142857
KS,2018,0.7688998544948441,0.3435223539494358,0.35064935064935066,0.3533834586466165,0.5,0.3333333333333333,0.36231884057971014,0.4375,0.35294117647058826,0.33414634146341465,0.7011265738899933,0.424,0.36666666666666664,0.0,0.0,0.56,0.4,0.5483870967741935,0.40217391304347827
KY,2018,0.7787876033808961,0.32469297362593114,0.3532608695652174,0.45454545454545453,1.0,0.5555555555555556,0.3867924528301887,0.3333333333333333,0.3236994219653179,0.36538461538461536,0.6855718292302898,0.4194915254237288,0.5,0.0,0.0,0.5607476635514018,0.0,0.4166666666666667,0.5
LA,2018,0.7248754052353994,0.3584055695856938,0.340745316038707,0.35353535353535354,0.0,0.3333333333333333,0.3689095127610209,0.3333333333333333,0.31932773109243695,0.39118457300275483,0.661435372950097,0.40985442329227323,0.2857142857142857,0.0,0.5,0.5714285714285714,0.0,0.275,0.42990654205607476
