state,year,accuracy,selection_rate_1,selection_rate_2,selection_rate_3,selection_rate_4,selection_rate_5,selection_rate_6,selection_rate_7,selection_rate_8,selection_rate_9,true_pos_rate_1,true_pos_rate_2,true_pos_rate_3,true_pos_rate_4,true_pos_rate_5,true_pos_rate_6,true_pos_rate_7,true_pos_rate_8,true_pos_rate_9
AL,2018,0.804787138494701,0.3422727808558293,0.15661279307989984,0.29213483146067415,0.0,0.08333333333333333,0.3104575163398693,0.6666666666666666,0.08695652173913043,0.19243986254295534,0.6914749661705006,0.5043370508054523,0.6129032258064516,0.0,0.0,0.7959183673469388,1.0,0.47619047619047616,0.5961538461538461
AK,2018,0.7580372250423012,0.33931099575271356,0.20833333333333334,0.2903225806451613,0.08,0.022727272727272728,0.09950248756218906,0.038461538461538464,0.16666666666666666,0.17372881355932204,0.5676728334956183,0.375,0.5833333333333334,0.2620689655172414,0.1111111111111111,0.3181818181818182,0.0,0.35,0.4117647058823529
AZ,2018,0.8063827869098777,0.3280772755039707,0.21318681318681318,0.11290322580645161,0.4,0.11650485436893204,0.3937653814602133,0.23076923076923078,0.10697940503432495,0.20388349514563106,0.670196200560573,0.5813253012048193,0.3671875,0.5,0.3,0.7683168316831683,0.6666666666666666,0.37906137184115524,0.5955056179775281
AR,2018,0.8088161389905951,0.2921145412331241,0.15535339398180545,0.189873417721519,,0.2,0.29949238578680204,0.09090909090909091,0.06093189964157706,0.22580645161290322,0.6566139146013735,0.5520361990950227,0.7222222222222222,,0.5,0.7454545454545455,1.0,0.2777777777777778,0.6029411764705882
CA,2018,0.7893951396519562,0.32533923937655984,0.2249620193993222,0.16924265842349304,0.3076923076923077,0.12666666666666668,0.37249686630590967,0.14285714285714285,0.08239371736936779,0.22824762368998294,0.6215843429636533,0.5018637749915283,0.4768392370572207,0.8,0.4166666666666667,0.6539415919068524,0.3736842105263158,0.3112014453477868,0.5417946093483452
CO,2018,0.7867182009838369,0.3824712747834282,0.2225,0.17277486910994763,0.6,0.12307692307692308,0.39054470709146966,0.3055555555555556,0.12958115183246074,0.24122310305775765,0.6937272496402269,0.5804878048780487,0.43902439024390244,1.0,0.25,0.7097505668934241,0.5454545454545454,0.3902439024390244,0.5880281690140845
CT,2018,0.7814505938842558,0.3925366668729501,0.1667735728030789,0.13513513513513514,,0.06666666666666667,0.46488294314381273,0.4,0.08764367816091954,0.21103117505995203,0.6608222490931076,0.43392070484581496,0.5555555555555556,,0.0,0.8033826638477801,1.0,0.31343283582089554,0.5583333333333333
DE,2018,0.7922766815192022,0.3361041839844832,0.20634920634920634,0.05,,0.0,0.5,0.3333333333333333,0.1095890410958904,0.1518987341772152,0.6468227424749163,0.5088495575221239,0.0,,0.0,0.8860759493670886,0.5,0.29411764705882354,0.6
FL,2018,0.7992418498862774,0.33412863725304554,0.16657995143947277,0.23232323232323232,0.2,0.07142857142857142,0.3717992488904063,0.17567567567567569,0.14630577907827358,0.22089825847846012,0.6732265446224256,0.5180943655519926,0.45614035087719296,0.0,0.5,0.7454545454545455,0.6111111111111112,0.502262443438914,0.5911504424778761
GA,2018,0.807483060001964,0.37385674051276097,0.21043535511480538,0.2692307692307692,,0.21212121212121213,0.4373857404021938,0.2682926829268293,0.11020408163265306,0.2610030706243603,0.7185228690991851,0.566711140760507,0.7391304347826086,,0.5,0.7926315789473685,0.8571428571428571,0.4166666666666667,0.675
HI,2018,0.7729918509895227,0.3676328502415459,0.21019108280254778,0.2222222222222222,0.0,0.0,0.25909248354693454,0.1119496855345912,0.1588785046728972,0.20176991150442478,0.6308654848800834,0.47058823529411764,0.8,0.0,0.0,0.5487914055505819,0.32,0.4642857142857143,0.46075085324232085
ID,2018,0.8050816696914701,0.30944239873750656,0.16666666666666666,0.12931034482758622,0.0,0.1111111111111111,0.24,0.16666666666666666,0.06701030927835051,0.1411764705882353,0.6831943835015357,0.6666666666666666,0.45,0.0,0.0,0.7037037037037037,0.5,0.21739130434782608,0.46153846153846156
IL,2018,0.7942133221917154,0.34780206626028987,0.18058491895701198,0.14285714285714285,0.0,0.11904761904761904,0.44779650990831116,0.24242424242424243,0.08196721311475409,0.20657672849915684,0.662187333688132,0.4832887700534759,0.34782608695652173,0.0,0.6,0.7952655150351887,0.6666666666666666,0.3069306930693069,0.6
