state,year,accuracy,selection_rate_1,selection_rate_2,selection_rate_3,selection_rate_4,selection_rate_5,selection_rate_6,selection_rate_7,selection_rate_8,selection_rate_9,true_pos_rate_1,true_pos_rate_2,true_pos_rate_3,true_pos_rate_4,true_pos_rate_5,true_pos_rate_6,true_pos_rate_7,true_pos_rate_8,true_pos_rate_9
AL,2018,0.7848931201724447,0.2871036190027113,0.18597769178238105,0.16853932584269662,0.0,0.0,0.18627450980392157,0.6666666666666666,0.2222222222222222,0.21993127147766323,0.6023342354533153,0.43866171003717475,0.3548387096774194,0.0,0.0,0.40816326530612246,1.0,0.3333333333333333,0.5384615384615384
AK,2018,0.7306824591088551,0.33553563001415765,0.2916666666666667,0.22580645161290322,0.08516129032258064,0.09090909090909091,0.12437810945273632,0.19230769230769232,0.23809523809523808,0.1906779661016949,0.5472249269717624,0.5,0.4166666666666667,0.1310344827586207,0.1111111111111111,0.3181818181818182,0.6,0.25,0.4
AZ,2018,0.7717943324217929,0.27092241905925474,0.2454212454212454,0.08967741935483871,0.4,0.08737864077669903,0.2387202625102543,0.18461538461538463,0.238558352402746,0.1970873786407767,0.5621301775147929,0.5331325301204819,0.234375,0.5,0.2,0.44356435643564357,0.2777777777777778,0.3212996389891697,0.4943820224719101
AR,2018,0.7949601550721517,0.2431851405967839,0.19314205738278517,0.189873417721519,,0.0,0.19796954314720813,0.36363636363636365,0.21505376344086022,0.1971326164874552,0.5661391460137355,0.497737556561086,0.3888888888888889,,0.0,0.4,1.0,0.4444444444444444,0.5
CA,2018,0.7167403470216952,0.2760358990463283,0.25569709010167113,0.11901081916537867,0.15384615384615385,0.11777777777777777,0.1967042709957504,0.22291993720565148,0.22419163778353002,0.23031927857665124,0.5181547064305685,0.4750931887495764,0.24795640326975477,0.4,0.21875,0.3181904943691544,0.4,0.3159439927732611,0.4612760150119413
CO,2018,0.7541685299942503,0.32589075356120195,0.29375,0.07853403141361257,0.2,0.15384615384615385,0.21377183967112023,0.2777777777777778,0.2395287958115183,0.2276330690826727,0.598747142978075,0.6,0.1951219512195122,0.0,0.08333333333333333,0.35600907029478457,0.5454545454545454,0.3231707317073171,0.5070422535211268
CT,2018,0.7249936820823857,0.33578810569961015,0.21488133418858243,0.08108108108108109,,0.13333333333333333,0.23857302118171683,0.2,0.20114942528735633,0.21342925659472423,0.5616686819830713,0.4185022026431718,0.2222222222222222,,0.0,0.3890063424947146,0.5,0.2835820895522388,0.4666666666666667
DE,2018,0.7449607468703586,0.27320587420338044,0.23677248677248677,0.05,,0.0,0.23214285714285715,0.3333333333333333,0.1643835616438356,0.1518987341772152,0.5210702341137123,0.4823008849557522,0.0,,0.0,0.379746835443038,0.5,0.29411764705882354,0.6
FL,2018,0.7700884508466009,0.2871804582465442,0.20759625390218522,0.13636363636363635,0.0,0.07142857142857142,0.20245817685216796,0.24324324324324326,0.25420629114850035,0.21998166819431714,0.5804259813413132,0.505267979844251,0.2807017543859649,0.0,0.3333333333333333,0.37363636363636366,0.4444444444444444,0.4276018099547511,0.49557522123893805
GA,2018,0.7683001080231758,0.31831247640893123,0.24952678791868982,0.20192307692307693,,0.09090909090909091,0.21480804387568556,0.2926829268292683,0.2479591836734694,0.23950870010235414,0.6178694662653256,0.5353569046030687,0.4782608695652174,,0.3,0.37684210526315787,0.42857142857142855,0.4166666666666667,0.5428571428571428
HI,2018,0.702755141637563,0.3642512077294686,0.3184713375796178,0.2222222222222222,0.0,0.0,0.15760304814686527,0.23018867924528302,0.22429906542056074,0.22713864306784662,0.5901981230448383,0.7058823529411765,0.6,0.0,0.0,0.2837958818263205,0.35,0.35714285714285715,0.42662116040955633
ID,2018,0.7941923774954628,0.27051551814834296,0.2916666666666667,0.09482758620689655,0.0,0.0,0.17,0.16666666666666666,0.25773195876288657,0.18823529411764706,0.6112329969284774,0.5,0.3,0.0,0.0,0.4444444444444444,0.5,0.2608695652173913,0.46153846153846156
IL,2018,0.7481646174047989,0.29121010662787056,0.22022551092318535,0.11688311688311688,0.0,0.09523809523809523,0.2277432712215321,0.15151515151515152,0.2269197584124245,0.2015177065767285,0.5531310981018273,0.4585561497326203,0.17391304347826086,0.0,0.0,0.3781190019193858,0.1111111111111111,0.32673267326732675,0.5230769230769231
IN,2018,0.7904174518873851,0.2568580157581605,0.20057720057720058,0.12727272727272726,0.0,0.1875,0.17905918057663125,0.0625,0.21933085501858737,0.216696269982238,0.57738274580697,0.48517520215633425,0.5555555555555556,0.0,0.6666666666666666,0.3452914798206278,0.5,0.30526315789473685,0.5275590551181102
IA,2018,0.7810650887573964,0.25500238208670795,0.15878378378378377,0.10638297872340426,,0.15384615384615385,0.13970588235294118,0.0,0.2052980132450331,0.1402439024390244,0.5549688855364888,0.4666666666666667,0.2222222222222222,,1.0,0.35384615384615387,0.0,0.23529411764705882,0.42857142857142855
KS,2018,0.7862972100967925,0.2841736894729324,0.2353896103896104,0.15789473684210525,0.0,0.3333333333333333,0.2318840579710145,0.3125,0.17647058823529413,0.1975609756097561,0.6098961784846477,0.6,0.36666666666666664,0.0,0.6666666666666666,0.416,0.6,0.3225806451612903,0.5108695652173914
KY,2018,0.7888757611560484,0.26454600362391784,0.20652173913043478,0.2727272727272727,0.0,0.2222222222222222,0.1918238993710692,0.2,0.24855491329479767,0.1762820512820513,0.5822686195076348,0.5296610169491526,0.25,0.0,0.0,0.411214953271028,0.0,0.3333333333333333,0.532258064516129
ME,2018,0.7810625535561269,0.2541685443893646,0.16,0.075,,0.0,0.05263157894736842,1.0,0.2,0.1893939393939394,0.5535108958837772,0.875,0.3333333333333333,,0.0,0.13043478260869565,0.0,0.25,0.5263157894736842
MD,2018,0.7324919799043641,0.3775417877041764,0.3191187838186035,0.20754716981132076,0.0,0.08695652173913043,0.24343891402714932,0.4,0.23300090661831369,0.31445086705202313,0.6167428520211526,0.5579385403329066,0.38095238095238093,0.0,0.2222222222222222,0.37142857142857144,0.75,0.3645320197044335,0.5677966101694916
