state,year,accuracy,selection_rate_1,selection_rate_2,selection_rate_3,selection_rate_4,selection_rate_5,selection_rate_6,selection_rate_7,selection_rate_8,selection_rate_9,true_pos_rate_1,true_pos_rate_2,true_pos_rate_3,true_pos_rate_4,true_pos_rate_5,true_pos_rate_6,true_pos_rate_7,true_pos_rate_8,true_pos_rate_9
AL,2018,0.7395365546973235,0.3765177413650831,0.3778738902799909,0.47191011235955055,1.0,0.25,0.3758169934640523,0.3333333333333333,0.3526570048309179,0.40893470790378006,0.7178619756427604,0.5142503097893433,0.5483870967741935,0.0,0.0,0.42857142857142855,0.5,0.5714285714285714,0.6153846153846154
AK,2018,0.700507614213198,0.4285040113260972,0.4444444444444444,0.3870967741935484,0.352258064516129,0.4090909090909091,0.3283582089552239,0.34615384615384615,0.42857142857142855,0.4279661016949153,0.6845180136319376,0.5416666666666666,0.3333333333333333,0.4827586206896552,0.5555555555555556,0.38636363636363635,0.6,0.5,0.5647058823529412
AZ,2018,0.7369955224329117,0.37351099572388513,0.4073260073260073,0.37032258064516127,0.2,0.44660194174757284,0.38474159146841674,0.36923076923076925,0.3524027459954233,0.41262135922330095,0.6915810235648292,0.5662650602409639,0.48828125,0.5,0.4,0.502970297029703,0.5,0.44404332129963897,0.5805243445692884
AR,2018,0.7483667169215307,0.34938515779516727,0.35129461161651504,0.4177215189873418,,0.5333333333333333,0.3604060913705584,0.4090909090909091,0.34408602150537637,0.45161290322580644,0.702000597193192,0.5610859728506787,0.6666666666666666,,1.0,0.45454545454545453,1.0,0.3333333333333333,0.6764705882352942
CA,2018,0.6955306263256076,0.3681139778192817,0.40621713217249034,0.38098918083462135,0.5384615384615384,0.4066666666666667,0.37439236907273227,0.3532182103610675,0.3544509279164656,0.4330977333658299,0.6475862068965518,0.5110132158590308,0.5040871934604905,0.8,0.5416666666666666,0.4262900044537762,0.4,0.4166666666666667,0.5701125895598772
CO,2018,0.7379735513958986,0.4146942622059516,0.42375,0.42408376963350786,0.6,0.3384615384615385,0.39671120246659813,0.3055555555555556,0.36518324607329844,0.4360135900339751,0.7005841022602218,0.5756097560975609,0.4878048780487805,0.0,0.4166666666666667,0.43537414965986393,0.36363636363636365,0.4268292682926829,0.6091549295774648
CT,2018,0.7271670457417235,0.4294820224023764,0.39191789608723543,0.5405405405405406,,0.4666666666666667,0.3745819397993311,0.4,0.3505747126436782,0.4052757793764988,0.6828295042321645,0.5,0.7777777777777778,,1.0,0.427061310782241,0.5,0.3805970149253731,0.5083333333333333
DE,2018,0.7284107786972205,0.3818232197284566,0.4087301587301587,0.45,,0.6,0.34523809523809523,0.3333333333333333,0.3287671232876712,0.22784810126582278,0.6789297658862876,0.5398230088495575,0.3333333333333333,,1.0,0.3670886075949367,0.5,0.23529411764705882,0.4
FL,2018,0.7297447561283801,0.39118853752445876,0.3755636489767603,0.42424242424242425,0.2,0.3392857142857143,0.400477978832366,0.4189189189189189,0.38368690563277247,0.4303391384051329,0.7040309804611864,0.5345854328905176,0.5964912280701754,0.0,0.6666666666666666,0.51,0.6666666666666666,0.47058823529411764,0.6088495575221239
GA,2018,0.7243641363056074,0.41659649835951335,0.4018599292239322,0.4423076923076923,,0.42424242424242425,0.386654478976234,0.34146341463414637,0.35612244897959183,0.406345957011259,0.7391527787974451,0.5690460306871248,0.7391304347826086,,0.7,0.4494736842105263,0.5714285714285714,0.41025641025641024,0.575
HI,2018,0.63290648040357,0.41932367149758454,0.5095541401273885,0.3888888888888889,0.0,1.0,0.3782473155524766,0.3622641509433962,0.37383177570093457,0.41474926253687316,0.6736183524504692,0.6862745098039216,0.6,0.0,0.0,0.4494180841539839,0.425,0.6071428571428571,0.5221843003412969
ID,2018,0.7580157289776165,0.3640189374013677,0.375,0.3793103448275862,0.6666666666666666,0.3333333333333333,0.33,0.3333333333333333,0.3917525773195876,0.4411764705882353,0.7261956998683633,0.6666666666666666,0.55,0.0,0.0,0.48148148148148145,0.25,0.391304347826087,0.5
IL,2018,0.7355855318132983,0.386659545864717,0.3856589147286822,0.44155844155844154,0.5,0.42857142857142855,0.38095238095238093,0.36363636363636365,0.3533218291630716,0.433389544688027,0.6821004080184495,0.5327540106951871,0.43478260869565216,0.0,0.4,0.4504158669225848,0.5555555555555556,0.4306930693069307,0.5846153846153846
IN,2018,0.7651761749757295,0.3474835182505226,0.3645983645983646,0.4727272727272727,0.0,0.5625,0.3626707132018209,0.5625,0.3104089219330855,0.39431616341030196,0.701215225469519,0.5094339622641509,0.6666666666666666,0.0,0.6666666666666666,0.47085201793721976,1.0,0.3684210526315789,0.6141732283464567
IA,2018,0.7655114116652578,0.34111481657932347,0.35135135135135137,0.40425531914893614,,0.38461538461538464,0.3639705882352941,0.5,0.31125827814569534,0.3353658536585366,0.679426739581369,0.43333333333333335,0.6666666666666666,,1.0,0.49230769230769234,1.0,0.29411764705882354,0.5714285714285714
KS,2018,0.74998418422218,0.3827310384230824,0.3814935064935065,0.39097744360902253,0.75,0.2222222222222222,0.37971014492753624,0.625,0.3639705882352941,0.4121951219512195,0.7285177821957146,0.568,0.5666666666666667,0.0,0.0,0.48,0.6,0.3548387096774194,0.6847826086956522
KY,2018,0.7543397255294011,0.3714515804308436,0.3944099378881988,0.4090909090909091,1.0,0.2222222222222222,0.3522012578616352,0.2,0.35260115606936415,0.41025641025641024,0.7150202555313182,0.5932203389830508,0.5,0.0,0.0,0.37383177570093457,0.0,0.6666666666666666,0.6612903225806451
LA,2018,0.7204722504475735,0.40516005733397037,0.3825406629606753,0.41414141414141414,0.0,0.47619047619047616,0.3874709976798144,0.5,0.3445378151260504,0.4380165289256198,0.7097513666020102,0.5431131019036954,0.5357142857142857,0.0,0.75,0.47619047619047616,0.0,0.425,0.6542056074766355
ME,2018,0.7609254498714653,0.35631665915577587,0.4666666666666667,0.25,,0.5,0.3157894736842105,0.0,0.4,0.44696969696969696,0.700726392251816,0.75,0.6666666666666666,,0.0,0.391304347826087,0.0,0.25,0.7368421052631579
MD,2018,0.7088251316506264,0.4644030668127054,0.42720948209224424,0.4716981132075472,0.5,0.5217391304347826,0.40407239819004526,0.44,0.36627379873073435,0.484393063583815,0.7201756744644617,0.5384122919334187,0.6666666666666666,1.0,0.5555555555555556,0.4831168831168831,0.375,0.5024630541871922,0.6271186440677966
MI,2018,0.7559590465525516,0.3698329443841124,0.39111474516216954,0.4128113879003559,,0.43859649122807015,0.4066811909949165,0.36363636363636365,0.3971631205673759,0.41602634467618005,0.7104651934434932,0.5718015665796344,0.55,,0.5,0.5,1.0,0.4431818181818182,0.5852534562211982
MN,2018,0.7422713645594919,0.38586552420068687,0.3561643835616438,0.3680297397769517,0.0,0.46153846153846156,0.3732558139534884,0.5714285714285714,0.35714285714285715,0.391304347826087,0.6799050488450653,0.5190839694656488,0.4583333333333333,0.0,0.5,0.45075757575757575,0.6666666666666666,0.4594594594594595,0.5803571428571429
MS,2018,0.7103646978542725,0.4149620776832912,0.39135864135864135,0.32075471698113206,,0.6,0.41304347826086957,0.5,0.39622641509433965,0.4496124031007752,0.7557522123893805,0.5862619808306709,0.14285714285714285,,0.0,0.5,0.0,0.5,0.6363636363636364
MO,2018,0.7469681657402729,0.36430047751407596,0.41340018231540565,0.49514563106796117,0.25,0.6428571428571429,0.40653357531760437,0.32432432432432434,0.35384615384615387,0.4146825396825397,0.7026966292134832,0.5726495726495726,0.8076923076923077,0.0,0.6666666666666666,0.49099099099099097,0.5555555555555556,0.25,0.5841584158415841
MT,2018,0.7433644517664287,0.37966101694915255,0.35714285714285715,0.4302788844621514,,0.5,0.3,0.0,0.2857142857142857,0.3949579831932773,0.7264276228419655,0.0,0.5208333333333334,,0.0,0.3333333333333333,0.0,0.5,0.53125
NE,2018,0.7399165507649513,0.3950704939649052,0.40225563909774437,0.375,,0.625,0.35051546391752575,0.3333333333333333,0.35714285714285715,0.30851063829787234,0.7237707485123708,0.6875,0.4166666666666667,,0.6,0.43137254901960786,0.5,0.42857142857142855,0.3611111111111111
NV,2018,0.7103397041939623,0.36100289681350517,0.37620889748549324,0.39768339768339767,,0.3611111111111111,0.35247666905958364,0.3191489361702128,0.3486506199854121,0.35139573070607555,0.6472699307869777,0.5368852459016393,0.41379310344827586,,0.3333333333333333,0.43595505617977526,0.46153846153846156,0.34375,0.49032258064516127
