state,year,accuracy,selection_rate_1,selection_rate_2,selection_rate_3,selection_rate_4,selection_rate_5,selection_rate_6,selection_rate_7,selection_rate_8,selection_rate_9,true_pos_rate_1,true_pos_rate_2,true_pos_rate_3,true_pos_rate_4,true_pos_rate_5,true_pos_rate_6,true_pos_rate_7,true_pos_rate_8,true_pos_rate_9
AL,2018,0.7977366624753008,0.35706707532712484,0.14136125654450263,0.2696629213483146,0.0,0.0,0.17973856209150327,0.6666666666666666,0.06280193236714976,0.22336769759450173,0.706190798376184,0.4399008674101611,0.5483870967741935,0.0,0.0,0.41836734693877553,1.0,0.38095238095238093,0.5961538461538461
AK,2018,0.7681895093062606,0.4124587069372345,0.2638888888888889,0.25806451612903225,0.0967741935483871,0.09090909090909091,0.07462686567164178,0.11538461538461539,0.16666666666666666,0.22033898305084745,0.6757546251217137,0.5,0.5,0.21379310344827587,0.2222222222222222,0.22727272727272727,0.2,0.3,0.4823529411764706
AZ,2018,0.7881720106980797,0.3379657910812462,0.19267399267399268,0.09483870967741935,0.0,0.08737864077669903,0.2100082034454471,0.2,0.08466819221967964,0.21650485436893205,0.66002283816049,0.5090361445783133,0.33203125,0.0,0.3,0.42376237623762375,0.3888888888888889,0.3212996389891697,0.5842696629213483
AR,2018,0.7982626175604853,0.31516037492475707,0.13855843247025892,0.21518987341772153,,0.06666666666666667,0.14213197969543148,0.22727272727272727,0.03225806451612903,0.21505376344086022,0.6742311137653031,0.5113122171945701,0.7777777777777778,,0.5,0.34545454545454546,1.0,0.1111111111111111,0.6470588235294118
CA,2018,0.7563846370071295,0.3313802621357619,0.20603015075376885,0.14605873261205565,0.23076923076923078,0.10222222222222223,0.1868904582836528,0.16797488226059654,0.0613784933970956,0.25067024128686327,0.6123019571295434,0.44730599796679094,0.39509536784741145,0.6,0.3125,0.3318699497359547,0.3526315789473684,0.21296296296296297,0.5622654384169226
CO,2018,0.7688621989395004,0.38174634818224656,0.21375,0.14136125654450263,0.2,0.12307692307692308,0.20349434737923947,0.19444444444444445,0.09293193717277487,0.26160815402038506,0.6748497418098705,0.5414634146341464,0.34146341463414637,1.0,0.16666666666666666,0.38095238095238093,0.45454545454545453,0.2621951219512195,0.6161971830985915
CT,2018,0.7582006570634319,0.4000866390246921,0.15586914688903142,0.13513513513513514,,0.13333333333333333,0.2329988851727982,0.4,0.06321839080459771,0.23741007194244604,0.6535671100362757,0.381057268722467,0.5555555555555556,,0.0,0.39323467230443976,1.0,0.23880597014925373,0.5916666666666667
DE,2018,0.7786972204540632,0.3510667775006927,0.18518518518518517,0.1,,0.0,0.23809523809523808,0.0,0.0684931506849315,0.16455696202531644,0.6588628762541806,0.4646017699115044,0.3333333333333333,,0.0,0.379746835443038,0.0,0.11764705882352941,0.5333333333333333
FL,2018,0.7802577710386657,0.35598055923751815,0.15131807145334722,0.22727272727272727,0.0,0.07142857142857142,0.22465005121201775,0.1891891891891892,0.11082662765179224,0.2520623281393217,0.6756908994895265,0.4658726523133303,0.45614035087719296,0.0,0.5,0.46454545454545454,0.6666666666666666,0.3755656108597285,0.6194690265486725
GA,2018,0.7911813807325936,0.38622571934612815,0.2005596247222451,0.19230769230769232,,0.12121212121212122,0.22074954296160879,0.21951219512195122,0.0836734693877551,0.27840327533265097,0.7182292049041921,0.5300200133422281,0.5217391304347826,,0.3,0.4052631578947368,0.42857142857142855,0.30128205128205127,0.675
